Infomerics_Company,D365_Match,Match_Score,Name_upper,Agency,Rating,Date,Is_INC,Urgency,Inf_upper,Inf_Rating,Inf_Instrument,Inf_Urgency
EAGLE STEELS ROLLING MILLS PRIVATE LIMITED,EAGLE STEELS ROLLING MILLS PVT. LTD.,0.872,EAGLE STEELS ROLLING MILLS PVT. LTD.,BRICKWORK,D,08-12-2025,True,MEDIUM,EAGLE STEELS ROLLING MILLS PRIVATE LIMITED,IVR D (INC)(Reaffirmed),Short Term Bank Facilities,LOW
ELECTROSTEEL CASTINGS LIMITED,ELECTROSTEEL CASTINGS LTD.,0.909,ELECTROSTEEL CASTINGS LTD.,CRISIL,A 1+,04-02-2026,False,LOW,ELECTROSTEEL CASTINGS LIMITED,IVR A (Withdrawn),Outstanding Non-Convertible Debentures (NCD) - Series VI,HIGH
FEX FOUNDRY ALLOYS PRIVATE LIMITED,FEX FOUNDRY ALLOYS PVT. LTD.,0.839,FEX FOUNDRY ALLOYS PVT. LTD.,CRISIL,A 4+,09-06-2025,True,HIGH,FEX FOUNDRY ALLOYS PRIVATE LIMITED,IVR BBB- (Assigned),Long Term Bank Facilities,LOW
GAGAN FERROTECH LIMITED,GAGAN FERROTECH LTD.,0.884,GAGAN FERROTECH LTD.,ACUITE,A 1,30-05-2025,False,HIGH,GAGAN FERROTECH LIMITED,IVR A4 (INC)(Reaffirmed & Withdrawn),Short Term Bank Facilities,HIGH
GANGA IRON & STEEL TRADING COMPANY LIMITED,GANGA IRON & STEEL TRADING CO. LTD.,0.857,GANGA IRON & STEEL TRADING CO. LTD.,BRICKWORK,BB,23-05-2025,True,HIGH,GANGA IRON & STEEL TRADING COMPANY LIMITED,IVR BBB- (Reaffirmed),Long Term Bank Facilities,MEDIUM
GANPATI SPONGE IRON PRIVATE LIMITED,GANPATI SPONGE IRON PVT. LTD.,0.844,GANPATI SPONGE IRON PVT. LTD.,ACUITE,BBB,15-10-2025,True,MEDIUM,GANPATI SPONGE IRON PRIVATE LIMITED,IVR BB+ (Assigned and Withdrawn),Long Term Fund Based Facility - Term Loan,HIGH
GOA SPONGE AND POWER LIMITED,GOA SPONGE & POWER LTD.,0.824,GOA SPONGE & POWER LTD.,IND-RA,B/A4,19-12-2025,True,LOW,GOA SPONGE AND POWER LIMITED,IVR BBB- (Reaffirmed),Long Term Bank Facilities,MEDIUM
GUPTA METAL SHEETS LIMITED,GUPTA METAL SHEETS LTD.,0.898,GUPTA METAL SHEETS LTD.,CARE,B-,29-12-2025,False,LOW,GUPTA METAL SHEETS LIMITED,IVR A4 (Assigned),Short Term Bank Facility,MEDIUM
HILL BROW METALLICS AND CONSTRUCTION PRIVATE LIMITED,HILL-BROW METALLICS & CONSTRUCTION PVT. LTD.,0.833,HILL-BROW METALLICS & CONSTRUCTION PVT. LTD.,IND-RA,BB-/A4+,30-10-2025,False,MEDIUM,HILL BROW METALLICS AND CONSTRUCTION PRIVATE LIMITED,IVR A4+ (INC)(Downgraded),Short Term Bank Facilities,HIGH
HINDUPUR STEEL & ALLOYS PRIVATE LIMITED,HINDUPUR STEEL & ALLOYS PVT. LTD.,0.861,HINDUPUR STEEL & ALLOYS PVT. LTD.,CRISIL,A 3+,28-08-2025,False,MEDIUM,HINDUPUR STEEL & ALLOYS PRIVATE LIMITED,IVR BBB (INC)(Downgraded),Long Term Bank Facilities,MEDIUM
J B ROLLING MILLS LIMITED,J B ROLLING MILLS LTD.,0.894,J B ROLLING MILLS LTD.,CRISIL,A 2,10-04-2026,False,LOW,J B ROLLING MILLS LIMITED,IVR A3+ (Assigned),Short Term Bank Facilities- Letter of Credit,HIGH
JAY JAGDAMBA FORGINGS PRIVATE LIMITED,JAY JAGDAMBA FORGINGS PVT. LTD.,0.853,JAY JAGDAMBA FORGINGS PVT. LTD.,ACUITE,A,08-10-2025,False,MEDIUM,JAY JAGDAMBA FORGINGS PRIVATE LIMITED,IVR A3 (Issuer not Cooperating),Short Term Facilities (Non-Fund Based LC),HIGH
JS AUTO CAST FOUNDRY INDIA PRIVATE LIMITED,J S AUTO CAST FOUNDRY INDIA PVT. LTD.,0.861,J S AUTO CAST FOUNDRY INDIA PVT. LTD.,ACUITE,A 4,02-02-2026,True,LOW,JS AUTO CAST FOUNDRY INDIA PRIVATE LIMITED,IVR A4 (INC)(Reaffirmed),Short Term Bank Facilities,LOW
KALIKA STEEL ALLOYS PRIVATE LIMITED,KALIKA STEEL ALLOYS PVT. LTD.,0.844,KALIKA STEEL ALLOYS PVT. LTD.,CARE,BB-,01-04-2026,False,LOW,KALIKA STEEL ALLOYS PRIVATE LIMITED,IVR A- (Reaffirmed),Long Term Bank Facilities,MEDIUM
KARBONSTEEL ENGINEERING LIMITED,KARBONSTEEL ENGINEERING LTD.,0.915,KARBONSTEEL ENGINEERING LTD.,CRISIL,A 3+,28-11-2025,False,MEDIUM,KARBONSTEEL ENGINEERING LIMITED,IVR A4+ (INC)(Downgraded),Short Term Bank Facilities,MEDIUM
KASHVI POWER & STEEL PRIVATE LIMITED,KASHVI POWER & STEEL PVT. LTD.,0.848,KASHVI POWER & STEEL PVT. LTD.,CRISIL,BBB+,20-04-2026,False,LOW,KASHVI POWER & STEEL PRIVATE LIMITED,IVR BBB (Upgraded),Long Term Bank Facilities,MEDIUM
LAXCON STEELS LIMITED,LAXCON STEELS LTD.,0.872,LAXCON STEELS LTD.,CRISIL,A,27-03-2026,False,LOW,LAXCON STEELS LIMITED,IVR A1 (Reaffirmed and Withdrawn),Short Term Bank Facilities,HIGH
MAHENDRA SPONGE AND POWER LIMITED,MAHENDRA SPONGE & POWER LTD.,0.852,MAHENDRA SPONGE & POWER LTD.,ACUITE,A 4+,20-02-2026,True,LOW,MAHENDRA SPONGE AND POWER LIMITED,IVR A (Assigned),Long Term Bank Facilities,LOW
MANAKSIA COATED METALS & INDUSTRIES LIMITED,MANAKSIA COATED METALS & INDS. LTD.,0.846,MANAKSIA COATED METALS & INDS. LTD.,ACUITE,A,19-09-2025,False,MEDIUM,MANAKSIA COATED METALS & INDUSTRIES LIMITED,IVR BB+ (INC)(Reaffirmed and Withdrawn),Long Term Bank Facilities,HIGH
MANGALAM ALLOYS LIMITED,MANGALAM ALLOYS LTD.,0.884,MANGALAM ALLOYS LTD.,BRICKWORK,BB-,10-07-2025,True,MEDIUM,MANGALAM ALLOYS LIMITED,IVR A3+ (Reaffirmed),Short Term Bank Facilities,MEDIUM
MB SPONGE & POWER LIMITED,M B SPONGE & POWER LTD.,0.875,M B SPONGE & POWER LTD.,CRISIL,BBB,06-02-2026,False,LOW,MB SPONGE & POWER LIMITED,IVR A3 (Reaffirmed and Withdrawn),Short Term Bank Facilities,HIGH
MILLENIUM STEEL INDIA PRIVATE LIMITED,MILLENIUM STEEL INDIA PVT. LTD.,0.853,MILLENIUM STEEL INDIA PVT. LTD.,CARE,A 4,09-10-2025,True,MEDIUM,MILLENIUM STEEL INDIA PRIVATE LIMITED,IVR A4 (INC)(Reaffirmed),Short Term Bank Facilities,LOW
MONGIA STEEL LIMITED,MONGIA STEEL LTD.,0.865,MONGIA STEEL LTD.,CRISIL,A 2+,31-03-2026,False,LOW,MONGIA STEEL LIMITED,IVR A2 (Upgraded and Withdrawn),Short Term Facilities,HIGH
MONO STEEL INDIA LIMITED,MONO STEEL (INDIA) LTD.,0.851,MONO STEEL (INDIA) LTD.,CRISIL,A 4,26-05-2025,True,HIGH,MONO STEEL INDIA LIMITED,IVR BBB+ (Reaffirmed),Long Term Bank Facilities,HIGH
OM SHREE RUPESH STEEL PRIVATE LIMITED,OM SHREE RUPESH STEEL PVT. LTD.,0.853,OM SHREE RUPESH STEEL PVT. LTD.,CRISIL,BBB-,26-11-2025,False,MEDIUM,OM SHREE RUPESH STEEL PRIVATE LIMITED,IVR BBB (Assigned),Long Term Bank Facilities,HIGH
PURULIA METAL CASTINGS PRIVATE LIMITED,PURULIA METAL CASTING PVT. LTD.,0.841,PURULIA METAL CASTING PVT. LTD.,ACUITE,D,10-06-2025,False,HIGH,PURULIA METAL CASTINGS PRIVATE LIMITED,Withdrawn,Long Term Bank Facility,HIGH
R L STEELS AND ENERGY LIMITED,R L STEELS & ENERGY LTD.,0.83,R L STEELS & ENERGY LTD.,CARE,D,03-09-2025,True,MEDIUM,R L STEELS AND ENERGY LIMITED,IVR A3 (Reaffirmed),Short Term Bank Facilities,MEDIUM
RAIC INTEGRATED SPONGE & POWER PRIVATE LIMITED,RAIC INTEGRATED SPONGE & POWER PVT. LTD.,0.884,RAIC INTEGRATED SPONGE & POWER PVT. LTD.,CRISIL,A 1,31-03-2026,False,LOW,RAIC INTEGRATED SPONGE & POWER PRIVATE LIMITED,IVR A- (Reaffirmed and Withdrawn),Long Term Bank Facilities,HIGH
ROHIT IRON AND STEEL (INDIA) PRIVATE LIMITED,ROHIT IRON & STEEL (INDIA) PVT. LTD.,0.825,ROHIT IRON & STEEL (INDIA) PVT. LTD.,BRICKWORK,BB+/A4+,01-07-2025,True,MEDIUM,ROHIT IRON AND STEEL (INDIA) PRIVATE LIMITED,IVR BBB- (Assigned),Long Term Bank Facilities,MEDIUM
SAFI STEEL TRADERS PRIVATE LIMITED,SAFI STEEL TRADERS PVT. LTD.,0.839,SAFI STEEL TRADERS PVT. LTD.,CRISIL,B+,30-07-2025,True,MEDIUM,SAFI STEEL TRADERS PRIVATE LIMITED,IVR BB+ (Reaffirmed),Long Term Facilities,HIGH
SAGAR METALLICS PRIVATE LIMITED,SAGAR METALLICS PVT. LTD.,0.821,SAGAR METALLICS PVT. LTD.,CARE,B-,12-02-2026,True,LOW,SAGAR METALLICS PRIVATE LIMITED,IVR B (INC)(Downgraded),Long Term Bank Facilities,MEDIUM
SAKTHI FERRO ALLOYS (INDIA) PRIVATE LIMITED,SAKTHI FERRO ALLOYS (INDIA) PVT. LTD.,0.875,SAKTHI FERRO ALLOYS (INDIA) PVT. LTD.,CARE,BB+/A4+,26-06-2025,False,MEDIUM,SAKTHI FERRO ALLOYS (INDIA) PRIVATE LIMITED,IVR A4 (Reaffirmed and Withdrawn),Short Term Bank Facilities,HIGH
SAMRAT FORGINGS LIMITED,SAMRAT FORGINGS LTD.,0.884,SAMRAT FORGINGS LTD.,CRISIL,A 4+,30-09-2025,True,MEDIUM,SAMRAT FORGINGS LIMITED,IVR BBB- (Assigned),Long Term Facilities,MEDIUM
SANTPURIA ALLOYS PRIVATE LIMITED,SANTPURIA ALLOYS PVT. LTD.,0.828,SANTPURIA ALLOYS PVT. LTD.,CRISIL,A-,31-03-2026,False,LOW,SANTPURIA ALLOYS PRIVATE LIMITED,IVR A2 (Upgraded and Withdrawn),Short Term Facilities,HIGH
SARVOTTAM ROLLING MILLS PRIVATE LIMITED,SARVOTTAM ROLLING MILLS PVT. LTD.,0.861,SARVOTTAM ROLLING MILLS PVT. LTD.,CARE,A 4,19-03-2026,False,LOW,SARVOTTAM ROLLING MILLS PRIVATE LIMITED,IVR B+ (INC)(Downgraded),Long Term Bank Facilities,MEDIUM
SCAN STEELS LIMITED,SCAN STEELS LTD.,0.857,SCAN STEELS LTD.,CRISIL,BBB+,15-07-2025,False,MEDIUM,SCAN STEELS LIMITED,IVR BBB+ (Upgraded and Withdrawn),Long Term Bank Facilities,MEDIUM
SHIVAM IRON & STEEL COMPANY LIMITED,SHIVAM IRON & STEEL CO. LTD.,0.825,SHIVAM IRON & STEEL CO. LTD.,IND-RA,B-,23-07-2025,True,MEDIUM,SHIVAM IRON & STEEL COMPANY LIMITED,IVR BBB+ (Reaffirmed),Long Term Bank Facilities,MEDIUM
SHIVANGI ROLLING MILLS PRIVATE LIMITED,SHIVANGI ROLLING MILLS PVT. LTD.,0.857,SHIVANGI ROLLING MILLS PVT. LTD.,IND-RA,BB+,22-09-2025,False,MEDIUM,SHIVANGI ROLLING MILLS PRIVATE LIMITED,IVR BBB- (Assigned),Long Term Facilities,MEDIUM
SHREE KRISHNA ROLLING MILLS (JAIPUR) LIMITED,SHREE KRISHNA ROLLING MILLS (JAIPUR) LTD.,0.941,SHREE KRISHNA ROLLING MILLS (JAIPUR) LTD.,CRISIL,B,18-12-2025,True,MEDIUM,SHREE KRISHNA ROLLING MILLS (JAIPUR) LIMITED,IVR BBB- (Reaffirmed),Long Term Bank Facilities,MEDIUM
SHREEGOPAL GOVIND SPONGE PRIVATE LIMITED,SHREE GOPAL GOVIND SPONGE PVT. LTD.,0.853,SHREE GOPAL GOVIND SPONGE PVT. LTD.,ACUITE,A 4,17-12-2025,True,MEDIUM,SHREEGOPAL GOVIND SPONGE PRIVATE LIMITED,IVR BB (INC)(Downgraded),Long Term Bank Facilities,MEDIUM
SHRI MAHAVIR IRON & STEEL PRIVATE LIMITED,SHRI MAHAVIR IRON & STEEL PVT. LTD.,0.868,SHRI MAHAVIR IRON & STEEL PVT. LTD.,CARE,BB-,27-04-2026,True,LOW,SHRI MAHAVIR IRON & STEEL PRIVATE LIMITED,IVR BB+ (Assigned),Long Term Bank Facilities,MEDIUM
SHRI TIRUPATI STEELCAST LIMITED,SHRITIRUPATI STEELCAST LTD.,0.897,SHRITIRUPATI STEELCAST LTD.,CRISIL,BB+,11-07-2025,True,MEDIUM,SHRI TIRUPATI STEELCAST LIMITED,IVR A2 (Reaffirmed and Withdrawn),Short Term Facilities,LOW
SIMPLEX CASTINGS LIMITED,SIMPLEX CASTINGS LTD.,0.889,SIMPLEX CASTINGS LTD.,CARE,C,09-09-2025,False,MEDIUM,SIMPLEX CASTINGS LIMITED,IVR BB+ (Assigned),Long Term Bank Facilities,LOW
SIVANA STEEL & POWER PRIVATE LIMITED,SIVANA STEEL & POWER PVT. LTD.,0.848,SIVANA STEEL & POWER PVT. LTD.,CARE,B-,27-04-2026,True,LOW,SIVANA STEEL & POWER PRIVATE LIMITED,IVR BB (Assigned),Long Term Bank Facilities,HIGH
SKY ALLOYS AND POWER LIMITED,SKY ALLOYS & POWER LTD.,0.824,SKY ALLOYS & POWER LTD.,CRISIL,A-,09-02-2026,False,LOW,SKY ALLOYS AND POWER LIMITED,IVR A- (Reaffirmed)(Withdrawn),Long Term Bank Facilities,HIGH
SQUAD FORGING INDIA PRIVATE LIMITED,SQUAD FORGING INDIA PVT. LTD.,0.844,SQUAD FORGING INDIA PVT. LTD.,CARE,BBB-,07-07-2025,False,MEDIUM,SQUAD FORGING INDIA PRIVATE LIMITED,IVR A4 (Downgraded) (Withdrawn),Short Term Bank Facilities,MEDIUM
SRI KANYA IRON & STEEL PRIVATE LIMITED,SRI KANYA IRON & STEEL PVT. LTD.,0.857,SRI KANYA IRON & STEEL PVT. LTD.,CARE,BB+,17-02-2026,False,LOW,SRI KANYA IRON & STEEL PRIVATE LIMITED,IVR BB- (INC)(Downgraded),Long Term Bank Facilities,HIGH
STEEL EXCHANGE INDIA LIMITED,STEEL EXCHANGE INDIA LTD.,0.906,STEEL EXCHANGE INDIA LTD.,CARE,A 4+,08-10-2025,False,MEDIUM,STEEL EXCHANGE INDIA LIMITED,IVR BBB- (Assigned),Proposed Long Term Fund Based Bank Facilities,LOW
SUNDARAM STEELS PRIVATE LIMITED,SUNDARAM STEELS PVT. LTD.,0.821,SUNDARAM STEELS PVT. LTD.,CARE,B,24-04-2026,True,LOW,SUNDARAM STEELS PRIVATE LIMITED,IVR BBB (Reaffirmed),Long term Bank Facilities,LOW
SUPER IRON FOUNDRY LIMITED,SUPER IRON FOUNDRY LTD.,0.898,SUPER IRON FOUNDRY LTD.,CARE,B+,25-03-2026,True,LOW,SUPER IRON FOUNDRY LIMITED,IVR A3 (Reaffirmed),Short Term Bank Facilities,LOW
TEAM FERRO ALLOYS PRIVATE LIMITED,TEAM FERRO ALLOYS PVT. LTD.,0.833,TEAM FERRO ALLOYS PVT. LTD.,BRICKWORK,A 4,29-07-2025,True,MEDIUM,TEAM FERRO ALLOYS PRIVATE LIMITED,IVR A2 (Upgraded),Short Term Bank Facilities,MEDIUM
VIMLA FUELS & METALS LIMITED,VIMLA FUELS & METALS LTD.,0.906,VIMLA FUELS & METALS LTD.,ACUITE,D,17-04-2026,True,LOW,VIMLA FUELS & METALS LIMITED,IVR D (INC),Long Term Bank Facilities,LOW
WESTWELL IRON & STEEL PRIVATE LIMITED,WEST WELL IRON & STEEL PVT. LTD.,0.841,WEST WELL IRON & STEEL PVT. LTD.,CRISIL,B,28-02-2026,True,LOW,WESTWELL IRON & STEEL PRIVATE LIMITED,IVR A3 (Upgraded),Short Term Bank Facilities,HIGH
