Rank,Company_Name,Sector,Instrument,Current_Rater,Rating,Rating_Date,Urgency,INC_Flag,Tier,Why_Target,ACER_Pitch_Angle
11,Dhanashree Agro Products Pvt. Ltd.,AgroFood,Bank Guarantee,CRISIL,D,2025-05-19,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
12,Divya Agro Roller Flour Mills Pvt. Ltd.,AgroFood,Term loans,CARE,D,2025-06-09,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
13,Farm Fresh Kashmir,AgroFood,Long Term Bank Facilities,Infomerics,IVR C+ (INC)(Downgraded),2025-03-06,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
14,G H O Agro Pvt. Ltd.,AgroFood,Bank Guarantee,BRICKWORK,D,2025-05-13,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
15,G M Sugar & Energy Ltd.,AgroFood,Non-government debt,ICRA,B+/A4,2025-05-28,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
16,G M Sugar and Energy Limited,AgroFood,Long Term Bank Facilities,Infomerics,IVR BB+ (INC)(Downgraded),2025-02-14,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
17,Genuine Agro Spices (Partnership),AgroFood,Long Term Bank Facilities,Infomerics,IVR BB (INC)(Downgraded),2025-05-27,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
18,Genuine Agro Spices (Proprietorship),AgroFood,Short Term Bank Facilities,Infomerics,IVR A4 (INC)(Downgraded),2025-05-27,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
19,Gonglu Agro Pvt. Ltd.,AgroFood,Non-fund-based financial facility/instrument,ICRA,D,2025-05-14,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
20,Green Agro Pack Pvt. Ltd.,AgroFood,Letter Of credit,CRISIL,D,2025-05-14,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
21,H R Rice Mills Pvt. Ltd.,AgroFood,Bank Guarantee,CRISIL,A 4,2025-05-21,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
22,HMA Agro Industries Limited,AgroFood,Long Term Bank Facilities,Infomerics,IVR BBB+ (INC)(Reaffirmed and Withdrawn),2023-06-19,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
23,Hardayal Milk Products Pvt. Ltd.,AgroFood,Term loans,CARE,D,2025-05-12,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
24,Immaculate Agro Spices Private Limited,AgroFood,Long Term Bank Facilities,Infomerics,IVR BB (INC)(Downgraded),2025-05-27,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
25,Kamco Chew Food Private Limited (KCFPL),AgroFood,Long Term Bank Facilities,Infomerics,IVR BB+ (INC)(Downgraded),2025-04-21,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
26,Karnal Food Pack Cluster Limited,AgroFood,Long Term Bank Facility,Infomerics,IVR B (INC)(Downgraded),2024-12-20,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
27,Kartick Chandra Agro Products Private Limited,AgroFood,Long Term Bank Facility,Infomerics,IVR C (INC)(Reaffirmed),2025-01-24,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
28,Lakshya Food (India) Ltd.,AgroFood,Term loans,CARE,B-,2025-06-04,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
29,Limtex Agri Udyog Ltd.,AgroFood,Long term Loans,ICRA,D,2025-06-13,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
30,Madhucon Sugar & Power Inds. Ltd.,AgroFood,Term loans,ICRA,D,2025-05-23,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
31,Maharaja Roller Flour Mills Jalna Pvt. Ltd.,AgroFood,Term loans,BRICKWORK,D,2025-05-23,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
32,Majumder Agro Inds. Pvt. Ltd.,AgroFood,Term loans,CRISIL,BB,2025-05-30,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
33,Mauli Fresh Agro Inds. Pvt. Ltd.,AgroFood,Term loans,ICRA,B+,2025-05-23,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
34,Mundra Agro Pvt. Ltd.,AgroFood,Fund based financial facility/instrument,CRISIL,B+,2025-06-12,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
35,N.P. Agro (India) Industries Private Limited (NPAIIPL) (Erstwhile N.P. Agro (India) Industries Limited),AgroFood,Long Term Bank Facilities,Infomerics,IVR D (INC)(Reaffirmed and Withdrawn),2023-11-07,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
36,Nandi Grain Derivatives Pvt. Ltd.,AgroFood,Bank Guarantee,CARE,D,2025-05-28,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
37,Naturo Food & Fruit Products Pvt. Ltd.,AgroFood,Long term Loans,CRISIL,B,2025-05-30,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
38,New Leaf Tea Plantation Private Limited,AgroFood,Long Term Facilities,Infomerics,IVR B- (INC)(Reaffirmed),2025-06-02,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
39,Panchal Agro Fresh,AgroFood,Long Term Bank Facilities,Infomerics,IVR C+ (INC)(Downgraded),2024-11-27,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
40,Pandhari Milk Pvt. Ltd.,AgroFood,Term loans,BRICKWORK,D,2025-06-05,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
41,Purandar Milk & Agro Products Ltd.,AgroFood,Term loans,ICRA,D,2025-05-09,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
42,R N K Agro & Chemicals Pvt. Ltd.,AgroFood,Term loans,CRISIL,B+,2025-05-30,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
43,Santhagarik Agro Private Limited,AgroFood,Long Term Facilities,Infomerics,IVR C+ (INC) (Downgraded),2025-05-08,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
44,Satchidananda Agro Tech Pvt. Ltd.,AgroFood,Bank Guarantee,CRISIL,A 4,2025-06-13,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
45,Sathyam Roller Flour Mills Pvt. Ltd.,AgroFood,Bank Guarantee,BRICKWORK,A 4,2025-06-11,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
46,Shree Durga Khandsari (Sugar) Mills,AgroFood,Long Term Bank Facilities,Infomerics,IVR BB (INC) (Downgraded),2025-01-23,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
47,Shrinathji Agro Food Inds. Pvt. Ltd.,AgroFood,Non-fund-based financial facility/instrument,CRISIL,A 4,2025-06-13,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
48,Siddhashram Rice Mills Cluster Pvt. Ltd.,AgroFood,Term loans,ACUITE,D,2025-05-23,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
49,Siddhi Vinayak Roller Flour Mills Pvt. Ltd.,AgroFood,Long term Loans,CRISIL,B,2025-05-26,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
50,Supreme Nutri Grain Pvt. Ltd.,AgroFood,Non-fund-based financial facility/instrument,ICRA,A 4,2025-05-21,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
51,Thakur Agro Products,AgroFood,Long Term Bank Facilities,Infomerics,IVR B (INC)(Downgraded),2025-04-01,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
52,Varun Agro Processing Foods Private Limited,AgroFood,Long Term Bank Facilities,Infomerics,IVR BB- (INC)(Downgraded),2025-02-28,HIGH,YES,ULTRA HOT,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
53,Divine Motors Pvt. Ltd.,Automobiles/Auto,Term loans,BRICKWORK,B+,2025-06-09,HIGH,YES,ULTRA HOT,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
54,Pandit Automobiles Pvt. Ltd.,Automobiles/Auto,Bank Guarantee,BRICKWORK,A 4,2025-06-02,HIGH,YES,ULTRA HOT,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
55,Atlas Cycles (Haryana) Ltd.,Automobiles/Auto,Non-fund-based financial facility/instrument,ICRA,D,2025-05-28,HIGH,YES,ULTRA HOT,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
56,Bharat Motors Ltd.,Automobiles/Auto,Fund based financial facility/instrument,CRISIL,D,2025-06-09,HIGH,YES,ULTRA HOT,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
57,Dev Bhoomi Cars Pvt. Ltd.,Automobiles/Auto,Fund based financial facility/instrument,CRISIL,B,2025-06-10,HIGH,YES,ULTRA HOT,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
58,F P L Automobiles Pvt. Ltd.,Automobiles/Auto,Fund based financial facility/instrument,CARE,B-,2025-06-02,HIGH,YES,ULTRA HOT,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
59,Kun United Motors Pvt. Ltd.,Automobiles/Auto,Fund based financial facility/instrument,CRISIL,B,2025-05-15,HIGH,YES,ULTRA HOT,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
60,Mahakali Motors Pvt. Ltd.,Automobiles/Auto,Bank Guarantee,BRICKWORK,A 4,2025-05-22,HIGH,YES,ULTRA HOT,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
61,Matsya Automobiles Ltd.,Automobiles/Auto,Non-government debt,CARE,B-/A4,2025-05-14,HIGH,YES,ULTRA HOT,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
62,Meru Automobiles Pvt. Ltd.,Automobiles/Auto,Fund based financial facility/instrument,BRICKWORK,C,2025-05-07,HIGH,YES,ULTRA HOT,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
63,Paramashiva Motors Pvt. Ltd.,Automobiles/Auto,Fund based financial facility/instrument,CRISIL,B+,2025-06-13,HIGH,YES,ULTRA HOT,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
64,Revankar Motors Pvt. Ltd.,Automobiles/Auto,Term loans,BRICKWORK,C,2025-06-10,HIGH,YES,ULTRA HOT,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
65,S V M Cars Pvt. Ltd.,Automobiles/Auto,Fund based financial facility/instrument,CRISIL,A 4+,2025-05-27,HIGH,YES,ULTRA HOT,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
66,Sandeep Motors Pvt. Ltd.,Automobiles/Auto,Fund based financial facility/instrument,BRICKWORK,C,2025-05-23,HIGH,YES,ULTRA HOT,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
67,Smart Cars Pvt. Ltd.,Automobiles/Auto,Fund based financial facility/instrument,BRICKWORK,C,2025-05-14,HIGH,YES,ULTRA HOT,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
68,Trident Automobiles Pvt. Ltd.,Automobiles/Auto,Fund based financial facility/instrument,BRICKWORK,B-,2025-05-22,HIGH,YES,ULTRA HOT,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
69,Vamshi Motors Pvt. Ltd.,Automobiles/Auto,Bank Guarantee,CRISIL,A 4,2025-05-27,HIGH,YES,ULTRA HOT,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days"
70,B W D A Finance Ltd.,BFSI,Long term Loans,ACUITE,BB,2025-05-08,HIGH,YES,ULTRA HOT,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.
71,Genesis Finance Co. Ltd.,BFSI,Term loans,BRICKWORK,B,2025-05-12,HIGH,YES,ULTRA HOT,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.
72,Glowmore Finance Private Limited,BFSI,Proposed Long-term Bank Facilities,Infomerics,IVR B- (INC)(Downgraded),2025-04-30,HIGH,YES,ULTRA HOT,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.
73,Reliance Commercial Finance Ltd.,BFSI,Debentures / Bonds / notes / bills,BRICKWORK,PP-MLD D,2025-06-11,HIGH,YES,ULTRA HOT,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.
