Company Name,Instrument Type,Current Rating Agency,Current Rating,Rating Date,Urgency,Facility Amount (Cr),Why Target,ACER Pitch Angle
Anuspa Heritage Products Pvt. Ltd.,Letter Of credit,CARE,A 4,09-05-2025,ULTRA HOT,1.00,CARE INC — rating lapsed 406 days ago — Letter Of credit,CRITICAL — 12+ months overdue: CARE LC INC rate is 46.1% — second worst. ACER offers guaranteed LC coverage with RBI-compliant rating for uninterrupted trade finance
Anuspa Heritage Products Pvt. Ltd.,Non-government debt,CARE,B+/A4,09-05-2025,ULTRA HOT,3.75,CARE INC — rating lapsed 406 days ago — Non-government debt,CRITICAL — 12+ months overdue: NCD/Bond rating from CARE has lapsed — ACER can re-issue rating for refinancing or fresh capital raise
Anuspa Heritage Products Pvt. Ltd.,Term loans,CARE,B+,09-05-2025,ULTRA HOT,3.77,CARE INC — rating lapsed 406 days ago — Term loans,CRITICAL — 12+ months overdue: CARE term loan INC 30.5% — rating overdue means bank covenant breach risk. ACER prevents compliance gap
Appollo Distilleries & Breweries Pvt. Ltd.,Term loans,CARE,D,26-05-2025,ULTRA HOT,42.40,CARE INC — rating lapsed 389 days ago — Term loans,CRITICAL — 12+ months overdue: CARE term loan INC 30.5% — rating overdue means bank covenant breach risk. ACER prevents compliance gap
Arabian Petroleum Ltd.,Term loans,CARE,BB-,13-06-2025,ULTRA HOT,2.93,CARE INC — rating lapsed 371 days ago — Term loans,CRITICAL — 12+ months overdue: CARE term loan INC 30.5% — rating overdue means bank covenant breach risk. ACER prevents compliance gap
Arihant Sugar Inds. Ltd.,Term loans,CARE,D,19-06-2025,ULTRA HOT,28.27,CARE INC — rating lapsed 365 days ago — Term loans,CRITICAL — 12+ months overdue: CARE term loan INC 30.5% — rating overdue means bank covenant breach risk. ACER prevents compliance gap
Arora Knit Fab Pvt. Ltd.,Term loans,CARE,D,12-05-2025,ULTRA HOT,11.89,CARE INC — rating lapsed 403 days ago — Term loans,CRITICAL — 12+ months overdue: CARE term loan INC 30.5% — rating overdue means bank covenant breach risk. ACER prevents compliance gap
Arupadai Arulmurugan Spinners Pvt. Ltd.,Term loans,CARE,B-,22-05-2025,ULTRA HOT,0.81,CARE INC — rating lapsed 393 days ago — Term loans,CRITICAL — 12+ months overdue: CARE term loan INC 30.5% — rating overdue means bank covenant breach risk. ACER prevents compliance gap
Associated Industrial Furnaces Pvt. Ltd.,Non-government debt,CARE,B-/A4,14-05-2025,ULTRA HOT,13.50,CARE INC — rating lapsed 401 days ago — Non-government debt,CRITICAL — 12+ months overdue: NCD/Bond rating from CARE has lapsed — ACER can re-issue rating for refinancing or fresh capital raise
Associated Industrial Furnaces Pvt. Ltd.,Term loans,CARE,B-,14-05-2025,ULTRA HOT,0.68,CARE INC — rating lapsed 401 days ago — Term loans,CRITICAL — 12+ months overdue: CARE term loan INC 30.5% — rating overdue means bank covenant breach risk. ACER prevents compliance gap
Atmastco Ltd.,Bank Guarantee,CARE,A 4,03-06-2025,ULTRA HOT,20.00,CARE INC — rating lapsed 381 days ago — Bank Guarantee,CRITICAL — 12+ months overdue: CARE BG 41.5% INC — contractor segment abandoned. ACER BG rating in 15 days — never miss a tender deadline
Atmastco Ltd.,Bank Guarantee,CARE,B-,03-06-2025,ULTRA HOT,23.00,CARE INC — rating lapsed 381 days ago — Bank Guarantee,CRITICAL — 12+ months overdue: CARE BG 41.5% INC — contractor segment abandoned. ACER BG rating in 15 days — never miss a tender deadline
Atmastco Ltd.,Term loans,CARE,B-,03-06-2025,ULTRA HOT,9.03,CARE INC — rating lapsed 381 days ago — Term loans,CRITICAL — 12+ months overdue: CARE term loan INC 30.5% — rating overdue means bank covenant breach risk. ACER prevents compliance gap
Azeen Agro Pvt. Ltd.,Fund based financial facility/instrument,CARE,B-,17-06-2025,ULTRA HOT,0.37,CARE INC — rating lapsed 367 days ago — Fund based financial facility/instrument,CRITICAL — 12+ months overdue: CARE fund-based INC 37.5% — bank facility rating lapsed. ACER re-rates in 10 business days
Azeen Agro Pvt. Ltd.,Non-government debt,CARE,B-/A4,17-06-2025,ULTRA HOT,5.01,CARE INC — rating lapsed 367 days ago — Non-government debt,CRITICAL — 12+ months overdue: NCD/Bond rating from CARE has lapsed — ACER can re-issue rating for refinancing or fresh capital raise
B K Agro Products Pvt. Ltd.,Bank Guarantee,CARE,A 4,12-05-2025,ULTRA HOT,1.30,CARE INC — rating lapsed 403 days ago — Bank Guarantee,CRITICAL — 12+ months overdue: CARE BG 41.5% INC — contractor segment abandoned. ACER BG rating in 15 days — never miss a tender deadline
B K Agro Products Pvt. Ltd.,Term loans,CARE,BB,12-05-2025,ULTRA HOT,8.42,CARE INC — rating lapsed 403 days ago — Term loans,CRITICAL — 12+ months overdue: CARE term loan INC 30.5% — rating overdue means bank covenant breach risk. ACER prevents compliance gap
Bagkiya Constructions Pvt. Ltd.,Bank Guarantee,CARE,A 4,10-06-2025,ULTRA HOT,30.00,CARE INC — rating lapsed 374 days ago — Bank Guarantee,CRITICAL — 12+ months overdue: CARE BG 41.5% INC — contractor segment abandoned. ACER BG rating in 15 days — never miss a tender deadline
Bagkiya Constructions Pvt. Ltd.,Fund based financial facility/instrument,CARE,B-,10-06-2025,ULTRA HOT,4.60,CARE INC — rating lapsed 374 days ago — Fund based financial facility/instrument,CRITICAL — 12+ months overdue: CARE fund-based INC 37.5% — bank facility rating lapsed. ACER re-rates in 10 business days
Bagkiya Constructions Pvt. Ltd.,Non-government debt,CARE,B-/A4,10-06-2025,ULTRA HOT,2.00,CARE INC — rating lapsed 374 days ago — Non-government debt,CRITICAL — 12+ months overdue: NCD/Bond rating from CARE has lapsed — ACER can re-issue rating for refinancing or fresh capital raise
Bagkiya Constructions Pvt. Ltd.,Term loans,CARE,B-,10-06-2025,ULTRA HOT,0.34,CARE INC — rating lapsed 374 days ago — Term loans,CRITICAL — 12+ months overdue: CARE term loan INC 30.5% — rating overdue means bank covenant breach risk. ACER prevents compliance gap
Banglore Polymers Pvt. Ltd.,Non-government debt,CARE,C/A4,13-06-2025,ULTRA HOT,3.00,CARE INC — rating lapsed 371 days ago — Non-government debt,CRITICAL — 12+ months overdue: NCD/Bond rating from CARE has lapsed — ACER can re-issue rating for refinancing or fresh capital raise
Banglore Polymers Pvt. Ltd.,Non-government debt,CARE,C/A4,13-06-2025,ULTRA HOT,6.00,CARE INC — rating lapsed 371 days ago — Non-government debt,CRITICAL — 12+ months overdue: NCD/Bond rating from CARE has lapsed — ACER can re-issue rating for refinancing or fresh capital raise
Benara Bearings & Pistons Ltd.,Bank Guarantee,CARE,D,29-05-2025,ULTRA HOT,2.99,CARE INC — rating lapsed 386 days ago — Bank Guarantee,CRITICAL — 12+ months overdue: CARE BG 41.5% INC — contractor segment abandoned. ACER BG rating in 15 days — never miss a tender deadline
Benara Bearings & Pistons Ltd.,Term loans,CARE,D,29-05-2025,ULTRA HOT,8.41,CARE INC — rating lapsed 386 days ago — Term loans,CRITICAL — 12+ months overdue: CARE term loan INC 30.5% — rating overdue means bank covenant breach risk. ACER prevents compliance gap
Bharati Motors Pvt. Ltd.,Bank Guarantee,CARE,A 4,19-06-2025,ULTRA HOT,0.70,CARE INC — rating lapsed 365 days ago — Bank Guarantee,CRITICAL — 12+ months overdue: CARE BG 41.5% INC — contractor segment abandoned. ACER BG rating in 15 days — never miss a tender deadline
Bharati Motors Pvt. Ltd.,Fund based financial facility/instrument,CARE,B-,19-06-2025,ULTRA HOT,8.00,CARE INC — rating lapsed 365 days ago — Fund based financial facility/instrument,CRITICAL — 12+ months overdue: CARE fund-based INC 37.5% — bank facility rating lapsed. ACER re-rates in 10 business days
Bhardwaj Overseas Pvt. Ltd.,Non-government debt,CARE,BB-/A4,19-06-2025,ULTRA HOT,12.15,CARE INC — rating lapsed 365 days ago — Non-government debt,CRITICAL — 12+ months overdue: NCD/Bond rating from CARE has lapsed — ACER can re-issue rating for refinancing or fresh capital raise
Bhardwaj Overseas Pvt. Ltd.,Term loans,CARE,BB-,19-06-2025,ULTRA HOT,3.85,CARE INC — rating lapsed 365 days ago — Term loans,CRITICAL — 12+ months overdue: CARE term loan INC 30.5% — rating overdue means bank covenant breach risk. ACER prevents compliance gap
Bhind Mihona Gopalpur Toll Roads Ltd.,Term loans,CARE,D,20-06-2025,ULTRA HOT,52.35,CARE INC — rating lapsed 364 days ago — Term loans,CRITICAL — 12+ months overdue: CARE term loan INC 30.5% — rating overdue means bank covenant breach risk. ACER prevents compliance gap
Bismi Connect Ltd.,Term loans,CARE,B,09-06-2025,ULTRA HOT,12.03,CARE INC — rating lapsed 375 days ago — Term loans,CRITICAL — 12+ months overdue: CARE term loan INC 30.5% — rating overdue means bank covenant breach risk. ACER prevents compliance gap
Blue Ocean Beverages Pvt. Ltd.,Term loans,CARE,B+,03-06-2025,ULTRA HOT,1.42,CARE INC — rating lapsed 381 days ago — Term loans,CRITICAL — 12+ months overdue: CARE term loan INC 30.5% — rating overdue means bank covenant breach risk. ACER prevents compliance gap
C M K Projects Pvt. Ltd.,Bank Guarantee,CARE,A 4,18-06-2025,ULTRA HOT,25.00,CARE INC — rating lapsed 366 days ago — Bank Guarantee,CRITICAL — 12+ months overdue: CARE BG 41.5% INC — contractor segment abandoned. ACER BG rating in 15 days — never miss a tender deadline
Camson Agri-Ventures Pvt. Ltd.,Bank Guarantee,CARE,D,26-05-2025,ULTRA HOT,3.00,CARE INC — rating lapsed 389 days ago — Bank Guarantee,CRITICAL — 12+ months overdue: CARE BG 41.5% INC — contractor segment abandoned. ACER BG rating in 15 days — never miss a tender deadline
Cantech Engineers Pvt. Ltd.,Fund based financial facility/instrument,CARE,B-,23-05-2025,ULTRA HOT,1.00,CARE INC — rating lapsed 392 days ago — Fund based financial facility/instrument,CRITICAL — 12+ months overdue: CARE fund-based INC 37.5% — bank facility rating lapsed. ACER re-rates in 10 business days
Cantech Engineers Pvt. Ltd.,Term loans,CARE,B-,23-05-2025,ULTRA HOT,5.34,CARE INC — rating lapsed 392 days ago — Term loans,CRITICAL — 12+ months overdue: CARE term loan INC 30.5% — rating overdue means bank covenant breach risk. ACER prevents compliance gap
Caprihans India Ltd.,Non-fund-based financial facility/instrument,CARE,A 4,19-05-2025,ULTRA HOT,51.75,CARE INC — rating lapsed 396 days ago — Non-fund-based financial facility/instrument,CRITICAL — 12+ months overdue: Non-fund facility rating lapsed — ACER covers NFB instruments with same-day turnaround on documentation
Caprihans India Ltd.,Non-government debt,CARE,B+/A4,19-05-2025,ULTRA HOT,1.00,CARE INC — rating lapsed 396 days ago — Non-government debt,CRITICAL — 12+ months overdue: NCD/Bond rating from CARE has lapsed — ACER can re-issue rating for refinancing or fresh capital raise
Caprihans India Ltd.,Term loans,CARE,B+,19-05-2025,ULTRA HOT,570.00,CARE INC — rating lapsed 396 days ago — Term loans,CRITICAL — 12+ months overdue: CARE term loan INC 30.5% — rating overdue means bank covenant breach risk. ACER prevents compliance gap
Cenosphere India Pvt. Ltd.,Bank Guarantee,CARE,A 4,28-05-2025,ULTRA HOT,0.25,CARE INC — rating lapsed 387 days ago — Bank Guarantee,CRITICAL — 12+ months overdue: CARE BG 41.5% INC — contractor segment abandoned. ACER BG rating in 15 days — never miss a tender deadline
Cenosphere India Pvt. Ltd.,Letter Of credit,CARE,A 4,28-05-2025,ULTRA HOT,2.00,CARE INC — rating lapsed 387 days ago — Letter Of credit,CRITICAL — 12+ months overdue: CARE LC INC rate is 46.1% — second worst. ACER offers guaranteed LC coverage with RBI-compliant rating for uninterrupted trade finance
Cenosphere India Pvt. Ltd.,Non-government debt,CARE,B/A4,28-05-2025,ULTRA HOT,0.50,CARE INC — rating lapsed 387 days ago — Non-government debt,CRITICAL — 12+ months overdue: NCD/Bond rating from CARE has lapsed — ACER can re-issue rating for refinancing or fresh capital raise
Cenosphere India Pvt. Ltd.,Term loans,CARE,B,28-05-2025,ULTRA HOT,1.28,CARE INC — rating lapsed 387 days ago — Term loans,CRITICAL — 12+ months overdue: CARE term loan INC 30.5% — rating overdue means bank covenant breach risk. ACER prevents compliance gap
Chandra Bhagat Pharma Ltd.,Bank Guarantee,CARE,D,30-05-2025,ULTRA HOT,5.00,CARE INC — rating lapsed 385 days ago — Bank Guarantee,CRITICAL — 12+ months overdue: CARE BG 41.5% INC — contractor segment abandoned. ACER BG rating in 15 days — never miss a tender deadline
Colour Cottex Pvt. Ltd.,Term loans,CARE,D,02-06-2025,ULTRA HOT,0.98,CARE INC — rating lapsed 382 days ago — Term loans,CRITICAL — 12+ months overdue: CARE term loan INC 30.5% — rating overdue means bank covenant breach risk. ACER prevents compliance gap
Continental Corrugators Pvt. Ltd.,Term loans,CARE,B,09-06-2025,ULTRA HOT,6.34,CARE INC — rating lapsed 375 days ago — Term loans,CRITICAL — 12+ months overdue: CARE term loan INC 30.5% — rating overdue means bank covenant breach risk. ACER prevents compliance gap
Cosmo Granites Pvt. Ltd.,Term loans,CARE,B-,03-06-2025,ULTRA HOT,5.36,CARE INC — rating lapsed 381 days ago — Term loans,CRITICAL — 12+ months overdue: CARE term loan INC 30.5% — rating overdue means bank covenant breach risk. ACER prevents compliance gap
Cosmos Infra Engg. (India) Pvt. Ltd.,Term loans,CARE,C,07-05-2025,ULTRA HOT,55.00,CARE INC — rating lapsed 408 days ago — Term loans,CRITICAL — 12+ months overdue: CARE term loan INC 30.5% — rating overdue means bank covenant breach risk. ACER prevents compliance gap
Cucku Enterprises Pvt. Ltd.,Non-government debt,CARE,D,07-05-2025,ULTRA HOT,6.50,CARE INC — rating lapsed 408 days ago — Non-government debt,CRITICAL — 12+ months overdue: NCD/Bond rating from CARE has lapsed — ACER can re-issue rating for refinancing or fresh capital raise
D M P Nirman Pvt. Ltd.,Bank Guarantee,CARE,A 4,22-05-2025,ULTRA HOT,8.00,CARE INC — rating lapsed 393 days ago — Bank Guarantee,CRITICAL — 12+ months overdue: CARE BG 41.5% INC — contractor segment abandoned. ACER BG rating in 15 days — never miss a tender deadline
D S G Papers Pvt. Ltd.,Bank Guarantee,CARE,A 4,18-06-2025,ULTRA HOT,2.00,CARE INC — rating lapsed 366 days ago — Bank Guarantee,CRITICAL — 12+ months overdue: CARE BG 41.5% INC — contractor segment abandoned. ACER BG rating in 15 days — never miss a tender deadline
D S G Papers Pvt. Ltd.,Term loans,CARE,B+,18-06-2025,ULTRA HOT,19.40,CARE INC — rating lapsed 366 days ago — Term loans,CRITICAL — 12+ months overdue: CARE term loan INC 30.5% — rating overdue means bank covenant breach risk. ACER prevents compliance gap
Deep Wines & Agencies Pvt. Ltd.,Non-government debt,CARE,BB-/A4,14-05-2025,ULTRA HOT,10.27,CARE INC — rating lapsed 401 days ago — Non-government debt,CRITICAL — 12+ months overdue: NCD/Bond rating from CARE has lapsed — ACER can re-issue rating for refinancing or fresh capital raise
Deepak Vegpro Pvt. Ltd.,Non-government debt,CARE,BB/A4,14-05-2025,ULTRA HOT,50.00,CARE INC — rating lapsed 401 days ago — Non-government debt,CRITICAL — 12+ months overdue: NCD/Bond rating from CARE has lapsed — ACER can re-issue rating for refinancing or fresh capital raise
Deepak Vegpro Pvt. Ltd.,Non-government debt,CARE,BB/A4,14-05-2025,ULTRA HOT,100.00,CARE INC — rating lapsed 401 days ago — Non-government debt,CRITICAL — 12+ months overdue: NCD/Bond rating from CARE has lapsed — ACER can re-issue rating for refinancing or fresh capital raise
Deoghar Industries Pvt. Ltd.,Term loans,CARE,B+,03-06-2025,ULTRA HOT,6.72,CARE INC — rating lapsed 381 days ago — Term loans,CRITICAL — 12+ months overdue: CARE term loan INC 30.5% — rating overdue means bank covenant breach risk. ACER prevents compliance gap
Deoghar Industries Pvt. Ltd.,Term loans,CARE,B+,03-06-2025,ULTRA HOT,3.02,CARE INC — rating lapsed 381 days ago — Term loans,CRITICAL — 12+ months overdue: CARE term loan INC 30.5% — rating overdue means bank covenant breach risk. ACER prevents compliance gap
Dhan Steels Pvt. Ltd.,Non-government debt,CARE,B/A4,08-05-2025,ULTRA HOT,35.00,CARE INC — rating lapsed 407 days ago — Non-government debt,CRITICAL — 12+ months overdue: NCD/Bond rating from CARE has lapsed — ACER can re-issue rating for refinancing or fresh capital raise
Dhatre Udyog Ltd.,Bank Guarantee,CARE,D,23-06-2025,ULTRA HOT,25.00,CARE INC — rating lapsed 361 days ago — Bank Guarantee,CRITICAL — 12+ months overdue: CARE BG 41.5% INC — contractor segment abandoned. ACER BG rating in 15 days — never miss a tender deadline
Dhatre Udyog Ltd.,Letter Of credit,CARE,D,23-06-2025,ULTRA HOT,100.00,CARE INC — rating lapsed 361 days ago — Letter Of credit,CRITICAL — 12+ months overdue: CARE LC INC rate is 46.1% — second worst. ACER offers guaranteed LC coverage with RBI-compliant rating for uninterrupted trade finance
Dishnet Wireless Ltd.,Bank Guarantee,CARE,D,26-05-2025,ULTRA HOT,3750.00,CARE INC — rating lapsed 389 days ago — Bank Guarantee,CRITICAL — 12+ months overdue: CARE BG 41.5% INC — contractor segment abandoned. ACER BG rating in 15 days — never miss a tender deadline
Dishnet Wireless Ltd.,Term loans,CARE,D,26-05-2025,ULTRA HOT,13729.00,CARE INC — rating lapsed 389 days ago — Term loans,CRITICAL — 12+ months overdue: CARE term loan INC 30.5% — rating overdue means bank covenant breach risk. ACER prevents compliance gap
Divya Agro Roller Flour Mills Pvt. Ltd.,Term loans,CARE,D,09-06-2025,ULTRA HOT,8.20,CARE INC — rating lapsed 375 days ago — Term loans,CRITICAL — 12+ months overdue: CARE term loan INC 30.5% — rating overdue means bank covenant breach risk. ACER prevents compliance gap
Dugar Overseas Pvt. Ltd.,Bank Guarantee,CARE,A 4,21-05-2025,ULTRA HOT,18.00,CARE INC — rating lapsed 394 days ago — Bank Guarantee,CRITICAL — 12+ months overdue: CARE BG 41.5% INC — contractor segment abandoned. ACER BG rating in 15 days — never miss a tender deadline
Dugar Overseas Pvt. Ltd.,Term loans,CARE,BB-,21-05-2025,ULTRA HOT,1.84,CARE INC — rating lapsed 394 days ago — Term loans,CRITICAL — 12+ months overdue: CARE term loan INC 30.5% — rating overdue means bank covenant breach risk. ACER prevents compliance gap
Dura Roof Pvt. Ltd.,Bank Guarantee,CARE,A 4,22-05-2025,ULTRA HOT,1.50,CARE INC — rating lapsed 393 days ago — Bank Guarantee,CRITICAL — 12+ months overdue: CARE BG 41.5% INC — contractor segment abandoned. ACER BG rating in 15 days — never miss a tender deadline
Dura Roof Pvt. Ltd.,Letter Of credit,CARE,A 4,22-05-2025,ULTRA HOT,1.00,CARE INC — rating lapsed 393 days ago — Letter Of credit,CRITICAL — 12+ months overdue: CARE LC INC rate is 46.1% — second worst. ACER offers guaranteed LC coverage with RBI-compliant rating for uninterrupted trade finance
Dura Roof Pvt. Ltd.,Term loans,CARE,B-,22-05-2025,ULTRA HOT,4.24,CARE INC — rating lapsed 393 days ago — Term loans,CRITICAL — 12+ months overdue: CARE term loan INC 30.5% — rating overdue means bank covenant breach risk. ACER prevents compliance gap
