Company Name,Agency,Instrument Type,Rating,Rating Date,Amount_Cr,NCD_Flag,Sector,August_Priority,Call_Reason,August_Call_Group,ACER Pitch Angle,Urgency_Aug,Week_Sequence
Indraprastha Foods Limited,Infomerics,Long Term Bank Facilities,IVR B (INC) (Downgraded),2025-12-01,42.25,Standard,Agro/Food,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
Chandresh Cables Ltd.,ACUITE,Term Loan,BB+,2025-12-01,31.16,Standard,Other,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
A B Grain Spirits Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-12-01,28.0,Standard,Agro/Food,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Bank Guarantee at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
Jagaran Microfin Pvt. Ltd.,ACUITE,Term Loan,BB,2025-12-01,27.5,Standard,BFSI,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
J R M Foods Pvt. Ltd.,BRICKWORK,Fund-Based,A 4,2025-12-01,25.0,Standard,Agro/Food,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Fund-Based at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
Turbhe Chemicals Pvt. Ltd.,CARE,NCD/Bond,B+/A4,2025-12-01,21.0,NCD — SEBI License Required,Chemicals/Pharma,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
Inox World Inds. Pvt. Ltd.,BRICKWORK,Term Loan,C,2025-12-01,20.0,Standard,Other,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
Mehar Mediserve LLP,Infomerics,Long Term Bank Facilities,IVR C+ (INC) (Downgraded),2025-12-01,20.0,Standard,Other,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
Mathan Caar Decors,Infomerics,Long Term Bank Facilities,IVR B- (INC) (Downgraded),2025-12-01,20.0,Standard,Other,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
Vision India Tech Services Limited (Erstwhile Vision India Software Exports Limited),Infomerics,Short Term Bank Facilities,IVR A4 (INC) (Reaffirmed),2025-12-01,18.48,Standard,IT/Technology,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
Livenza Granito LLP,Infomerics,Long Term Bank Facilities,IVR B+ (INC) (Downgraded),2025-12-01,16.33,Standard,Other,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
Orient Steel & Inds. Ltd.,ACUITE,Letter of Credit,A 4,2025-12-01,12.0,Standard,Steel & Metals,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Letter of Credit at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
Jagaran Microfin Pvt. Ltd.,ACUITE,Term Loan,BB,2025-12-01,11.35,Standard,BFSI,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
Sunil Sponge Pvt. Ltd.,CARE,Letter of Credit,A 4,2025-12-01,10.0,Standard,Other,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Letter of Credit at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
Narayani Coke Pvt. Ltd.,CARE,NCD/Bond,BB+/A4+,2025-12-01,9.0,NCD — SEBI License Required,Other,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
J R M Foods Pvt. Ltd.,BRICKWORK,Term Loan,B+,2025-12-01,8.25,Standard,Agro/Food,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
Adachi Natural Polymer Ltd.,CARE,NCD/Bond,B-/A4,2025-12-01,6.5,NCD — SEBI License Required,Chemicals/Pharma,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
Vision India Tech Services Limited (Erstwhile Vision India Software Exports Limited),Infomerics,Long Term Bank Facilities,IVR B (INC) (Downgraded),2025-12-01,5.9,Standard,IT/Technology,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
Chandresh Cables Ltd.,ACUITE,Letter of Credit,A 4+,2025-12-01,5.5,Standard,Other,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Letter of Credit at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
G D Dyestuff Inds. Ltd.,IND-RA,Letter of Credit,A 4,2025-12-01,5.0,Standard,Other,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Letter of Credit at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
Yash Metal Impex Pvt. Ltd.,ACUITE,Letter of Credit,A 4,2025-12-01,4.25,Standard,Steel & Metals,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Letter of Credit at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
Chandresh Cables Ltd.,ACUITE,Bank Guarantee,A 4+,2025-12-01,4.0,Standard,Other,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Bank Guarantee at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
S V P Industries Ltd.,BRICKWORK,Non-Fund-Based,A 4,2025-12-01,4.0,Standard,Other,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Non-Fund-Based at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
Livenza Granito LLP,Infomerics,Short Term Bank Facilities,IVR A4 (INC) (Reaffirmed),2025-12-01,4.0,Standard,Other,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
Orient Steel & Inds. Ltd.,ACUITE,Bank Guarantee,A 4,2025-12-01,3.5,Standard,Steel & Metals,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Bank Guarantee at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
Ronak Processors Pvt. Ltd.,CARE,Term Loan,B-,2025-12-01,3.44,Standard,Other,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
Viswaat Chemicals Ltd.,CARE,NCD/Bond,BB/A4,2025-12-01,3.0,NCD — SEBI License Required,Chemicals/Pharma,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
A B Grain Spirits Pvt. Ltd.,BRICKWORK,Term Loan,B+,2025-12-01,2.84,Standard,Agro/Food,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
Alfa-Therm Ltd.,CARE,NCD/Bond,B-/A4,2025-12-01,2.67,NCD — SEBI License Required,Other,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
Adachi Natural Polymer Ltd.,CARE,Term Loan,B-,2025-12-01,2.45,Standard,Chemicals/Pharma,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
G D Dyestuff Inds. Ltd.,IND-RA,Term Loan,B+,2025-12-01,2.38,Standard,Other,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
Ronak Processors Pvt. Ltd.,CARE,Term Loan,B-,2025-12-01,2.24,Standard,Other,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
Mohite Industries Limited,Infomerics,Short Term Bank Facilities,IVR A4 (INC) (Reaffirmed),2025-12-01,2.0,Standard,Other,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
Turbhe Chemicals Pvt. Ltd.,CARE,Term Loan,B+,2025-12-01,1.68,Standard,Chemicals/Pharma,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
Aryavrata Steel Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,2025-12-01,1.5,Standard,Steel & Metals,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Bank Guarantee at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
Sonamoti Agrotech Pvt. Ltd.,CARE,Term Loan,B-,2025-12-01,1.23,Standard,Agro/Food,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
Turbhe Chemicals Pvt. Ltd.,CARE,Term Loan,B+,2025-12-01,1.21,Standard,Chemicals/Pharma,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
Indraprastha Foods Limited,Infomerics,Short Term Bank Facilities,IVR A4 (INC) (Reaffirmed),2025-12-01,0.75,Standard,Agro/Food,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
T C S & Associates Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-01,0.71,Standard,Other,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
Inox World Inds. Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-12-01,0.4,Standard,Other,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Bank Guarantee at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
G D Dyestuff Inds. Ltd.,IND-RA,Bank Guarantee,A 4,2025-12-01,0.3,Standard,Other,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Bank Guarantee at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
Adachi Natural Polymer Ltd.,CARE,Non-Fund-Based,A 4,2025-12-01,0.04,Standard,Chemicals/Pharma,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Non-Fund-Based at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
Krishna Constellation Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,2025-12-02,223.0,Standard,Other,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
Laxmiroop Private Limited,Infomerics,Long Term Bank Facilities,IVR D (INC) (Reaffirmed),2025-12-02,123.56,Standard,Other,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
Manohar Lal Sarraf & Sons Jewellers Pvt. Ltd.,CARE,NCD/Bond,BB+/A4,2025-12-02,83.0,NCD — SEBI License Required,Jewellery,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
M R L Tyres Ltd.,CRISIL,Letter of Credit,A 4+,2025-12-02,65.0,Standard,Other,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
Meenakshi Ammal Trust,Infomerics,Long Term Bank Facilities,IVR B+ (INC) (Downgraded),2025-12-02,55.0,Standard,Other,GHOST HOT — Dec 2026 escalation,INC hits ULTRA HOT in Dec 2026 — call Aug/Sep to get 3-month head start,GROUP A: Ghost HOT (December escalation),Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,HOT → escalating to ULTRA HOT by Dec 2026,Aug Wk2-4 (Aug 8-31): Ghost HOT by agency
