Company Name,Agency,Instrument,Rating,Rating Date,Days_INC,Current Urgency,MEDIUM_Date,HOT_Date,ULTRA_HOT_Date,Q2_Escalation_Month,Amount_Cr,Sector,NCD_Flag,Why Target,ACER Pitch Angle,Source
Azam Rubber Products Pvt. Ltd.,CARE,Non-fund-based financial facility/instrument,D,2026-04-15,74,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,30.8,Other,Standard,"INC since Apr 2026 (74 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-fund-based financial facility/instrument at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Azam Rubber Products Pvt. Ltd.,CARE,Term loans,D,2026-04-15,74,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,29.48,Other,Standard,"INC since Apr 2026 (74 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
B A S S Minerals India Pvt. Ltd.,IND-RA,Non-government debt,B-/A4,2026-04-02,87,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,5.0,Mining/Minerals,NCD — SEBI License Required,"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
B C L Secure Premises Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2026-04-22,67,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,10.0,Other,Standard,"INC since Apr 2026 (67 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
B C L Secure Premises Pvt. Ltd.,CRISIL,Long term Loans,B,2026-04-22,67,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,1.0,Other,Standard,"INC since Apr 2026 (67 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Long term Loans at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
B D Steels Pvt. Ltd.,ICRA,Non-fund-based financial facility/instrument,A 4,2026-04-17,72,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,3.0,Steel & Metals,Standard,"INC since Apr 2026 (72 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-fund-based financial facility/instrument at ICRA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
B K Sons Infrastructure Pvt. Ltd.,CARE,Bank Guarantee,D,2026-04-21,68,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,50.0,Construction/Infra,Standard,"INC since Apr 2026 (68 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
B N S R Inds. Ltd.,IND-RA,Non-government debt,B-/A4,2026-04-02,87,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,4.9,Other,NCD — SEBI License Required,"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
B N T Connections Impex Ltd.,IND-RA,Non-government debt,B-/A4,2026-04-02,87,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,30.55,Other,NCD — SEBI License Required,"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
B S Shakti Steel Pvt. Ltd.,CARE,Fund based financial facility/instrument,B-,2026-04-13,76,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,17.5,Steel & Metals,Standard,"INC since Apr 2026 (76 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Fund based financial facility/instrument at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
B S Shakti Steel Pvt. Ltd.,CARE,Letter Of credit,A 4,2026-04-13,76,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,3.0,Steel & Metals,Standard,"INC since Apr 2026 (76 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Letter Of credit at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
B S Shakti Steel Pvt. Ltd.,CARE,Term loans,B-,2026-04-13,76,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,3.0,Steel & Metals,Standard,"INC since Apr 2026 (76 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
B S T Textile Mills Pvt. Ltd.,CARE,Bank Guarantee,D,2026-04-02,87,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,1.0,Textiles,Standard,"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
B S T Textile Mills Pvt. Ltd.,CARE,Term loans,D,2026-04-02,87,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,18.44,Textiles,Standard,"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
B V S Distilleries Pvt. Ltd.,IND-RA,Term loans,D,2026-04-02,87,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,29.0,Other,Standard,"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Baba Malleshwar Rice Mill Pvt. Ltd.,CARE,Bank Guarantee,A 4,2026-04-15,74,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,0.21,Agro/Food,Standard,"INC since Apr 2026 (74 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Baba Malleshwar Rice Mill Pvt. Ltd.,CARE,Term loans,B-,2026-04-15,74,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,4.42,Agro/Food,Standard,"INC since Apr 2026 (74 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Baba Structural Pvt. Ltd.,CARE,Bank Guarantee,A 4,2026-04-13,76,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,2.7,Other,Standard,"INC since Apr 2026 (76 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Baba Structural Pvt. Ltd.,CARE,Term loans,B+,2026-04-13,76,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,6.96,Other,Standard,"INC since Apr 2026 (76 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Bagga Link Motors Ltd.,ICRA,Fund based financial facility/instrument,A 4,2026-04-24,65,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,29.1,Automobiles,Standard,"INC since Apr 2026 (65 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Fund based financial facility/instrument at ICRA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Bagga Link Motors Ltd.,ICRA,Letter Of credit,A 4,2026-04-24,65,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,2.0,Automobiles,Standard,"INC since Apr 2026 (65 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Letter Of credit at ICRA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Bagga Link Motors Ltd.,ICRA,Term loans,B+,2026-04-24,65,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,4.26,Automobiles,Standard,"INC since Apr 2026 (65 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at ICRA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Bagh Bahar Appliances Pvt. Ltd.,ACUITE,Short-term loan,D,2026-04-07,82,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,5.0,Other,Standard,"INC since Apr 2026 (82 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Short-term loan at ACUITE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Bagpoly International Pvt. Ltd.,CARE,Bank Guarantee,B-,2026-04-13,76,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,8.4,Other,Standard,"INC since Apr 2026 (76 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Bagpoly International Pvt. Ltd.,CARE,Non-government debt,B-/A4,2026-04-13,76,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,0.15,Other,NCD — SEBI License Required,"INC since Apr 2026 (76 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Bagpoly International Pvt. Ltd.,CARE,Non-government debt,B-/A4,2026-04-13,76,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,7.8,Other,NCD — SEBI License Required,"INC since Apr 2026 (76 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Bahl Builders Pvt. Ltd.,CARE,Non-government debt,BB-/A4,2026-04-30,59,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,5.0,Construction/Infra,NCD — SEBI License Required,"INC since Apr 2026 (59 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Bahl Builders Pvt. Ltd.,CARE,Non-government debt,BB-/A4,2026-04-30,59,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,30.0,Construction/Infra,NCD — SEBI License Required,"INC since Apr 2026 (59 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Balaji Agro Pvt. Ltd.,ACUITE,Letter Of credit,A 4,2026-04-17,72,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,2.0,Agro/Food,Standard,"INC since Apr 2026 (72 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Letter Of credit at ACUITE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Balaji Agro Pvt. Ltd.,ACUITE,Long term Loans,B+,2026-04-17,72,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,0.2,Agro/Food,Standard,"INC since Apr 2026 (72 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Long term Loans at ACUITE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Balaji Agro Pvt. Ltd.,ACUITE,Short-term loan,A 4,2026-04-17,72,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,0.5,Agro/Food,Standard,"INC since Apr 2026 (72 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Short-term loan at ACUITE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Balaji Agro Pvt. Ltd.,CRISIL,Letter Of credit,A 4,2026-04-21,68,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,2.0,Agro/Food,Standard,"INC since Apr 2026 (68 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Letter Of credit at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Balaji Agro Pvt. Ltd.,CRISIL,Letter Of credit,A 4,2026-04-21,68,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,1.5,Agro/Food,Standard,"INC since Apr 2026 (68 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Letter Of credit at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Balaji Dayalpura Infra Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2026-04-30,59,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,85.5,Construction/Infra,Standard,"INC since Apr 2026 (59 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Balaji Dayalpura Infra Pvt. Ltd.,CRISIL,Term loans,B,2026-04-30,59,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,3.4,Construction/Infra,Standard,"INC since Apr 2026 (59 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Balaji Fiber Reinforce Pvt. Ltd.,IND-RA,Non-government debt,D,2026-04-02,87,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,30.0,Other,NCD — SEBI License Required,"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Balarka Fabricon Pvt. Ltd.,CARE,Bank Guarantee,A 4,2026-04-28,61,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,1.0,Textiles,Standard,"INC since Apr 2026 (61 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Balarka Fabricon Pvt. Ltd.,CARE,Term loans,B-,2026-04-28,61,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,1.01,Textiles,Standard,"INC since Apr 2026 (61 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Bangalore Metallurgicals Pvt. Ltd.,ICRA,Term loans,B+,2026-04-29,60,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,1.5,Steel & Metals,Standard,"INC since Apr 2026 (60 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at ICRA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Bansal Associates Pvt. Ltd.,CRISIL,Letter Of credit,A 4,2026-04-21,68,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,6.0,Other,Standard,"INC since Apr 2026 (68 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Letter Of credit at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Bardhaman Edible Pvt. Ltd.,CARE,Bank Guarantee,A 4,2026-04-14,75,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,0.17,Other,Standard,"INC since Apr 2026 (75 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Bardhaman Edible Pvt. Ltd.,CARE,Term loans,B-,2026-04-14,75,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,1.03,Other,Standard,"INC since Apr 2026 (75 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Baril Marketing Pvt. Ltd.,BRICKWORK,Fund based financial facility/instrument,C,2026-04-06,83,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,19.0,Other,Standard,"INC since Apr 2026 (83 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Fund based financial facility/instrument at BRICKWORK hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Belgachi Tea Co. Ltd.,CARE,Bank Guarantee,A 4,2026-04-15,74,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,0.58,Other,Standard,"INC since Apr 2026 (74 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Belgachi Tea Co. Ltd.,CARE,Term loans,B-,2026-04-15,74,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,7.4,Other,Standard,"INC since Apr 2026 (74 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Bell Finvest (India) Ltd.,CARE,Term loans,D,2026-04-01,88,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,150.0,BFSI/NBFC,Standard,"INC since Apr 2026 (88 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Bell-O-Seal Valves Pvt. Ltd.,CARE,Bank Guarantee,A 4+,2026-04-06,83,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,13.0,Other,Standard,"INC since Apr 2026 (83 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Bell-O-Seal Valves Pvt. Ltd.,CARE,Term loans,BB+,2026-04-06,83,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,3.22,Other,Standard,"INC since Apr 2026 (83 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Bhagwati Industrial Group Ltd.,CRISIL,Fund based financial facility/instrument,B,2026-04-17,72,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,6.26,Other,Standard,"INC since Apr 2026 (72 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Fund based financial facility/instrument at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Bhagwati Industrial Group Ltd.,CRISIL,Letter Of credit,A 4,2026-04-17,72,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,44.0,Other,Standard,"INC since Apr 2026 (72 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Letter Of credit at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
