Company Name,Date,Agency,Instrument,Grade,Rating,Status,Amount,INC_Flag,Rating_Date,Amount_Num,Is_INC,Sector,Days_INC,Current_Urgency,MEDIUM_Date,HOT_Date,ULTRA_HOT_Date,Q2_Escalation_Month,NCD_Flag,Why_Target,ACER_Pitch,Source
B N T Connections Impex Ltd.,02-04-2026,IND-RA,Non-government debt,High Risk,B-/A4,Downgraded,30.55,Y,2026-04-02,30.55,True,Other,87,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,NCD — SEBI License Required,"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
B S Shakti Steel Pvt. Ltd.,13-04-2026,CARE,Fund based financial facility/instrument,High Risk,B-,Downgraded,17.50,Y,2026-04-13,17.5,True,Steel & Metals,76,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,Standard,"INC since Apr 2026 (76 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Fund based financial facility/instrument at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
B S Shakti Steel Pvt. Ltd.,13-04-2026,CARE,Letter Of credit,High Risk,A 4,Reaffirmed,3.00,Y,2026-04-13,3.0,True,Steel & Metals,76,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,Standard,"INC since Apr 2026 (76 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Letter Of credit at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
B S Shakti Steel Pvt. Ltd.,13-04-2026,CARE,Term loans,High Risk,B-,Downgraded,3.00,Y,2026-04-13,3.0,True,Steel & Metals,76,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,Standard,"INC since Apr 2026 (76 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
B S T Textile Mills Pvt. Ltd.,02-04-2026,CARE,Bank Guarantee,Default,D,Downgraded,1.00,Y,2026-04-02,1.0,True,Textiles,87,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,Standard,"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
B S T Textile Mills Pvt. Ltd.,02-04-2026,CARE,Term loans,Default,D,Downgraded,18.44,Y,2026-04-02,18.44,True,Textiles,87,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,Standard,"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
B V S Distilleries Pvt. Ltd.,02-04-2026,IND-RA,Term loans,Default,D,Reaffirmed,29.00,Y,2026-04-02,29.0,True,Other,87,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,Standard,"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Baba Malleshwar Rice Mill Pvt. Ltd.,15-04-2026,CARE,Bank Guarantee,High Risk,A 4,Reaffirmed,0.21,Y,2026-04-15,0.21,True,Agro/Food,74,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,Standard,"INC since Apr 2026 (74 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Baba Malleshwar Rice Mill Pvt. Ltd.,15-04-2026,CARE,Term loans,High Risk,B-,Downgraded,4.42,Y,2026-04-15,4.42,True,Agro/Food,74,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,Standard,"INC since Apr 2026 (74 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Baba Structural Pvt. Ltd.,13-04-2026,CARE,Bank Guarantee,High Risk,A 4,Reaffirmed,2.70,Y,2026-04-13,2.7,True,Other,76,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,Standard,"INC since Apr 2026 (76 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Baba Structural Pvt. Ltd.,13-04-2026,CARE,Term loans,High Risk,B+,Downgraded,6.96,Y,2026-04-13,6.96,True,Other,76,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,Standard,"INC since Apr 2026 (76 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Bagga Link Motors Ltd.,24-04-2026,ICRA,Fund based financial facility/instrument,High Risk,A 4,Reaffirmed,29.10,Y,2026-04-24,29.1,True,Automobiles,65,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,Standard,"INC since Apr 2026 (65 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Fund based financial facility/instrument at ICRA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Bagga Link Motors Ltd.,24-04-2026,ICRA,Letter Of credit,High Risk,A 4,Reaffirmed,2.00,Y,2026-04-24,2.0,True,Automobiles,65,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,Standard,"INC since Apr 2026 (65 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Letter Of credit at ICRA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Bagga Link Motors Ltd.,24-04-2026,ICRA,Term loans,High Risk,B+,Reaffirmed,4.26,Y,2026-04-24,4.26,True,Automobiles,65,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,Standard,"INC since Apr 2026 (65 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at ICRA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Bagh Bahar Appliances Pvt. Ltd.,07-04-2026,ACUITE,Short-term loan,Default,D,Reaffirmed,5.00,Y,2026-04-07,5.0,True,Other,82,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,Standard,"INC since Apr 2026 (82 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Short-term loan at ACUITE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Bagpoly International Pvt. Ltd.,13-04-2026,CARE,Bank Guarantee,High Risk,B-,Reaffirmed,8.40,Y,2026-04-13,8.4,True,Other,76,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,Standard,"INC since Apr 2026 (76 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Bagpoly International Pvt. Ltd.,13-04-2026,CARE,Non-government debt,High Risk,B-/A4,Reaffirmed,0.15,Y,2026-04-13,0.15,True,Other,76,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,NCD — SEBI License Required,"INC since Apr 2026 (76 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Bagpoly International Pvt. Ltd.,13-04-2026,CARE,Non-government debt,High Risk,B-/A4,Reaffirmed,7.80,Y,2026-04-13,7.8,True,Other,76,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,NCD — SEBI License Required,"INC since Apr 2026 (76 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Bahl Builders Pvt. Ltd.,30-04-2026,CARE,Non-government debt,Inadequate Safety,BB-/A4,Downgraded,5.00,Y,2026-04-30,5.0,True,Construction/Infra,59,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,NCD — SEBI License Required,"INC since Apr 2026 (59 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Bahl Builders Pvt. Ltd.,30-04-2026,CARE,Non-government debt,Inadequate Safety,BB-/A4,Downgraded,30.00,Y,2026-04-30,30.0,True,Construction/Infra,59,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,NCD — SEBI License Required,"INC since Apr 2026 (59 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Balaji Agro Pvt. Ltd.,17-04-2026,ACUITE,Letter Of credit,High Risk,A 4,Reaffirmed,2.00,Y,2026-04-17,2.0,True,Agro/Food,72,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,Standard,"INC since Apr 2026 (72 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Letter Of credit at ACUITE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Balaji Agro Pvt. Ltd.,17-04-2026,ACUITE,Long term Loans,High Risk,B+,Downgraded,0.20,Y,2026-04-17,0.2,True,Agro/Food,72,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,Standard,"INC since Apr 2026 (72 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Long term Loans at ACUITE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Balaji Agro Pvt. Ltd.,17-04-2026,ACUITE,Short-term loan,High Risk,A 4,Reaffirmed,0.50,Y,2026-04-17,0.5,True,Agro/Food,72,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,Standard,"INC since Apr 2026 (72 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Short-term loan at ACUITE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Balaji Agro Pvt. Ltd.,21-04-2026,CRISIL,Letter Of credit,High Risk,A 4,Reaffirmed,2.00,Y,2026-04-21,2.0,True,Agro/Food,68,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,Standard,"INC since Apr 2026 (68 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Letter Of credit at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Balaji Agro Pvt. Ltd.,21-04-2026,CRISIL,Letter Of credit,High Risk,A 4,Reaffirmed,1.50,Y,2026-04-21,1.5,True,Agro/Food,68,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,Standard,"INC since Apr 2026 (68 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Letter Of credit at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Balaji Dayalpura Infra Pvt. Ltd.,30-04-2026,CRISIL,Bank Guarantee,High Risk,A 4,Downgraded,85.50,Y,2026-04-30,85.5,True,Construction/Infra,59,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,Standard,"INC since Apr 2026 (59 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Balaji Dayalpura Infra Pvt. Ltd.,30-04-2026,CRISIL,Term loans,High Risk,B,Downgraded,3.40,Y,2026-04-30,3.4,True,Construction/Infra,59,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,Standard,"INC since Apr 2026 (59 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Balaji Fiber Reinforce Pvt. Ltd.,02-04-2026,IND-RA,Non-government debt,Default,D,Reaffirmed,30.00,Y,2026-04-02,30.0,True,Other,87,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,NCD — SEBI License Required,"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Balarka Fabricon Pvt. Ltd.,28-04-2026,CARE,Bank Guarantee,High Risk,A 4,Reaffirmed,1.00,Y,2026-04-28,1.0,True,Textiles,61,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,Standard,"INC since Apr 2026 (61 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Balarka Fabricon Pvt. Ltd.,28-04-2026,CARE,Term loans,High Risk,B-,Reaffirmed,1.01,Y,2026-04-28,1.01,True,Textiles,61,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,Standard,"INC since Apr 2026 (61 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Bangalore Metallurgicals Pvt. Ltd.,29-04-2026,ICRA,Term loans,High Risk,B+,Reaffirmed,1.50,Y,2026-04-29,1.5,True,Steel & Metals,60,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,Standard,"INC since Apr 2026 (60 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at ICRA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Bansal Associates Pvt. Ltd.,21-04-2026,CRISIL,Letter Of credit,High Risk,A 4,Downgraded,6.00,Y,2026-04-21,6.0,True,Other,68,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,Standard,"INC since Apr 2026 (68 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Letter Of credit at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Bardhaman Edible Pvt. Ltd.,14-04-2026,CARE,Bank Guarantee,High Risk,A 4,Reaffirmed,0.17,Y,2026-04-14,0.17,True,Other,75,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,Standard,"INC since Apr 2026 (75 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Bardhaman Edible Pvt. Ltd.,14-04-2026,CARE,Term loans,High Risk,B-,Reaffirmed,1.03,Y,2026-04-14,1.03,True,Other,75,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,Standard,"INC since Apr 2026 (75 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
Baril Marketing Pvt. Ltd.,06-04-2026,BRICKWORK,Fund based financial facility/instrument,Substantial Risk,C,Reaffirmed,19.00,Y,2026-04-06,19.0,True,Other,83,LOW (<90 days),Oct 2026,Jan 2027,Apr 2027,Apr 2027,Standard,"INC since Apr 2026 (83 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Fund based financial facility/instrument at BRICKWORK hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,D365
