Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Escalates_To,Escalation_Date,Escalation_Month,Calling_Sequence,Amt_num,Amount_Cr_Display,Sector_Final,NCD_Flag,Source,Why Target,ACER Pitch Angle
G S R Ventures Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-11,HOT,ULTRA HOT,2026-12-11,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",35.0,Rs35.00 Cr,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Chain-Sys Software Exports Pvt. Ltd.,CRISIL,Term Loan,BB-,2025-12-17,HOT,ULTRA HOT,2026-12-17,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",32.0,Rs32.00 Cr,IT/Technology,Standard,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Lotus Logistics & Developers Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-05,HOT,ULTRA HOT,2026-12-05,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",30.0,Rs30.00 Cr,Logistics,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Corrtech International Ltd.,CRISIL,Letter of Credit,A 4+,2025-12-18,HOT,ULTRA HOT,2026-12-18,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",30.0,Rs30.00 Cr,IT/Technology,Standard,D365,INC rating hits ULTRA HOT on 2026-12-18 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Ajara Health Care & Research Centre Pvt. Ltd.,CRISIL,Term Loan,B+,2025-12-05,HOT,ULTRA HOT,2026-12-05,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",29.3,Rs29.30 Cr,Healthcare,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Feather Spintex Pvt. Ltd.,CRISIL,Term Loan,B+,2025-12-11,HOT,ULTRA HOT,2026-12-11,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",29.0,Rs29.00 Cr,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Tulip Cotspin Pvt. Ltd.,CRISIL,Fund-Based,B,2025-12-18,HOT,ULTRA HOT,2026-12-18,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",28.49,Rs28.49 Cr,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-18 — prime Q1 2027 renewal target,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Saluja Steel & Power Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,2025-12-08,HOT,ULTRA HOT,2026-12-08,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",28.0,Rs28.00 Cr,Steel & Metals,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Vimal Fire Controls Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-18,HOT,ULTRA HOT,2026-12-18,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",28.0,Rs28.00 Cr,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-18 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Sri Dakshinamurthy Agro Inds. Pvt. Ltd.,CRISIL,Term Loan,B+,2025-12-22,HOT,ULTRA HOT,2026-12-22,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",28.0,Rs28.00 Cr,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Space Age Associates Power-Infra Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-23,HOT,ULTRA HOT,2026-12-23,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",28.0,Rs28.00 Cr,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Raj Vehicles Pvt. Ltd.,CRISIL,Fund-Based,BB-,2025-12-08,HOT,ULTRA HOT,2026-12-08,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",27.5,Rs27.50 Cr,Manufacturing,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
M R L Tyres Ltd.,CRISIL,Term Loan,BB+,2025-12-02,HOT,ULTRA HOT,2026-12-02,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",27.0,Rs27.00 Cr,Automobiles,Standard,D365,INC rating hits ULTRA HOT on 2026-12-02 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Kundan Cars Pvt. Ltd.,CRISIL,Fund-Based,B,2025-12-10,HOT,ULTRA HOT,2026-12-10,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",27.0,Rs27.00 Cr,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-10 — prime Q1 2027 renewal target,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Sai Shreeja Cars Pvt. Ltd.,CRISIL,Fund-Based,B,2025-12-22,HOT,ULTRA HOT,2026-12-22,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",27.0,Rs27.00 Cr,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Best Cheran Spintex India Pvt. Ltd. [Merged],CRISIL,Term Loan,B,2025-12-10,HOT,ULTRA HOT,2026-12-10,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",26.1,Rs26.10 Cr,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-10 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
V R P Telematics Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,2025-12-08,HOT,ULTRA HOT,2026-12-08,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",25.5,Rs25.50 Cr,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Soyug Ltd.,CRISIL,Term Loan,BB,2025-12-08,HOT,ULTRA HOT,2026-12-08,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",25.0,Rs25.00 Cr,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Superon Schweisstechnik India Ltd.,CRISIL,Term Loan,B+,2025-12-08,HOT,ULTRA HOT,2026-12-08,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",25.0,Rs25.00 Cr,IT/Technology,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
A C D C Saideep Buildcon Pvt. Ltd.,CRISIL,Letter of Credit,A 4+,2025-12-23,HOT,ULTRA HOT,2026-12-23,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",24.0,Rs24.00 Cr,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Affil Vitrified Pvt. Ltd.,CRISIL,Term Loan,B+,2025-12-08,HOT,ULTRA HOT,2026-12-08,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",22.87,Rs22.87 Cr,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
B L International Pvt. Ltd.,CRISIL,Fund-Based,B,2025-12-12,HOT,ULTRA HOT,2026-12-12,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",22.0,Rs22.00 Cr,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-12 — prime Q1 2027 renewal target,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Saluja Steel & Power Pvt. Ltd.,CRISIL,Term Loan,BB+,2025-12-08,HOT,ULTRA HOT,2026-12-08,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",21.83,Rs21.83 Cr,Steel & Metals,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Annamalaiar Mills Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-10,HOT,ULTRA HOT,2026-12-10,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",21.7,Rs21.70 Cr,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-10 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
M-Tech Innovations Ltd.,CRISIL,Bank Guarantee,A 4+,2025-12-29,HOT,ULTRA HOT,2026-12-29,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",21.4,Rs21.40 Cr,IT/Technology,Standard,D365,INC rating hits ULTRA HOT on 2026-12-29 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
B L International Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-12,HOT,ULTRA HOT,2026-12-12,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",21.0,Rs21.00 Cr,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-12 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Adhunik Infrastructures Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-10,HOT,ULTRA HOT,2026-12-10,Dec 2026,"Call Oct–Nov 2026 — 6+ months HOT NOW, escalate Dec",20.5,Rs20.50 Cr,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-10 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
