Company Name,Agency,Instrument Type,Rating,Rating Date,Amount_Cr,Sector,NCD_Flag,ACER Pitch Angle
Sri Satyanarayana Raw And Boiled Rice Mill Pvt. Ltd.,ACUITE,Term Loan,B-,2025-12-02,33.0,Agro/Food,Standard,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Fuji Silvertech Concrete Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-12-02,30.0,IT/Technology,Standard,Your Bank Guarantee at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
OP Gupta Contractor Private Limited,Infomerics,Short Term Bank Facility,IVR A4 (INC) (Reaffirmed),2025-12-02,25.0,Construction,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Sewa Singh Oberoi and Company,Infomerics,Short Term Bank Facility,IVR A4 (INC) (Reaffirmed),2025-12-02,21.0,Other,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
SVR Electricals Private Limited,Infomerics,Proposed Long Term/Short Term Non-Fund Based Bank Facility - Bank Guarantee,IVR C/IVR A4; (INC) (Downgraded/Reaffirmed),2025-12-02,18.75,Energy,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Kashipur Infrastructure & Freight Terminal Pvt. Ltd.,BRICKWORK,Term Loan,BB-,2025-12-02,18.49,Construction,Standard,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
S R Tranzcars Pvt. Ltd.,BRICKWORK,Fund-Based,C,2025-12-02,18.0,Other,Standard,Your Fund-Based at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
P M I Coaches Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-12-02,15.0,Other,Standard,Your Bank Guarantee at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Global Poly Bags Inds. Pvt. Ltd.,BRICKWORK,Term Loan,B+,2025-12-02,13.3,Other,Standard,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Shri Maa Mktg. Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-12-02,12.0,Other,Standard,Your Bank Guarantee at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Wudtools,Infomerics,Long Term Bank Facilities,IVR C (INC) (Downgraded),2025-12-02,12.0,Other,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Agrasen Iron & Steels Pvt. Ltd.,CARE,NCD/Bond,BB+/A4+,2025-12-02,9.0,Steel & Metals,NCD — SEBI License Required,Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
D Raja Cotton Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-12-02,8.7,Agro/Food,Standard,Your Bank Guarantee at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Ali Afzal Flour Mill Ltd.,BRICKWORK,Term Loan,B,2025-12-02,7.34,Agro/Food,Standard,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Mechfast Engineering Pvt. Ltd.,CARE,Term Loan,B-,2025-12-02,5.0,Manufacturing,Standard,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Vijay Transformers,Infomerics,Proposed Long Term/Short Term Non-Fund Based Bank Facility - Bank Guarantee,IVR C/IVR A4; (INC) (Downgraded & Reaffirmed),2025-12-02,5.0,Other,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Aditya Timpack Pvt. Ltd.,CARE,Term Loan,B,2025-12-02,4.57,Other,Standard,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Mahamaya Foods & Grains Pvt. Ltd.,CARE,Term Loan,B-,2025-12-02,3.51,Agro/Food,Standard,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Goa Sponge & Power Ltd.,ACUITE,Bank Guarantee,A 4+,2025-12-02,2.5,Energy,Standard,Your Bank Guarantee at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Kothari Processors Pvt. Ltd.,CARE,Bank Guarantee,B-,2025-12-02,1.5,Other,Standard,Your Bank Guarantee at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Shree Parmeshwar Steels Pvt. Ltd.,CRISIL,Term Loan,BB+,2025-12-02,1.16,Steel & Metals,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Micron Enterprises Pvt. Ltd.,ACUITE,Term Loan,B,2025-12-02,1.0,BFSI,Standard,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Ridings Consulting Engineers India Ltd.,ACUITE,Bank Guarantee,A 4,2025-12-02,0.85,Other,Standard,Your Bank Guarantee at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Global Jewellery Pvt. Ltd.,CARE,Bank Guarantee,A 4,2025-12-02,0.5,Jewellery,Standard,Your Bank Guarantee at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
C P L Pharmaceuticals Pvt. Ltd.,IND-RA,Term Loan,BBB+,2025-12-03,409.55,Chemicals/Pharma,Standard,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
K K P Fine Linen Pvt. Ltd.,BRICKWORK,Fund-Based,BB,2025-12-03,171.82,Other,Standard,Your Fund-Based at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Pushpit Steels Pvt. Ltd.,BRICKWORK,Term Loan,B,2025-12-03,60.0,Steel & Metals,Standard,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Oswal Cables Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-12-03,55.0,Other,Standard,Your Bank Guarantee at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Pulkit Metals Pvt. Ltd.,BRICKWORK,Letter of Credit,A 4,2025-12-03,45.0,Steel & Metals,Standard,Your Letter of Credit at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
M S V Constructions Company,Infomerics,Short Term Bank Facilities,IVR D (INC)(Downgraded),2025-12-03,20.33,Construction,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Anusaya Auto Press Parts Pvt. Ltd.,BRICKWORK,Letter of Credit,A 4,2025-12-03,19.0,Manufacturing,Standard,Your Letter of Credit at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
MMG Holdings Private Limited,Infomerics,Long Term Bank Facilities- Term Loan,IVR C+ (INC) (Downgraded),2025-12-03,15.04,Other,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Purvanchal Construction Works Pvt. Ltd.,CARE,NCD/Bond,B+/A4,2025-12-03,12.3,Construction,NCD — SEBI License Required,Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Trishul Buildtech & Infrastructures Pvt. Ltd.,ACUITE,Term Loan,BB+,2025-12-03,10.22,Construction,Standard,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
S R M Smart Hoops Pvt. Ltd.,BRICKWORK,Term Loan,C,2025-12-03,10.05,Other,Standard,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Shree Seco Pvt. Ltd.,CARE,NCD/Bond,B-/A4,2025-12-03,6.5,Other,NCD — SEBI License Required,Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Aries Corporate Services Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-12-03,5.0,Other,Standard,Your Bank Guarantee at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Siddheshwar Industries Pvt. Ltd.,BRICKWORK,Fund-Based,C,2025-12-04,119.32,Other,Standard,Your Fund-Based at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Safety Controls & Devices Limited,Infomerics,Short Term Bank Facilities,IVR A4 (INC) (Downgrade),2025-12-04,65.38,Other,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Sattva Engineering Construction Private Limited,Infomerics,Short Term Facilities,IVR A4 (INC) (Reaffirmed),2025-12-04,44.5,Construction,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Universal Petrochemicals Ltd.,BRICKWORK,Letter of Credit,A 4,2025-12-04,20.0,Chemicals/Pharma,Standard,Your Letter of Credit at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Multitech Auto Pvt. Ltd. [Merged],BRICKWORK,Term Loan,BB-,2025-12-04,13.26,Manufacturing,Standard,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Sree Venkateswara Road Constructions Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-12-04,13.0,Construction,Standard,Your Bank Guarantee at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
United Facilities and Logistics Private Limited,Infomerics,Long/Short Term Bank Facilities (Proposed),IVR B/IVR A4; (INC) (Downgraded/Reaffirmed),2025-12-04,10.5,Logistics,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
H M Steels Ltd.,BRICKWORK,Fund-Based,B,2025-12-04,10.07,Steel & Metals,Standard,Your Fund-Based at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Sanskriti Mobitech Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-12-04,10.0,IT/Technology,Standard,Your Bank Guarantee at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Mark Alloys Pvt. Ltd.,BRICKWORK,Term Loan,C,2025-12-04,8.8,Steel & Metals,Standard,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Palash Udyog Foods Pvt. Ltd.,ACUITE,Term Loan,B-,2025-12-04,4.55,Agro/Food,Standard,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Aryas Grains Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-12-04,4.0,Agro/Food,Standard,Your Bank Guarantee at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Fine Pac Structures Pvt. Ltd.,CARE,Bank Guarantee,A 4,2025-12-04,2.9,Other,Standard,Your Bank Guarantee at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
J M K Enterprises Pvt. Ltd.,ACUITE,Term Loan,B-,2025-12-04,2.39,Other,Standard,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Hindustan Coils Ltd.,CARE,Term Loan,BB-,2025-12-04,0.0,Energy,Standard,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Eversendai Construction Pvt. Ltd.,ACUITE,Bank Guarantee,A 4+,2025-12-05,290.0,Construction,Standard,Your Bank Guarantee at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Chola Spinning Mills Pvt. Ltd.,CARE,Term Loan,B+,2025-12-05,113.06,Agro/Food,Standard,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Mahalaxmi Automotives Pvt. Ltd.,CRISIL,Fund-Based,B,2025-12-05,73.5,Manufacturing,Standard,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Kaveri Garage Private Limited,Infomerics,Long Term Facilities,IVR B+ (INC) (Downgraded),2025-12-05,57.15,Other,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Chowgule Industries Pvt. Ltd.,ICRA,NCD/Bond,BB+/A4+,2025-12-05,40.0,Other,NCD — SEBI License Required,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Diligent SCM Solutions Private Limited,Infomerics,Long Term Facilities,IVR BBB- (INC),2025-12-05,31.6,Other,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Lotus Logistics & Developers Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-05,30.0,Logistics,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Avtar Installments Private Limited,Infomerics,Proposed Long Term Bank Facilities,IVR BB- (INC) (Downgraded),2025-12-05,30.0,Other,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Shine Cot-Spin Pvt. Ltd.,BRICKWORK,Term Loan,B,2025-12-05,29.94,Other,Standard,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Ajara Health Care & Research Centre Pvt. Ltd.,CRISIL,Term Loan,B+,2025-12-05,29.3,Healthcare,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Sakthi Poultry Private Limited,Infomerics,Long Term Facilities,IVR BB (INC) (Downgraded),2025-12-05,26.62,Agro/Food,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Kwality Pharmaceuticals Ltd.,ICRA,Term Loan,B+,2025-12-05,22.0,Chemicals/Pharma,Standard,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
BLN Infra Private Limited,Infomerics,Long Term Bank Facilities,IVR BB- (INC) (Reaffirmed),2025-12-05,19.72,Construction,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
M/s Narayan Associates,Infomerics,Long Term Bank Facilities-Proposed,IVR BB- (INC) (Downgraded),2025-12-05,18.3,Other,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Shanti Structure Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-05,17.5,Other,Standard,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Chintpurni Steels Pvt. Ltd.,BRICKWORK,Term Loan,C,2025-12-05,17.34,Steel & Metals,Standard,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Siva Sankar Motors Pvt. Ltd.,CARE,Term Loan,BB-,2025-12-05,16.28,Other,Standard,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Maa Amba Towers Ltd.,CRISIL,Term Loan,B+,2025-12-05,16.18,Other,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Miraj Engineering Services Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-05,15.5,Manufacturing,Standard,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Aishwaryagiri Constructions Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-05,15.0,Construction,Standard,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Gupta Hair Products Pvt. Ltd.,CARE,NCD/Bond,B-/A4,2025-12-05,14.75,Other,NCD — SEBI License Required,Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Barak Valley Cements Ltd.,CARE,Term Loan,BB+,2025-12-05,14.0,Construction,Standard,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Syndicate Wiper Systems Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-05,13.5,Other,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
B R D Car World Ltd.,ACUITE,Term Loan,BB+,2025-12-05,13.43,Other,Standard,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Nova Publications & Printers Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-05,12.73,Other,Standard,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Genesis Finance Co. Ltd.,BRICKWORK,Term Loan,B,2025-12-05,12.08,BFSI,Standard,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Chheda Specialities Foods Pvt. Ltd.,CRISIL,Term Loan,BB+,2025-12-05,12.0,Agro/Food,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Magnolia Martinique Clothing Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-05,12.0,Other,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Skyz Stones Pvt. Ltd.,BRICKWORK,Fund-Based,BB-,2025-12-05,11.43,Other,Standard,Your Fund-Based at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Ritika Systems Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,2025-12-05,10.0,Other,Standard,Your Bank Guarantee at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
A & T Infracon Pvt. Ltd.,CARE,Bank Guarantee,A 4,2025-12-05,10.0,Construction,Standard,Your Bank Guarantee at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Frontech Pvt. Ltd.,CRISIL,Letter of Credit,A 4,2025-12-05,9.75,IT/Technology,Standard,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
A P S Hydro Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-05,9.0,Energy,Standard,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Ascan Plyboard India Pvt. Ltd.,BRICKWORK,Letter of Credit,A 4,2025-12-05,9.0,Paper/Packaging,Standard,Your Letter of Credit at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Bai-Kakaji Aquasure Solutions Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-05,7.75,Other,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Ashirbad Agro Products Pvt. Ltd.,CRISIL,Term Loan,B+,2025-12-05,7.0,Agro/Food,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
