Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Q1_Trigger,Q1_Escalation_Date,Amount_Cr,Sector,Sector,NCD_Flag,Source,Why Target,ACER Pitch Angle,Call_Window,Ghost_HOT_Note
Indraprastha Foods Limited,Infomerics,Long Term Bank Facilities,IVR B (INC) (Downgraded),2025-12-01,HOT,ULTRA HOT,2026-12-01,42.25,Agro/Food,Agro/Food,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-01 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Chandresh Cables Ltd.,ACUITE,Term Loan,BB+,2025-12-01,HOT,ULTRA HOT,2026-12-01,31.16,Other,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
A B Grain Spirits Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-12-01,HOT,ULTRA HOT,2026-12-01,28.0,Agro/Food,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Bank Guarantee at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Jagaran Microfin Pvt. Ltd.,ACUITE,Term Loan,BB,2025-12-01,HOT,ULTRA HOT,2026-12-01,27.5,BFSI,BFSI,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
J R M Foods Pvt. Ltd.,BRICKWORK,Fund-Based,A 4,2025-12-01,HOT,ULTRA HOT,2026-12-01,25.0,Agro/Food,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Fund-Based at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Turbhe Chemicals Pvt. Ltd.,CARE,NCD/Bond,B+/A4,2025-12-01,HOT,ULTRA HOT,2026-12-01,21.0,Chemicals/Pharma,Chemicals/Pharma,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Inox World Inds. Pvt. Ltd.,BRICKWORK,Term Loan,C,2025-12-01,HOT,ULTRA HOT,2026-12-01,20.0,Other,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Mehar Mediserve LLP,Infomerics,Long Term Bank Facilities,IVR C+ (INC) (Downgraded),2025-12-01,HOT,ULTRA HOT,2026-12-01,20.0,Other,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-01 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Mathan Caar Decors,Infomerics,Long Term Bank Facilities,IVR B- (INC) (Downgraded),2025-12-01,HOT,ULTRA HOT,2026-12-01,20.0,Other,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-01 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Vision India Tech Services Limited (Erstwhile Vision India Software Exports Limited),Infomerics,Short Term Bank Facilities,IVR A4 (INC) (Reaffirmed),2025-12-01,HOT,ULTRA HOT,2026-12-01,18.48,IT/Technology,IT/Technology,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-01 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Livenza Granito LLP,Infomerics,Long Term Bank Facilities,IVR B+ (INC) (Downgraded),2025-12-01,HOT,ULTRA HOT,2026-12-01,16.33,Other,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-01 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Orient Steel & Inds. Ltd.,ACUITE,Letter of Credit,A 4,2025-12-01,HOT,ULTRA HOT,2026-12-01,12.0,Steel & Metals,Steel & Metals,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Letter of Credit at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Jagaran Microfin Pvt. Ltd.,ACUITE,Term Loan,BB,2025-12-01,HOT,ULTRA HOT,2026-12-01,11.35,BFSI,BFSI,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Sunil Sponge Pvt. Ltd.,CARE,Letter of Credit,A 4,2025-12-01,HOT,ULTRA HOT,2026-12-01,10.0,Other,Steel & Metals,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Letter of Credit at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Narayani Coke Pvt. Ltd.,CARE,NCD/Bond,BB+/A4+,2025-12-01,HOT,ULTRA HOT,2026-12-01,9.0,Other,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
J R M Foods Pvt. Ltd.,BRICKWORK,Term Loan,B+,2025-12-01,HOT,ULTRA HOT,2026-12-01,8.25,Agro/Food,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Adachi Natural Polymer Ltd.,CARE,NCD/Bond,B-/A4,2025-12-01,HOT,ULTRA HOT,2026-12-01,6.5,Chemicals/Pharma,Chemicals/Pharma,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Vision India Tech Services Limited (Erstwhile Vision India Software Exports Limited),Infomerics,Long Term Bank Facilities,IVR B (INC) (Downgraded),2025-12-01,HOT,ULTRA HOT,2026-12-01,5.9,IT/Technology,IT/Technology,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-01 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Chandresh Cables Ltd.,ACUITE,Letter of Credit,A 4+,2025-12-01,HOT,ULTRA HOT,2026-12-01,5.5,Other,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Letter of Credit at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
G D Dyestuff Inds. Ltd.,IND-RA,Letter of Credit,A 4,2025-12-01,HOT,ULTRA HOT,2026-12-01,5.0,Other,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Letter of Credit at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Yash Metal Impex Pvt. Ltd.,ACUITE,Letter of Credit,A 4,2025-12-01,HOT,ULTRA HOT,2026-12-01,4.25,Steel & Metals,Steel & Metals,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Letter of Credit at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Chandresh Cables Ltd.,ACUITE,Bank Guarantee,A 4+,2025-12-01,HOT,ULTRA HOT,2026-12-01,4.0,Other,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Bank Guarantee at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
S V P Industries Ltd.,BRICKWORK,Non-Fund-Based,A 4,2025-12-01,HOT,ULTRA HOT,2026-12-01,4.0,Other,Manufacturing,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Non-Fund-Based at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Livenza Granito LLP,Infomerics,Short Term Bank Facilities,IVR A4 (INC) (Reaffirmed),2025-12-01,HOT,ULTRA HOT,2026-12-01,4.0,Other,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-01 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Orient Steel & Inds. Ltd.,ACUITE,Bank Guarantee,A 4,2025-12-01,HOT,ULTRA HOT,2026-12-01,3.5,Steel & Metals,Steel & Metals,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Bank Guarantee at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Ronak Processors Pvt. Ltd.,CARE,Term Loan,B-,2025-12-01,HOT,ULTRA HOT,2026-12-01,3.44,Other,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Viswaat Chemicals Ltd.,CARE,NCD/Bond,BB/A4,2025-12-01,HOT,ULTRA HOT,2026-12-01,3.0,Chemicals/Pharma,Chemicals/Pharma,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
A B Grain Spirits Pvt. Ltd.,BRICKWORK,Term Loan,B+,2025-12-01,HOT,ULTRA HOT,2026-12-01,2.84,Agro/Food,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Alfa-Therm Ltd.,CARE,NCD/Bond,B-/A4,2025-12-01,HOT,ULTRA HOT,2026-12-01,2.67,Other,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Adachi Natural Polymer Ltd.,CARE,Term Loan,B-,2025-12-01,HOT,ULTRA HOT,2026-12-01,2.45,Chemicals/Pharma,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
G D Dyestuff Inds. Ltd.,IND-RA,Term Loan,B+,2025-12-01,HOT,ULTRA HOT,2026-12-01,2.38,Other,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Ronak Processors Pvt. Ltd.,CARE,Term Loan,B-,2025-12-01,HOT,ULTRA HOT,2026-12-01,2.24,Other,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Mohite Industries Limited,Infomerics,Short Term Bank Facilities,IVR A4 (INC) (Reaffirmed),2025-12-01,HOT,ULTRA HOT,2026-12-01,2.0,Other,Manufacturing,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-01 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Turbhe Chemicals Pvt. Ltd.,CARE,Term Loan,B+,2025-12-01,HOT,ULTRA HOT,2026-12-01,1.68,Chemicals/Pharma,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Aryavrata Steel Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,2025-12-01,HOT,ULTRA HOT,2026-12-01,1.5,Steel & Metals,Steel & Metals,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Bank Guarantee at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Sonamoti Agrotech Pvt. Ltd.,CARE,Term Loan,B-,2025-12-01,HOT,ULTRA HOT,2026-12-01,1.23,Agro/Food,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Turbhe Chemicals Pvt. Ltd.,CARE,Term Loan,B+,2025-12-01,HOT,ULTRA HOT,2026-12-01,1.21,Chemicals/Pharma,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Indraprastha Foods Limited,Infomerics,Short Term Bank Facilities,IVR A4 (INC) (Reaffirmed),2025-12-01,HOT,ULTRA HOT,2026-12-01,0.75,Agro/Food,Agro/Food,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-01 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
T C S & Associates Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-01,HOT,ULTRA HOT,2026-12-01,0.71,Other,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Inox World Inds. Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-12-01,HOT,ULTRA HOT,2026-12-01,0.4,Other,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Bank Guarantee at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
G D Dyestuff Inds. Ltd.,IND-RA,Bank Guarantee,A 4,2025-12-01,HOT,ULTRA HOT,2026-12-01,0.3,Other,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Bank Guarantee at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Adachi Natural Polymer Ltd.,CARE,Non-Fund-Based,A 4,2025-12-01,HOT,ULTRA HOT,2026-12-01,0.04,Chemicals/Pharma,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Non-Fund-Based at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Krishna Constellation Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,2025-12-02,HOT,ULTRA HOT,2026-12-02,223.0,Other,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-02 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Laxmiroop Private Limited,Infomerics,Long Term Bank Facilities,IVR D (INC) (Reaffirmed),2025-12-02,HOT,ULTRA HOT,2026-12-02,123.56,Other,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-02 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Manohar Lal Sarraf & Sons Jewellers Pvt. Ltd.,CARE,NCD/Bond,BB+/A4,2025-12-02,HOT,ULTRA HOT,2026-12-02,83.0,Jewellery,Jewellery,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-02 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
M R L Tyres Ltd.,CRISIL,Letter of Credit,A 4+,2025-12-02,HOT,ULTRA HOT,2026-12-02,65.0,Other,Automobiles,Standard,D365,INC rating hits ULTRA HOT on 2026-12-02 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
Meenakshi Ammal Trust,Infomerics,Long Term Bank Facilities,IVR B+ (INC) (Downgraded),2025-12-02,HOT,ULTRA HOT,2026-12-02,55.0,Other,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-02 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,August 2026 (before Dec ULTRA HOT threshold),Currently HOT — escalates to ULTRA HOT Dec 2026. NOT in October pool. Call August-September.
