Company Name,Conflicting Sectors,Detail,Detection_Method
Sneha Medicare Pvt. Ltd.,Automobiles vs Healthcare,"Name contains '\bmedicare\b' strongly indicating Healthcare, but tagged Automobiles",Keyword mismatch (same method as Session 40 Jewellery finding)
Wave Beverages Private Limited,Other vs Agro & Food,"Name contains '\bbeverages?\b' strongly indicating Agro & Food, but tagged Other",Keyword mismatch (same method as Session 40 Jewellery finding)
Broadcast Engineering Consultants India Ltd.,Manufacturing vs Media/Retail,"Name contains '\bbroadcast(ing)?\b' strongly indicating Media/Retail, but tagged Manufacturing",Keyword mismatch (same method as Session 40 Jewellery finding)
Proodle Hospitality Services Pvt. Ltd.,Healthcare vs Hotels & Tourism,"Name contains '\bhospitality\b' strongly indicating Hotels & Tourism, but tagged Healthcare",Keyword mismatch (same method as Session 40 Jewellery finding)
Diamond Textile Mills Pvt. Ltd.,Textiles vs Jewellery/Gems,"Name contains '\bdiamonds?\b' strongly indicating Jewellery/Gems, but tagged Textiles",Keyword mismatch (same method as Session 40 Jewellery finding)
Alchemist Hospitals Ltd.,Chemicals & Pharma vs Healthcare,"Name contains '\bhospitals?\b' strongly indicating Healthcare, but tagged Chemicals & Pharma",Keyword mismatch (same method as Session 40 Jewellery finding)
Khush Housing Finance Pvt. Ltd.,Construction vs BFSI,"Name contains '\bhousing finance\b' strongly indicating BFSI, but tagged Construction",Keyword mismatch (same method as Session 40 Jewellery finding)
Ivax Paper Chemicals Pvt. Ltd.,Chemicals & Pharma vs Paper/Packaging,"Name contains '\bpapers?\b' strongly indicating Paper/Packaging, but tagged Chemicals & Pharma",Keyword mismatch (same method as Session 40 Jewellery finding)
Shree Somnath Paper Mills Pvt. Ltd.,Agro & Food vs Paper/Packaging,"Name contains '\bpapers?\b' strongly indicating Paper/Packaging, but tagged Agro & Food",Keyword mismatch (same method as Session 40 Jewellery finding)
Navdurga Pulp & Paper Mills India Pvt. Ltd.,Agro & Food vs Paper/Packaging,"Name contains '\bpapers?\b' strongly indicating Paper/Packaging, but tagged Agro & Food",Keyword mismatch (same method as Session 40 Jewellery finding)
Danalakshmi Paper Mills Pvt. Ltd.,Agro & Food vs Paper/Packaging,"Name contains '\bpapers?\b' strongly indicating Paper/Packaging, but tagged Agro & Food",Keyword mismatch (same method as Session 40 Jewellery finding)
Decor Paper Mills Ltd.,Agro & Food vs Paper/Packaging,"Name contains '\bpapers?\b' strongly indicating Paper/Packaging, but tagged Agro & Food",Keyword mismatch (same method as Session 40 Jewellery finding)
KHFM Hospitality & Facility Management Services Limited,Healthcare vs Hotels & Tourism,"Name contains '\bhospitality\b' strongly indicating Hotels & Tourism, but tagged Healthcare",Keyword mismatch (same method as Session 40 Jewellery finding)
Astron Paper & Board Mill Limited,Agro & Food vs Paper/Packaging,"Name contains '\bpapers?\b' strongly indicating Paper/Packaging, but tagged Agro & Food",Keyword mismatch (same method as Session 40 Jewellery finding)
Satkar Paper Mills Pvt. Ltd.,Agro & Food vs Paper/Packaging,"Name contains '\bpapers?\b' strongly indicating Paper/Packaging, but tagged Agro & Food",Keyword mismatch (same method as Session 40 Jewellery finding)
Radheshyam Paper Mills Pvt. Ltd.,Agro & Food vs Paper/Packaging,"Name contains '\bpapers?\b' strongly indicating Paper/Packaging, but tagged Agro & Food",Keyword mismatch (same method as Session 40 Jewellery finding)
Blue Ocean Beverages Pvt. Ltd.,Other vs Agro & Food,"Name contains '\bbeverages?\b' strongly indicating Agro & Food, but tagged Other",Keyword mismatch (same method as Session 40 Jewellery finding)
Nimbus Beverages Pvt. Ltd.,Other vs Agro & Food,"Name contains '\bbeverages?\b' strongly indicating Agro & Food, but tagged Other",Keyword mismatch (same method as Session 40 Jewellery finding)
Sri Andal Paper Mills Pvt. Ltd.,Agro & Food vs Paper/Packaging,"Name contains '\bpapers?\b' strongly indicating Paper/Packaging, but tagged Agro & Food",Keyword mismatch (same method as Session 40 Jewellery finding)
Kiara Jewellery Pvt. Ltd.,Other vs Jewellery/Gems,"Name contains '\bjewell?ery\b' strongly indicating Jewellery/Gems, but tagged Other",Keyword mismatch (same method as Session 40 Jewellery finding)
Mini Diamonds (India) Ltd.,Other vs Jewellery/Gems,"Name contains '\bdiamonds?\b' strongly indicating Jewellery/Gems, but tagged Other",Keyword mismatch (same method as Session 40 Jewellery finding)
Shreela Diamonds & Jewels Pvt. Ltd.,Other vs Jewellery/Gems,"Name contains '\bdiamonds?\b' strongly indicating Jewellery/Gems, but tagged Other",Keyword mismatch (same method as Session 40 Jewellery finding)
