Company Name,Current Rater,Instrument,Rating,Rating Date,Amount Cr,Sector,Urgency,Aug_Week,RM_Tier,Call_Window,Why Target,ACER Pitch Angle,Recommended_Action
Shri Murlidhar Inds. Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,16-Jan-2026,86.0,Other,LOW,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk2 (Oct 8-14),INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Multitex Filteration Engineers Ltd.,IND-RA,NCD/Bond,B-/A4,16-Jan-2026,84.4,Manufacturing,LOW,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk2 (Oct 8-14),INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Jagruti Sugar & Allied Inds. Ltd.,IND-RA,NCD/Bond,BB-/A4+,12-Jan-2026,75.0,Agro & Food,LOW,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk2 (Oct 8-14),INC rating hits HOT threshold on 2026-10-09 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
George Maijo Inds. Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,16-Jan-2026,74.32,Other,LOW,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk2 (Oct 8-14),INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Kannappan Iron & Steel Co. Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,16-Jan-2026,63.4,Steel & Metals,LOW,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk2 (Oct 8-14),INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Encorp Powertrans Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,16-Jan-2026,55.0,Energy,LOW,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk2 (Oct 8-14),INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Creations Jewellery Mfg. Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,27-Jan-2026,54.0,Jewellery/Gems,LOW,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk4 (Oct 22-31),INC rating hits HOT threshold on 2026-10-24 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Vijai Construction (India) Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,16-Jan-2026,52.0,Construction,LOW,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk2 (Oct 8-14),INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Kuldeep Motors Pvt. Ltd.,CARE,NCD/Bond,BB/A4,2026-01-02,50.0,Other,LOW/MEDIUM,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct–Nov 2026 — Call now (HOT by Oct),INC rating hits ULTRA HOT on 2027-01-02 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Jan 2027. Start ACER process in Sep 2026 — before the Q1 rush.,ADD to Aug Wk2 - SEBI pre-license relationship wave
Sangeeth Textiles Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,16-Jan-2026,47.04,Construction,LOW,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk2 (Oct 8-14),INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Space Wood Furnishers Pvt. Ltd.,CARE,NCD/Bond,BB+/A4+,01-Oct-2025,46.5,Other,MEDIUM,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk1 (Oct 1-7),INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
C 5 Engineering Pvt. Ltd.,CARE,NCD/Bond,B+/A4,17-Oct-2025,45.0,Manufacturing,MEDIUM,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk3 (Oct 15-21),INC rating hits ULTRA HOT threshold on 2026-10-17 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Mazda Colours Ltd.,ICRA,NCD/Bond,BB+/A4+,30-Jan-2026,45.0,Other,LOW,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk4 (Oct 22-31),INC rating hits HOT threshold on 2026-10-27 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Ratnesh Ispat Services Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,16-Jan-2026,45.0,Other,LOW,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk2 (Oct 8-14),INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Sai Smaran Foods Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,16-Jan-2026,45.0,Agro & Food,LOW,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk2 (Oct 8-14),INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Sivaguru Spinning Mills Pvt. Ltd.,IND-RA,NCD/Bond,B+/A4,12-Jan-2026,43.0,Textiles,LOW,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk2 (Oct 8-14),INC rating hits HOT threshold on 2026-10-09 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Continental Milkose (India) Ltd.,IND-RA,NCD/Bond,B-/A4,16-Jan-2026,40.0,Steel & Metals,LOW,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk2 (Oct 8-14),INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Hindustan Prefab Ltd.,IND-RA,NCD/Bond,B-/A4,17-Oct-2025,40.0,Other,MEDIUM,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk3 (Oct 15-21),INC rating hits ULTRA HOT threshold on 2026-10-17 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Piyush Infratech Pvt. Ltd.,IND-RA,NCD/Bond,B+/A4,17-Oct-2025,40.0,Construction,MEDIUM,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk3 (Oct 15-21),INC rating hits ULTRA HOT threshold on 2026-10-17 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Noble Moulds Pvt. Ltd.,BRICKWORK,NCD/Bond,B-/A4,2026-01-02,37.87,Other,LOW/MEDIUM,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct–Nov 2026 — Call now (HOT by Oct),INC rating hits ULTRA HOT on 2027-01-02 — prime Q1 2027 renewal target,Your NCD/Bond at BRICKWORK goes critical in Jan 2027. Start ACER process in Sep 2026 — before the Q1 rush.,ADD to Aug Wk2 - SEBI pre-license relationship wave
U B Cotton Pvt. Ltd.,CARE,NCD/Bond,BB/A4,09-Jan-2026,37.0,Agro & Food,LOW,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk1 (Oct 1-7),INC rating hits HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
J P Sortex Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,13-Oct-2025,37.0,Other,MEDIUM,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk2 (Oct 8-14),INC rating hits ULTRA HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Ganadhi Pati Construction Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,27-Jan-2026,36.0,Construction,LOW,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk4 (Oct 22-31),INC rating hits HOT threshold on 2026-10-24 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Sri Mouli Textiles Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,16-Jan-2026,36.0,Construction,LOW,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk2 (Oct 8-14),INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Tara Tarini Constructions Pvt. Ltd.,CARE,NCD/Bond,BB/A4,03-Feb-2026,34.38,Construction,LOW,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk4 (Oct 22-31),INC rating hits HOT threshold on 2026-10-31 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Oriilon India Pvt. Ltd.,CARE,NCD/Bond,BB/A4,20-Jan-2026,34.18,Other,LOW,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk3 (Oct 15-21),INC rating hits HOT threshold on 2026-10-17 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Pyrotech Workspace Solutions Pvt. Ltd.,CARE,NCD/Bond,BBB/A3+,30-Jan-2026,34.0,IT/Technology,LOW,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk4 (Oct 22-31),INC rating hits HOT threshold on 2026-10-27 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Translite Energy Ltd.,CARE,NCD/Bond,BB+/A4+,23-Jan-2026,32.0,Energy,LOW,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk3 (Oct 15-21),INC rating hits HOT threshold on 2026-10-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
S G S Motors Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,16-Jan-2026,32.0,Automobiles,LOW,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk2 (Oct 8-14),INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Sri Venkateswara Spintex Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,16-Jan-2026,30.34,Other,LOW,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk2 (Oct 8-14),INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Akhil Shipbreakers Pvt. Ltd.,BRICKWORK,NCD/Bond,C/A4,23-Jan-2026,30.0,Other,LOW,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk3 (Oct 15-21),INC rating hits HOT threshold on 2026-10-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Ashish Vessel Demolition Pvt. Ltd.,CARE,NCD/Bond,B-/A4,29-Jan-2026,30.0,Logistics,LOW,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk4 (Oct 22-31),INC rating hits HOT threshold on 2026-10-26 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Chetana Education Ltd.,ICRA,NCD/Bond,BB+/A4+,19-Jan-2026,30.0,Education,LOW,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk3 (Oct 15-21),INC rating hits HOT threshold on 2026-10-16 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Servotech India Ltd.,IND-RA,NCD/Bond,B/A4,16-Jan-2026,30.0,IT/Technology,LOW,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk2 (Oct 8-14),INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Dali & Samir Engg. Pvt. Ltd.,CARE,NCD/Bond,BB+/A4+,01-Oct-2025,28.22,Agro & Food,MEDIUM,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk1 (Oct 1-7),INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Paracoat Products Ltd.,IND-RA,NCD/Bond,B-/A4,16-Jan-2026,27.5,Manufacturing,LOW,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk2 (Oct 8-14),INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Super Hygiene Products Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,16-Jan-2026,25.0,Manufacturing,LOW,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk2 (Oct 8-14),INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Spg Infraprojects Ltd.,CARE,NCD/Bond,BB+/A4+,31-Oct-2025,24.0,Construction,MEDIUM,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk4 (Oct 22-31),INC rating hits ULTRA HOT threshold on 2026-10-31 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Survi Projects Pvt. Ltd.,CARE,NCD/Bond,B+/A4,10-Oct-2025,22.0,Construction,MEDIUM,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk2 (Oct 8-14),INC rating hits ULTRA HOT threshold on 2026-10-10 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Puneet Iron & Steel Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,16-Jan-2026,22.0,Steel & Metals,LOW,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk2 (Oct 8-14),INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Pearl International Services Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,16-Jan-2026,21.5,Other,LOW,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk2 (Oct 8-14),INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
New Field Industrial Equipment Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,16-Jan-2026,21.25,Manufacturing,LOW,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk2 (Oct 8-14),INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Anand Construwell Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,16-Jan-2026,21.0,Other,LOW,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk2 (Oct 8-14),INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Svasca Industries (India) Ltd.,CARE,NCD/Bond,B-/A4,30-Oct-2025,20.0,Manufacturing,MEDIUM,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk4 (Oct 22-31),INC rating hits ULTRA HOT threshold on 2026-10-30 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Maya Construction Co. Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,16-Jan-2026,20.0,Construction,LOW,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk2 (Oct 8-14),INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
India Home Loan Limited,Infomerics,Non-Convertible Debenture,IVR D (INC) (Reaffirmed),2026-01-23,19.93,Other,LOW/MEDIUM,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct–Nov 2026 — Call now (HOT by Oct),INC rating hits ULTRA HOT on 2027-01-23 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Jan 2027. ACER is your best alternative — no competitor has approached you.,ADD to Aug Wk2 - SEBI pre-license relationship wave
Techno Global Services Pvt. Ltd.,CARE,NCD/Bond,BB-/A4,10-Oct-2025,19.5,IT/Technology,MEDIUM,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk2 (Oct 8-14),INC rating hits ULTRA HOT threshold on 2026-10-10 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Bawa Float Glass Ltd.,CARE,NCD/Bond,BB+/A4+,06-Jan-2026,18.0,Other,LOW,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk1 (Oct 1-7),INC rating hits HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Mining Associates Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,29-Jan-2026,18.0,Mining & Minerals,LOW,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk4 (Oct 22-31),INC rating hits HOT threshold on 2026-10-26 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Har Auto Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,16-Jan-2026,18.0,Automobiles,LOW,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk2 (Oct 8-14),INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Vijay Engineering Equipment India Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,16-Jan-2026,17.92,Manufacturing,LOW,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk2 (Oct 8-14),INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
T I Medical Pvt. Ltd.,BRICKWORK,NCD/Bond,B,19-Jan-2026,17.5,Healthcare,LOW,Aug Wk2 (Aug 10-14),"TIER 1 — Senior RM (NCD-linked, per existing plan rule)",Oct Wk3 (Oct 15-21),INC rating hits HOT threshold on 2026-10-16 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
