Company Name,Current Rater,Instrument,Rating,Rating Date,Amount Cr,Sector,Urgency,Pipeline_Window,Call_Window,Captured_In_Aug_RM_Plan,Why Target,ACER Pitch Angle,Recommended_Action
Super Seal Flexible Hose Ltd.,BRICKWORK,NCD/Bond,C/A4,05-Feb-2026,8.5,Other,LOW,October 2026,Nov Wk1 (Nov 1-7),False,INC rating hits HOT threshold on 2026-11-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Rukmani Power & Steel Pvt. Ltd.,BRICKWORK,NCD/Bond,C,20-Feb-2026,8.0,Steel & Metals,LOW,October 2026,Nov Wk3 (Nov 15-21),False,INC rating hits HOT threshold on 2026-11-17 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Shree Ram Vessel Scrap Pvt. Ltd.,BRICKWORK,Non-government debt,BB/A4,2026-04-03,370.0,Other,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,"INC since Apr 2026 (86 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at BRICKWORK hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,ADD to Aug Wk2 - SEBI pre-license relationship wave
Kwality Overseas Pvt. Ltd.,BRICKWORK,Non-government debt,D,2026-04-06,15.0,Other,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,"INC since Apr 2026 (83 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at BRICKWORK hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,ADD to Aug Wk2 - SEBI pre-license relationship wave
Advant I T Park Pvt. Ltd.,BRICKWORK,NCD/Bond,B,2026-03-20,300.0,Other,LOW/MEDIUM,Q1 2027,Dec 2026 – Jan 2027,False,INC rating hits ULTRA HOT on 2027-03-20 — prime Q1 2027 renewal target,Your NCD/Bond at BRICKWORK goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,ADD to Aug Wk2 - SEBI pre-license relationship wave
Noble Moulds Pvt. Ltd.,BRICKWORK,NCD/Bond,B-/A4,2026-01-02,37.87,Other,LOW/MEDIUM,Q1 2027,Oct–Nov 2026 — Call now (HOT by Oct),False,INC rating hits ULTRA HOT on 2027-01-02 — prime Q1 2027 renewal target,Your NCD/Bond at BRICKWORK goes critical in Jan 2027. Start ACER process in Sep 2026 — before the Q1 rush.,ADD to Aug Wk2 - SEBI pre-license relationship wave
Akansha Shipbreaking Pvt. Ltd.,BRICKWORK,NCD/Bond,C/A4,2026-03-31,35.0,Other,LOW/MEDIUM,Q1 2027,Dec 2026 – Jan 2027,False,INC rating hits ULTRA HOT on 2027-03-31 — prime Q1 2027 renewal target,Your NCD/Bond at BRICKWORK goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,ADD to Aug Wk2 - SEBI pre-license relationship wave
T L G Agro Traders Pvt. Ltd.,BRICKWORK,NCD/Bond,B-/A4,2026-03-11,30.0,Agro & Food,LOW/MEDIUM,Q1 2027,Dec 2026 – Jan 2027,False,INC rating hits ULTRA HOT on 2027-03-11 — prime Q1 2027 renewal target,Your NCD/Bond at BRICKWORK goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,ADD to Aug Wk2 - SEBI pre-license relationship wave
Suvarna Shilpi Jewellers Pvt. Ltd.,BRICKWORK,NCD/Bond,C/A4,2026-03-23,24.0,Jewellery,LOW/MEDIUM,Q1 2027,Dec 2026 – Jan 2027,False,INC rating hits ULTRA HOT on 2027-03-23 — prime Q1 2027 renewal target,Your NCD/Bond at BRICKWORK goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,ADD to Aug Wk2 - SEBI pre-license relationship wave
Sri Saravana Tex Exports India Pvt. Ltd.,BRICKWORK,NCD/Bond,C,2026-03-11,21.0,Other,LOW/MEDIUM,Q1 2027,Dec 2026 – Jan 2027,False,INC rating hits ULTRA HOT on 2027-03-11 — prime Q1 2027 renewal target,Your NCD/Bond at BRICKWORK goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,ADD to Aug Wk2 - SEBI pre-license relationship wave
J R Transformers Pvt. Ltd.,BRICKWORK,NCD/Bond,A 4,2026-03-27,15.0,Other,LOW/MEDIUM,Q1 2027,Dec 2026 – Jan 2027,False,INC rating hits ULTRA HOT on 2027-03-27 — prime Q1 2027 renewal target,Your NCD/Bond at BRICKWORK goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,ADD to Aug Wk2 - SEBI pre-license relationship wave
Sri Shyam Fashion India Pvt. Ltd.,BRICKWORK,NCD/Bond,B,2026-03-13,11.0,Other,LOW/MEDIUM,Q1 2027,Dec 2026 – Jan 2027,False,INC rating hits ULTRA HOT on 2027-03-13 — prime Q1 2027 renewal target,Your NCD/Bond at BRICKWORK goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,ADD to Aug Wk2 - SEBI pre-license relationship wave
Champion El Com Pvt. Ltd.,BRICKWORK,NCD/Bond,C/A4,2026-03-06,7.0,Other,LOW/MEDIUM,Q1 2027,Dec 2026 – Jan 2027,False,INC rating hits ULTRA HOT on 2027-03-06 — prime Q1 2027 renewal target,Your NCD/Bond at BRICKWORK goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,ADD to Aug Wk2 - SEBI pre-license relationship wave
S G G D Projects Devp. Pvt. Ltd.,BRICKWORK,NCD/Bond,PP-MLD D,09-Oct-2025,127.5,Construction,MEDIUM,October 2026,Oct Wk2 (Oct 8-14),False,INC rating hits ULTRA HOT threshold on 2026-10-09 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Tamilnadu Transmission Corpn. Ltd.,BRICKWORK,NCD/Bond,B+/A4,30-Oct-2025,90.0,Other,MEDIUM,October 2026,Oct Wk4 (Oct 22-31),False,INC rating hits ULTRA HOT threshold on 2026-10-30 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Shah Nanji Nagsi Overseas Pvt. Ltd.,BRICKWORK,NCD/Bond,B+/A4,13-Nov-2025,90.0,Other,MEDIUM,October 2026,Nov Wk2 (Nov 8-14),False,INC rating hits ULTRA HOT threshold on 2026-11-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Akash Steel Crafts Pvt. Ltd.,BRICKWORK,NCD/Bond,A 4,24-Oct-2025,5.0,Steel & Metals,MEDIUM,October 2026,Oct Wk4 (Oct 22-31),False,INC rating hits ULTRA HOT threshold on 2026-10-24 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Som Shiva (Impex) Ltd.,BRICKWORK,NCD/Bond,C/A4,29-Oct-2025,4.5,Other,MEDIUM,October 2026,Oct Wk4 (Oct 22-31),False,INC rating hits ULTRA HOT threshold on 2026-10-29 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Transaction Solutions Intl. (India) Pvt. Ltd.,CARE,NCD/Bond,BB+/A4+,24-Feb-2026,155.29,Other,LOW,October 2026,Nov Wk3 (Nov 15-21),False,INC rating hits HOT threshold on 2026-11-21 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Sunalco Alloys Pvt. Ltd.,CARE,NCD/Bond,BB-/A4,25-Feb-2026,135.0,Steel & Metals,LOW,October 2026,Nov Wk4 (Nov 22-30),False,INC rating hits HOT threshold on 2026-11-22 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Pragati Infra Solutions Pvt. Ltd.,CARE,NCD/Bond,BBB/A3+,25-Feb-2026,119.0,Construction,LOW,October 2026,Nov Wk4 (Nov 22-30),False,INC rating hits HOT threshold on 2026-11-22 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Advaith Aerospace Pvt. Ltd.,CARE,NCD/Bond,B+/A4,05-Mar-2026,90.0,Other,LOW,October 2026,Nov Wk4 (Nov 22-30),False,INC rating hits HOT threshold on 2026-11-30 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Preeti Buildcon Pvt. Ltd.,CARE,NCD/Bond,BB-/A4,11-Feb-2026,64.15,Construction,LOW,October 2026,Nov Wk2 (Nov 8-14),False,INC rating hits HOT threshold on 2026-11-08 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
B T W-Atlanta Transformers India Pvt. Ltd.,CARE,NCD/Bond,C/A4,26-Feb-2026,40.0,Other,LOW,October 2026,Nov Wk4 (Nov 22-30),False,INC rating hits HOT threshold on 2026-11-23 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Kerafibertex International Pvt. Ltd.,CARE,NCD/Bond,BB/A4,05-Mar-2026,40.0,Textiles,LOW,October 2026,Nov Wk4 (Nov 22-30),False,INC rating hits HOT threshold on 2026-11-30 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
U B Cotton Pvt. Ltd.,CARE,NCD/Bond,BB/A4,09-Jan-2026,37.0,Agro & Food,LOW,October 2026,Oct Wk1 (Oct 1-7),False,INC rating hits HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Tara Tarini Constructions Pvt. Ltd.,CARE,NCD/Bond,BB/A4,03-Feb-2026,34.38,Construction,LOW,October 2026,Oct Wk4 (Oct 22-31),False,INC rating hits HOT threshold on 2026-10-31 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Oriilon India Pvt. Ltd.,CARE,NCD/Bond,BB/A4,20-Jan-2026,34.18,Other,LOW,October 2026,Oct Wk3 (Oct 15-21),False,INC rating hits HOT threshold on 2026-10-17 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Pyrotech Workspace Solutions Pvt. Ltd.,CARE,NCD/Bond,BBB/A3+,30-Jan-2026,34.0,IT/Technology,LOW,October 2026,Oct Wk4 (Oct 22-31),False,INC rating hits HOT threshold on 2026-10-27 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Translite Energy Ltd.,CARE,NCD/Bond,BB+/A4+,23-Jan-2026,32.0,Energy,LOW,October 2026,Oct Wk3 (Oct 15-21),False,INC rating hits HOT threshold on 2026-10-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Ashish Vessel Demolition Pvt. Ltd.,CARE,NCD/Bond,B-/A4,29-Jan-2026,30.0,Logistics,LOW,October 2026,Oct Wk4 (Oct 22-31),False,INC rating hits HOT threshold on 2026-10-26 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Swift Securitas Pvt. Ltd.,CARE,NCD/Bond,BBB-/A3,26-Feb-2026,24.35,BFSI,LOW,October 2026,Nov Wk4 (Nov 22-30),False,INC rating hits HOT threshold on 2026-11-23 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Bawa Float Glass Ltd.,CARE,NCD/Bond,BB+/A4+,06-Jan-2026,18.0,Other,LOW,October 2026,Oct Wk1 (Oct 1-7),False,INC rating hits HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Shubh Aluminium Pvt. Ltd.,CARE,NCD/Bond,C/A4,06-Feb-2026,14.0,Steel & Metals,LOW,October 2026,Nov Wk1 (Nov 1-7),False,INC rating hits HOT threshold on 2026-11-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Ajay (India) Ltd.,CARE,NCD/Bond,B/A4,05-Feb-2026,13.5,Other,LOW,October 2026,Nov Wk1 (Nov 1-7),False,INC rating hits HOT threshold on 2026-11-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Pai-Aim Solder (India) Pvt. Ltd.,CARE,NCD/Bond,B+/A4,08-Jan-2026,11.0,Other,LOW,October 2026,Oct Wk1 (Oct 1-7),False,INC rating hits HOT threshold on 2026-10-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Pack Paper Agencies Pvt. Ltd.,CARE,NCD/Bond,B-/A4,16-Feb-2026,10.5,Paper/Packaging,LOW,October 2026,Nov Wk2 (Nov 8-14),False,INC rating hits HOT threshold on 2026-11-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Indian Additives Ltd.,CARE,NCD/Bond,AA/A1+,11-Feb-2026,10.0,Other,LOW,October 2026,Nov Wk2 (Nov 8-14),False,INC rating hits HOT threshold on 2026-11-08 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Triveni Pattern Glass Pvt. Ltd.,CARE,NCD/Bond,BB/A4,20-Feb-2026,10.0,Other,LOW,October 2026,Nov Wk3 (Nov 15-21),False,INC rating hits HOT threshold on 2026-11-17 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Suvarna Fibrotech Pvt. Ltd.,CARE,NCD/Bond,B-/A4,29-Jan-2026,9.75,IT/Technology,LOW,October 2026,Oct Wk4 (Oct 22-31),False,INC rating hits HOT threshold on 2026-10-26 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Asha Enterprises Pvt. Ltd.,CARE,NCD/Bond,B-/A4,12-Feb-2026,8.0,Other,LOW,October 2026,Nov Wk2 (Nov 8-14),False,INC rating hits HOT threshold on 2026-11-09 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Millennium Babycares Pvt. Ltd.,CARE,NCD/Bond,B-/A4,24-Feb-2026,7.0,Automobiles,LOW,October 2026,Nov Wk3 (Nov 15-21),False,INC rating hits HOT threshold on 2026-11-21 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Dwarka Gems Ltd.,CARE,NCD/Bond,B-/A4,26-Feb-2026,6.5,Jewellery/Gems,LOW,October 2026,Nov Wk4 (Nov 22-30),False,INC rating hits HOT threshold on 2026-11-23 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Buildon Plasters Pvt. Ltd.,CARE,NCD/Bond,BB/A4,07-Jan-2026,5.5,Construction,LOW,October 2026,Oct Wk1 (Oct 1-7),False,INC rating hits HOT threshold on 2026-10-04 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Singhal Commodities Pvt. Ltd.,CARE,NCD/Bond,B-/A4,03-Feb-2026,5.0,Trading/Exports,LOW,October 2026,Oct Wk4 (Oct 22-31),False,INC rating hits HOT threshold on 2026-10-31 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Sanauto Engineers (India) Pvt. Ltd.,CARE,NCD/Bond,BB-/A4,09-Feb-2026,5.0,Manufacturing,LOW,October 2026,Nov Wk1 (Nov 1-7),False,INC rating hits HOT threshold on 2026-11-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Bharat Electrodrives Pvt. Ltd.,CARE,NCD/Bond,BB+/A4+,05-Feb-2026,4.31,Other,LOW,October 2026,Nov Wk1 (Nov 1-7),False,INC rating hits HOT threshold on 2026-11-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Leopard Vitrified Pvt. Ltd.,CARE,NCD/Bond,B-/A4,17-Feb-2026,4.25,Other,LOW,October 2026,Nov Wk2 (Nov 8-14),False,INC rating hits HOT threshold on 2026-11-14 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
R S K Industries Pvt. Ltd.,CARE,NCD/Bond,B-/A4,04-Mar-2026,4.0,Manufacturing,LOW,October 2026,Nov Wk4 (Nov 22-30),False,INC rating hits HOT threshold on 2026-11-29 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Dirco Polymers Pvt. Ltd.,CARE,NCD/Bond,BB+/A4+,05-Jan-2026,3.51,Chemicals & Pharma,LOW,October 2026,Oct Wk1 (Oct 1-7),False,INC rating hits HOT threshold on 2026-10-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Smilax Laboratories Ltd.,CARE,NCD/Bond,BB/A4,06-Jan-2026,2.5,Healthcare,LOW,October 2026,Oct Wk1 (Oct 1-7),False,INC rating hits HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Supreme Hydro Engg. Pvt. Ltd.,CARE,NCD/Bond,BBB+/A2,18-Feb-2026,2.5,Energy,LOW,October 2026,Nov Wk3 (Nov 15-21),False,INC rating hits HOT threshold on 2026-11-15 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Technobit Industries Pvt. Ltd.,CARE,NCD/Bond,B-/A4,17-Feb-2026,2.4,IT/Technology,LOW,October 2026,Nov Wk2 (Nov 8-14),False,INC rating hits HOT threshold on 2026-11-14 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Kuber Casting Pvt. Ltd.,CARE,NCD/Bond,B-/A4,12-Feb-2026,1.5,Steel & Metals,LOW,October 2026,Nov Wk2 (Nov 8-14),False,INC rating hits HOT threshold on 2026-11-09 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Premium Laminators Pvt. Ltd.,CARE,NCD/Bond,B+/A4,02-Feb-2026,1.41,Other,LOW,October 2026,Oct Wk4 (Oct 22-31),False,INC rating hits HOT threshold on 2026-10-30 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Arti Silk Mills Pvt. Ltd.,CARE,NCD/Bond,B/A4,12-Jan-2026,1.25,Textiles,LOW,October 2026,Oct Wk2 (Oct 8-14),False,INC rating hits HOT threshold on 2026-10-09 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Ezentech India Pvt. Ltd.,CARE,NCD/Bond,B-/A4,27-Jan-2026,0.24,IT/Technology,LOW,October 2026,Oct Wk4 (Oct 22-31),False,INC rating hits HOT threshold on 2026-10-24 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Euro Safety Footwear (India) Ltd.,CARE,NCD/Bond,BB+/A4+,05-Jan-2026,0.0,Other,LOW,October 2026,Oct Wk1 (Oct 1-7),False,INC rating hits HOT threshold on 2026-10-02 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Vikran Engineering Ltd.,CARE,NCD/Bond,BB-/A4,28-Jan-2026,0.0,Manufacturing,LOW,October 2026,Oct Wk4 (Oct 22-31),False,INC rating hits HOT threshold on 2026-10-25 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Aug Wk2 - SEBI pre-license relationship wave
Flexituff Ventures Intl. Ltd.,CARE,Non-government debt,D,2026-04-17,251.17,Other,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,"INC since Apr 2026 (72 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,ADD to Aug Wk2 - SEBI pre-license relationship wave
Etco Denim Pvt. Ltd.,CARE,Non-government debt,D,2026-04-09,112.99,Textiles,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,"INC since Apr 2026 (80 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,ADD to Aug Wk2 - SEBI pre-license relationship wave
N K Agro Exports (India) Pvt. Ltd.,CARE,Non-government debt,BB-/A4,2026-04-02,90.0,Agro & Food,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,ADD to Aug Wk2 - SEBI pre-license relationship wave
Savair Energy Ltd.,CARE,Non-government debt,D,2026-04-09,47.0,Energy/Power,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,"INC since Apr 2026 (80 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,ADD to Aug Wk2 - SEBI pre-license relationship wave
Mittapally Agro Products Pvt. Ltd.,CARE,Non-government debt,D,2026-04-14,32.5,Agro & Food,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,"INC since Apr 2026 (75 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-government debt at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,ADD to Aug Wk2 - SEBI pre-license relationship wave
