Company Name,Agency,Instrument Type,Rating,Rating Date,Amount Cr,Sector,Current Urgency,Pipeline_Window,Call_Window,NCD_Linked,Captured_In_Aug_RM_Plan,Why Target,ACER Pitch Angle,Recommended_Action
Pace Digitek Infra Pvt. Ltd.,ACUITE,Bank Guarantee,A 4+,30-Oct-2025,1163.0,Construction,MEDIUM,October 2026,Oct Wk4 (Oct 22-31),False,False,₹1163 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but NOT found in Aug RM deployment plan,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,ADD to Tier 1 Senior RM — high-value trigger missed
Energo Engineering Projects Ltd.,ICRA,Non-fund-based financial facility/instrument,D,2026-04-10,1150.0,Other,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,False,₹1150 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but NOT found in Aug RM deployment plan,Your Non-fund-based financial facility/instrument at ICRA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,ADD to Tier 1 Senior RM — high-value trigger missed
Kundli Manesar Expressway Ltd.,IND-RA,Term loans,D,2026-04-02,1114.16,Other,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,False,₹1114 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but NOT found in Aug RM deployment plan,Your Term loans at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,ADD to Tier 1 Senior RM — high-value trigger missed
I L & F S Energy Development Co. Ltd.,CARE,Term loans,D,2026-04-14,1037.85,Energy/Power,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,False,₹1038 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but NOT found in Aug RM deployment plan,Your Term loans at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,ADD to Tier 1 Senior RM — high-value trigger missed
Bhoruka Power Corpn. Ltd.,IND-RA,Term loans,BB-,2026-04-02,1012.82,Energy/Power,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,False,₹1013 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but NOT found in Aug RM deployment plan,Your Term loans at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,ADD to Tier 1 Senior RM — high-value trigger missed
T B E A Energy (India) Pvt. Ltd.,BRICKWORK,Non-Fund-Based,A 4,2025-12-15,959.34,Energy,HOT,Q1 2027,Sep 2026 — RM,False,True,₹959 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but found in Aug RM deployment plan,Your Non-Fund-Based at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Already in RM plan — no action
Gensol Engineering Ltd.,ICRA,Term loans,D,2026-04-23,925.0,Other,LOW (<90 days),Q2 2027,HOT by Jan 2027,True,False,₹925 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but NOT found in Aug RM deployment plan,Your Term loans at ICRA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,ADD to Tier 1 Senior RM — high-value trigger missed
Hubli Electricity Supply Co. Ltd.,CRISIL,Long term Loans,D,2026-04-28,902.53,Energy/Power,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,True,₹903 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but found in Aug RM deployment plan,Your Long term Loans at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Already in RM plan — no action
Chhapra-Hajipur Expressways Ltd.,ICRA,Term loans,D,2026-04-30,857.0,Other,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,False,₹857 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but NOT found in Aug RM deployment plan,Your Term loans at ICRA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,ADD to Tier 1 Senior RM — high-value trigger missed
Bijapur-Hungund Tollway Pvt. Ltd.,ACUITE,Term Loan,B,30-Jan-2026,846.5,Infrastructure,LOW,October 2026,Oct Wk4 (Oct 22-31),False,False,₹846 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but NOT found in Aug RM deployment plan,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,ADD to Tier 1 Senior RM — high-value trigger missed
Helios Photo Voltaic Ltd.,CARE,Term loans,D,2026-04-22,824.71,Other,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,False,₹825 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but NOT found in Aug RM deployment plan,Your Term loans at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,ADD to Tier 1 Senior RM — high-value trigger missed
G H V (India) Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4+,31-Oct-2025,820.0,Other,MEDIUM,October 2026,Oct Wk4 (Oct 22-31),False,False,₹820 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but NOT found in Aug RM deployment plan,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,ADD to Tier 1 Senior RM — high-value trigger missed
H E S Infra Ltd.,IND-RA,Fund-Based,A 4+,2025-12-17,802.0,Construction,HOT,Q1 2027,Sep–Oct 2026 — Call 3 months ahead,False,True,₹802 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but found in Aug RM deployment plan,Your Fund-Based at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Already in RM plan — no action
Magnite Developers Private Limited,Infomerics,Non - Convertible Debentures,IVR BB+ (INC) (Downgraded),2026-01-01,800.0,Other,LOW/MEDIUM,Q1 2027,Oct–Nov 2026 — Call now (HOT by Oct),True,False,₹800 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but NOT found in Aug RM deployment plan,Your Infomerics INC rating goes critical in Jan 2027. ACER is your best alternative — no competitor has approached you.,ADD to Tier 1 Senior RM — high-value trigger missed
Kanpur Edibles Pvt. Ltd.,CARE,Letter of Credit,A 4,2026-03-13,800.0,Agro & Food,LOW/MEDIUM,Q1 2027,Dec 2026 – Jan 2027,False,False,₹800 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but NOT found in Aug RM deployment plan,Your Letter of Credit at CARE goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,ADD to Tier 1 Senior RM — high-value trigger missed
Trucap Finance Ltd.,CARE,Fund based financial facility/instrument,D,2026-04-02,750.0,BFSI/NBFC,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,False,₹750 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but NOT found in Aug RM deployment plan,Your Fund based financial facility/instrument at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,ADD to Tier 1 Senior RM — high-value trigger missed
C D S Infra Projects Ltd.,BRICKWORK,Bank Guarantee,A 4,30-Oct-2025,725.0,Construction,MEDIUM,October 2026,Oct Wk4 (Oct 22-31),False,False,₹725 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but NOT found in Aug RM deployment plan,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,ADD to Tier 1 Senior RM — high-value trigger missed
Entertainment City Ltd.,BRICKWORK,Term loans,D,2026-04-03,673.42,Other,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,False,₹673 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but NOT found in Aug RM deployment plan,Your Term loans at BRICKWORK hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,ADD to Tier 1 Senior RM — high-value trigger missed
Mahendra Strips Pvt. Ltd.,ACUITE,Letter of Credit,A 4+,21-Nov-2025,650.0,Other,MEDIUM,October 2026,Nov Wk3 (Nov 15-21),False,True,₹650 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but found in Aug RM deployment plan,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,Already in RM plan — no action
Shri Prabhulingeshwar Sugars and Chemicals Limited,Infomerics,Long Term/ Short Term Bank Facilities,IVR BB-/IVR A4; (INC)(Withdrawn),29-Jan-2026,648.0,Agro & Food,LOW,October 2026,Oct Wk4 (Oct 22-31),False,True,₹648 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but found in Aug RM deployment plan,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,Already in RM plan — no action
MEP Longjian VTR Private Limited,Infomerics,Long Term Bank Facilities - Proposed,IVR C- (INC)(Downgraded),29-Oct-2025,646.93,Other,MEDIUM,October 2026,Oct Wk4 (Oct 22-31),False,False,₹647 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but NOT found in Aug RM deployment plan,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,ADD to Tier 1 Senior RM — high-value trigger missed
Future Enterprises Ltd.,CARE,Bank Guarantee,D,2026-04-23,602.0,Other,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,False,₹602 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but NOT found in Aug RM deployment plan,Your Bank Guarantee at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,ADD to Tier 1 Senior RM — high-value trigger missed
Mayfair Hotels & Resorts Ltd.,ICRA,Term Loan,BBB,16-Oct-2025,600.06,Hotels & Tourism,MEDIUM,October 2026,Oct Wk3 (Oct 15-21),False,False,₹600 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but NOT found in Aug RM deployment plan,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,ADD to Tier 1 Senior RM — high-value trigger missed
Aparna Infrahousing Pvt. Ltd.,CRISIL,Term Loan,BB+,17-Oct-2025,600.0,Construction,MEDIUM,October 2026,Oct Wk3 (Oct 15-21),False,False,₹600 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but NOT found in Aug RM deployment plan,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,ADD to Tier 1 Senior RM — high-value trigger missed
Radius Sumer Developers Pvt. Ltd.,BRICKWORK,Term loans,D,2026-04-01,600.0,Other,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,False,₹600 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but NOT found in Aug RM deployment plan,Your Term loans at BRICKWORK hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,ADD to Tier 1 Senior RM — high-value trigger missed
Iron Triangle Ltd.,CRISIL,Bank Guarantee,A 4,19-Nov-2025,598.0,Steel & Metals,MEDIUM,October 2026,Nov Wk3 (Nov 15-21),False,True,₹598 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but found in Aug RM deployment plan,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,Already in RM plan — no action
Gimatex Industries Pvt. Ltd.,BRICKWORK,Fund-Based,BB,18-Nov-2025,598.0,Manufacturing,MEDIUM,October 2026,Nov Wk3 (Nov 15-21),False,False,₹598 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but NOT found in Aug RM deployment plan,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,ADD to Tier 1 Senior RM — high-value trigger missed
Raghava Constructions India Private Limited,Infomerics,Long Term / Short Term Bank Facilities,IVR B/ IVR A4; (INC) (Downgraded/ Reaffirmed),16-Oct-2025,584.0,Construction,MEDIUM,October 2026,Oct Wk3 (Oct 15-21),False,False,₹584 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but NOT found in Aug RM deployment plan,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,ADD to Tier 1 Senior RM — high-value trigger missed
Caprihans India Ltd.,CARE,Term Loan,B,2026-03-12,570.0,Other,LOW/MEDIUM,Q1 2027,Dec 2026 – Jan 2027,True,False,₹570 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but NOT found in Aug RM deployment plan,Your Term Loan at CARE goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,ADD to Tier 1 Senior RM — high-value trigger missed
A G S Transact Technologies Ltd.,CRISIL,Term loans,D,2026-04-17,552.44,IT/Technology,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,False,₹552 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but NOT found in Aug RM deployment plan,Your Term loans at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,ADD to Tier 1 Senior RM — high-value trigger missed
Shri Ambalika Sugar Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,24-Nov-2025,550.0,Agro & Food,MEDIUM,October 2026,Nov Wk4 (Nov 22-30),True,False,₹550 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but NOT found in Aug RM deployment plan,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,ADD to Tier 1 Senior RM — high-value trigger missed
Pratibha Syntex Ltd.,IND-RA,NCD/Bond,B-/A4,24-Nov-2025,549.24,Other,MEDIUM,October 2026,Nov Wk4 (Nov 22-30),True,True,₹549 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but found in Aug RM deployment plan,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,Already in RM plan — no action
Akbar Travels Of India Pvt. Ltd.,BRICKWORK,Fund-Based,BB,07-Oct-2025,544.5,Hotels & Tourism,MEDIUM,October 2026,Oct Wk1 (Oct 1-7),False,False,₹544 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but NOT found in Aug RM deployment plan,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,ADD to Tier 1 Senior RM — high-value trigger missed
Sintex Prefab & Infra Ltd.,ACUITE,Term Loan,A 4,16-Feb-2026,543.63,Construction,LOW,October 2026,Nov Wk2 (Nov 8-14),False,True,₹544 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but found in Aug RM deployment plan,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,Already in RM plan — no action
C S Construction Co. Pvt. Ltd.,CRISIL,Bank Guarantee,BB+,30-Oct-2025,532.0,Construction,MEDIUM,October 2026,Oct Wk4 (Oct 22-31),False,False,₹532 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but NOT found in Aug RM deployment plan,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,ADD to Tier 1 Senior RM — high-value trigger missed
Shri Rathna Akshaya Estates Private Limited,Infomerics,Long Term Facilities,IVR BBB (INC)(Downgraded),2025-12-16,531.08,Other,HOT,Q1 2027,Sep–Oct 2026 — Call 3 months ahead,False,True,₹531 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but found in Aug RM deployment plan,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Already in RM plan — no action
Jaywant Sugars Limited,Infomerics,Long Term Fund Based Bank Facilities,IVR BB- (INC) (Downgraded),2025-12-11,524.36,Agro & Food,HOT,Q1 2027,Sep–Oct 2026 — Call 3 months ahead,False,True,₹524 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but found in Aug RM deployment plan,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Already in RM plan — no action
Electronics Corpn. Of Tamil Nadu Ltd.,IND-RA,Term Loan,A,2026-03-09,520.0,Other,LOW/MEDIUM,Q1 2027,Dec 2026 – Jan 2027,False,False,₹520 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but NOT found in Aug RM deployment plan,Your Term Loan at IND-RA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,ADD to Tier 1 Senior RM — high-value trigger missed
MEP Longjian Loha Waranga Road Private Limited,Infomerics,Long Term Bank Facilities - Proposed,IVR C- (INC)(Downgraded),29-Oct-2025,515.09,Construction,MEDIUM,October 2026,Oct Wk4 (Oct 22-31),False,False,₹515 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but NOT found in Aug RM deployment plan,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,ADD to Tier 1 Senior RM — high-value trigger missed
Sadbhav Vidarbha Highway Ltd.,CARE,Term loans,D,2026-04-17,514.0,Construction,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,False,₹514 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but NOT found in Aug RM deployment plan,Your Term loans at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,ADD to Tier 1 Senior RM — high-value trigger missed
Sevenhills Healthcare Pvt. Ltd.,CRISIL,Term loans,D,2026-04-30,510.11,Healthcare,LOW (<90 days),Q2 2027,HOT by Jan 2027,False,False,₹510 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but NOT found in Aug RM deployment plan,Your Term loans at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,ADD to Tier 1 Senior RM — high-value trigger missed
Ecstasy Realty Pvt. Ltd.,CARE,Term Loan,C,05-Mar-2026,500.0,Construction,LOW,October 2026,Nov Wk4 (Nov 22-30),False,False,₹500 Cr instrument — meets Tier 1 (>=₹500 Cr) trigger but NOT found in Aug RM deployment plan,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,ADD to Tier 1 Senior RM — high-value trigger missed
