Company Name,Current Rater,Instrument,Rating,Rating Date,Amount Cr,Sector,Urgency,NCD_Flag,Pipeline_Window,Call_Window,Why Target,ACER Pitch Angle
Amore Jewels Pvt. Ltd.,CRISIL,Letter of Credit,A 4+,17-Oct-2025,20.0,Jewellery,MEDIUM,Standard,October 2026,Oct Wk3 (Oct 15-21),INC rating hits ULTRA HOT threshold on 2026-10-17 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Radha Mohan Purshottam Das Jewels Pvt. Ltd.,BRICKWORK,Letter of Credit,A 4,14-Nov-2025,10.0,Jewellery,MEDIUM,Standard,October 2026,Nov Wk2 (Nov 8-14),INC rating hits ULTRA HOT threshold on 2026-11-14 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Cluster Jewellery Ltd.,CRISIL,Term Loan,B,14-Nov-2025,7.15,Jewellery,MEDIUM,Standard,October 2026,Nov Wk2 (Nov 8-14),INC rating hits ULTRA HOT threshold on 2026-11-14 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Emaar Diamonds Pvt. Ltd.,CRISIL,Term Loan,BB-,24-Oct-2025,3.54,Jewellery,MEDIUM,Standard,October 2026,Oct Wk4 (Oct 22-31),INC rating hits ULTRA HOT threshold on 2026-10-24 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Whitegold Ceramics Pvt. Ltd.,CRISIL,Term Loan,B,30-Oct-2025,3.0,Jewellery,MEDIUM,Standard,October 2026,Oct Wk4 (Oct 22-31),INC rating hits ULTRA HOT threshold on 2026-10-30 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Radhey Shyam Jewellers Pvt. Ltd.,CRISIL,Term Loan,B+,05-Nov-2025,3.0,Jewellery,MEDIUM,Standard,October 2026,Nov Wk1 (Nov 1-7),INC rating hits ULTRA HOT threshold on 2026-11-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Diamond T M T & Procon Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,09-Oct-2025,1.0,Jewellery,MEDIUM,Standard,October 2026,Oct Wk2 (Oct 8-14),INC rating hits ULTRA HOT threshold on 2026-10-09 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Golkunda Diamonds & Jewellery Ltd.,BRICKWORK,Non-Fund-Based,A 4,29-Oct-2025,0.5,Jewellery,MEDIUM,Standard,October 2026,Oct Wk4 (Oct 22-31),INC rating hits ULTRA HOT threshold on 2026-10-29 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Shanti Gold International Limited,Infomerics,Long Term Bank Facilities,IVR BBB (INC)(Downgraded),2026-02-03,195.38,Jewellery,LOW/MEDIUM,Standard,Q1 2027,Nov–Dec 2026,INC rating hits ULTRA HOT on 2027-02-03 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Feb 2027. ACER is your best alternative — no competitor has approached you.
K T M Jewellery Ltd.,CARE,NCD/Bond,BBB-/A3,2026-03-23,115.0,Jewellery,LOW/MEDIUM,NCD — SEBI License Required,Q1 2027,Dec 2026 – Jan 2027,INC rating hits ULTRA HOT on 2027-03-23 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Samarth Diamond,Infomerics,Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed),2026-01-23,56.0,Jewellery,LOW/MEDIUM,Standard,Q1 2027,Oct–Nov 2026 — Call now (HOT by Oct),INC rating hits ULTRA HOT on 2027-01-23 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Jan 2027. ACER is your best alternative — no competitor has approached you.
Prime Gold Intl. Ltd.,ACUITE,Term Loan,BB+,2026-03-17,35.0,Jewellery,LOW/MEDIUM,Standard,Q1 2027,Dec 2026 – Jan 2027,INC rating hits ULTRA HOT on 2027-03-17 — prime Q1 2027 renewal target,Your Term Loan at ACUITE goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Suvarna Shilpi Jewellers Pvt. Ltd.,BRICKWORK,NCD/Bond,C/A4,2026-03-23,24.0,Jewellery,LOW/MEDIUM,NCD — SEBI License Required,Q1 2027,Dec 2026 – Jan 2027,INC rating hits ULTRA HOT on 2027-03-23 — prime Q1 2027 renewal target,Your NCD/Bond at BRICKWORK goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Golden Globe Impex Pvt. Ltd.,CRISIL,Letter of Credit,A 4,2026-03-18,12.0,Jewellery,LOW/MEDIUM,Standard,Q1 2027,Dec 2026 – Jan 2027,INC rating hits ULTRA HOT on 2027-03-18 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Prime Gold-Sail Jvc Ltd.,ACUITE,Term Loan,BB+,2026-03-17,12.0,Jewellery,LOW/MEDIUM,Standard,Q1 2027,Dec 2026 – Jan 2027,INC rating hits ULTRA HOT on 2027-03-17 — prime Q1 2027 renewal target,Your Term Loan at ACUITE goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Shish Jewels Ltd.,CRISIL,Non-Fund-Based,A 4,2026-03-17,1.0,Jewellery,LOW/MEDIUM,Standard,Q1 2027,Dec 2026 – Jan 2027,INC rating hits ULTRA HOT on 2027-03-17 — prime Q1 2027 renewal target,Your Non-Fund-Based at CRISIL goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Arundhati Jewellers Pvt. Ltd.,ACUITE,Term Loan,BB+,2025-12-30,0.15,Jewellery,LOW/MEDIUM,Standard,Q1 2027,Sep–Oct 2026 — Call 3 months ahead,INC rating hits ULTRA HOT on 2026-12-30 — prime Q1 2027 renewal target,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Karuna Management Services Ltd.,CRISIL,Fund-Based,BB+,20-Jan-2026,155.0,Jewellery,LOW,Standard,October 2026,Oct Wk3 (Oct 15-21),INC rating hits HOT threshold on 2026-10-17 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Diamond Beverages Pvt. Ltd.,CARE,Term Loan,B+,15-Apr-2026,92.15,Jewellery,LOW,Standard,October 2026,Oct Wk2 (Oct 8-14),INC rating hits MEDIUM threshold on 2026-10-12 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Creations Jewellery Mfg. Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,27-Jan-2026,54.0,Jewellery,LOW,NCD — SEBI License Required,October 2026,Oct Wk4 (Oct 22-31),INC rating hits HOT threshold on 2026-10-24 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds
Golden Seams Inds. Pvt. Ltd.,IND-RA,NCD/Bond,BB-/A4+,27-Feb-2026,40.0,Jewellery,LOW,NCD — SEBI License Required,October 2026,Nov Wk4 (Nov 22-30),INC rating hits HOT threshold on 2026-11-24 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds
Amar Jewellers Pvt. Ltd.,CRISIL,Term Loan,B,21-Apr-2026,25.0,Jewellery,LOW,Standard,October 2026,Oct Wk3 (Oct 15-21),INC rating hits MEDIUM threshold on 2026-10-18 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Golden Mandhir Retail Pvt. Ltd.,CARE,Fund-Based,B-,28-Apr-2026,17.7,Jewellery,LOW,Standard,October 2026,Oct Wk4 (Oct 22-31),INC rating hits MEDIUM threshold on 2026-10-25 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Jewel India Pvt. Ltd.,CRISIL,Letter of Credit,A 4,30-Jan-2026,14.5,Jewellery,LOW,Standard,October 2026,Oct Wk4 (Oct 22-31),INC rating hits HOT threshold on 2026-10-27 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Kiara Jewellery Pvt. Ltd.,ICRA,NCD/Bond,B/A4,22-Apr-2026,14.0,Jewellery,LOW,NCD — SEBI License Required,October 2026,Oct Wk3 (Oct 15-21),INC rating hits MEDIUM threshold on 2026-10-19 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds
M J Gold Pvt. Ltd.,BRICKWORK,NCD/Bond,B-,07-Apr-2026,12.0,Jewellery,LOW,NCD — SEBI License Required,October 2026,Oct Wk1 (Oct 1-7),INC rating hits MEDIUM threshold on 2026-10-04 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Ozone Diamonds Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,16-Jan-2026,10.0,Jewellery,LOW,NCD — SEBI License Required,October 2026,Oct Wk2 (Oct 8-14),INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds
Notandas Gems Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,16-Jan-2026,8.0,Jewellery,LOW,NCD — SEBI License Required,October 2026,Oct Wk2 (Oct 8-14),INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds
Charisma Goldwheels Pvt. Ltd.,CRISIL,Fund-Based,B+,27-Jan-2026,8.0,Jewellery,LOW,Standard,October 2026,Oct Wk4 (Oct 22-31),INC rating hits HOT threshold on 2026-10-24 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Nac Jewellers Pvt. Ltd.,CRISIL,Term Loan,B,23-Apr-2026,6.85,Jewellery,LOW,Standard,October 2026,Oct Wk3 (Oct 15-21),INC rating hits MEDIUM threshold on 2026-10-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Dwarka Gems Ltd.,CARE,NCD/Bond,B-/A4,26-Feb-2026,6.5,Jewellery,LOW,NCD — SEBI License Required,October 2026,Nov Wk4 (Nov 22-30),INC rating hits HOT threshold on 2026-11-23 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Shreela Diamonds & Jewels Pvt. Ltd.,CRISIL,Term Loan,A 4,28-Apr-2026,6.0,Jewellery,LOW,Standard,October 2026,Oct Wk4 (Oct 22-31),INC rating hits MEDIUM threshold on 2026-10-25 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
V N M Jewel Crafts Ltd.,IND-RA,NCD/Bond,B-/A4,16-Jan-2026,5.0,Jewellery,LOW,NCD — SEBI License Required,October 2026,Oct Wk2 (Oct 8-14),INC rating hits HOT threshold on 2026-10-13 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds
Laxmi Dia Jewel Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,26-Feb-2026,3.0,Jewellery,LOW,Standard,October 2026,Nov Wk4 (Nov 22-30),INC rating hits HOT threshold on 2026-11-23 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Sterling Ornaments Pvt. Ltd.,CRISIL,Term Loan,B,26-Feb-2026,3.0,Jewellery,LOW,Standard,October 2026,Nov Wk4 (Nov 22-30),INC rating hits HOT threshold on 2026-11-23 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Prakash Whitegold Ginners Pvt. Ltd.,CARE,Term Loan,B-,30-Jan-2026,2.62,Jewellery,LOW,Standard,October 2026,Oct Wk4 (Oct 22-31),INC rating hits HOT threshold on 2026-10-27 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
O P S Jewells Pvt. Ltd.,CRISIL,Term Loan,B,26-Feb-2026,2.0,Jewellery,LOW,Standard,October 2026,Nov Wk4 (Nov 22-30),INC rating hits HOT threshold on 2026-11-23 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Gold Spin India Pvt. Ltd.,CARE,Term Loan,B-,23-Feb-2026,0.74,Jewellery,LOW,Standard,October 2026,Nov Wk3 (Nov 15-21),INC rating hits HOT threshold on 2026-11-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Golden-Prince Wines India Pvt. Ltd.,CARE,Term Loan,BB,09-Jan-2026,0.11,Jewellery,LOW,Standard,October 2026,Oct Wk1 (Oct 1-7),INC rating hits HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
