Company Name,Instrument Type,Current Rater,Rating,Rating Date,Urgency,Sector,State,INC,Why Target,ACER Pitch Angle
M. M. Industries,Short Term Facilities,Infomerics,IVR A4 (INC)(Reaffirmed),"January 27, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
NS Engineering Company Private Limited,Long Term Bank Facility,Infomerics,IVR B+ (INC)(Downgraded),"January 6, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
NS Engineering Company Private Limited,Short Term Bank Facilities,Infomerics,IVR A4 (INC)(Reaffirmed),"January 6, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Chadha Papers Limited,Long Term Bank Facilities,Infomerics,IVR BB (INC)(Downgraded),"March 3, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Chadha Papers Limited,Short Term Bank Facilities,Infomerics,IVR A4 (INC)(Downgraded),"March 3, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Shree Automotive Private Limited,Long Term Bank Facilities (including proposed facility of Rs. 12.77 crore),Infomerics,IVR BB (INC)(Downgraded),"December 13, 2024",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
MSR Iron and Steel Industries India Private Limited,Long Term Bank Facilities,Infomerics,IVR B+ (INC)(Downgraded),"January 27, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Shivalik Auto Engineering Private Limited,Long Term Bank Facilities,Infomerics,IVR BB- (INC)(Reaffirmed & Withdrawn),"October 19, 2023",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
East India Drums & Barrels Manufacturing Company (EIDBMC),Long Term Fund Based Facility - Term Loan,Infomerics,IVR BB (INC)(Reaffirmed & Withdrawn),"June 14, 2023",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
East India Drums & Barrels Manufacturing Company (EIDBMC),Long Term Fund Based Facility - Cash Credit,Infomerics,IVR BB (INC)(Reaffirmed & Withdrawn),"June 14, 2023",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
East India Drums & Barrels Manufacturing Company (EIDBMC),Short Term Non Fund Based Facility - Bank Guarantee,Infomerics,IVR A4 (INC)(Reaffirmed & Withdrawn),"June 14, 2023",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Balaji Industrial and Agricultural Castings Private Limited,Long Term Bank Facilities,Infomerics,IVR B (INC)(Downgraded),"April 11, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Balaji Industrial and Agricultural Castings Private Limited,Short Term Bank Facilities,Infomerics,IVR A4 (INC)(Reaffirmed),"April 11, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Balaji Industrial and Agricultural Castings Private Limited,Long Term/ Short Term Bank Facilities,Infomerics,IVR B/ IVR A4 (INC) (Downgraded/Reaffirmed),"April 11, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Gulzar Motors Private Limited,Long Term Bank Facilities,Infomerics,IVR BB (INC)(Downgraded),"May 16, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Gulzar Motors Private Limited,Short Term Bank Facilities,Infomerics,IVR A4 (INC)(Downgraded),"May 16, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
HQ Lamps Manufacturing Company Private Limited,Long Term Bank Facilities,Infomerics,IVR BB+ (INC)(Downgraded),"June 10, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
HQ Lamps Manufacturing Company Private Limited,Short Term Bank Facilities,Infomerics,IVR A4+ (INC)(Downgraded),"June 10, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Hariwansh Packaging Private Limited,Long Term Bank Facilities,Infomerics,IVR BB- (INC)(Reaffirmed & Withdrawn),"August 7, 2023",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
N.P. Agro (India) Industries Private Limited (NPAIIPL) (Erstwhile N.P. Agro (India) Industries Limited),Long Term Bank Facilities,Infomerics,IVR D (INC)(Reaffirmed and Withdrawn),"November 7, 2023",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
N.P. Agro (India) Industries Private Limited (NPAIIPL) (Erstwhile N.P. Agro (India) Industries Limited),Long Term/Short Term Bank Facilities,Infomerics,IVR D (INC)(Reaffirmed and Withdrawn),"November 7, 2023",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
D.K. Tissues & Papers Private Limited,Long Term Bank Facilities,Infomerics,IVR D (INC) (Reaffirmed),"February 18, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Roger Industries Limited,Long Term Bank Facilities,Infomerics,IVR BB (INC)(Downgraded),"June 6, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Roger Industries Limited,Short Term Bank Facilities,Infomerics,IVR A4 (INC)(Downgraded),"June 6, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Hira Automobiles Limited,Long Term Bank Facilities,Infomerics,IVR B+ (INC)(Downgraded),"March 17, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Jalna Siddhivinayak Alloys Private Limited,Long Term Bank Facilities,Infomerics,IVR BB (INC)(Downgraded),"April 7, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Jalna Siddhivinayak Alloys Private Limited,Short Term Bank Facilities,Infomerics,IVR A4 (INC)(Downgraded),"April 7, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Krishna Defence and Allied Industries Limited,Long Term Bank Facilities,Infomerics,IVR BB (INC)(Reaffirmed and Withdrawn),"February 29, 2024",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Krishna Defence and Allied Industries Limited,Short Term Bank Facilities,Infomerics,IVR A4 (INC)(Reaffirmed and Withdrawn),"February 29, 2024",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Krishna Defence and Allied Industries Limited,Proposed Long term Bank facilities,Infomerics,IVR BB (INC)(Reaffirmed and Withdrawn),"February 29, 2024",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Blizzard Ceramica LLP,Long Term Facilities,Infomerics,IVR D (INC)(Reaffirmed),"March 31, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Blizzard Ceramica LLP,Short Term Facilities,Infomerics,IVR D (INC)(Reaffirmed),"March 31, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Sree Rengaraj Ispat Industries Private Limited,Long Term Bank Facilities,Infomerics,IVR BB+ (INC)(Downgraded),"June 6, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Sree Rengaraj Ispat Industries Private Limited,Long Term Bank Facilities,Infomerics,IVR BB+ (INC)(Downgraded),"June 6, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Sree Rengaraj Ispat Industries Private Limited,Short Term Bank Facilities,Infomerics,IVR A4+ (INC)(Downgraded),"June 6, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Vijay Engineering & Machinery Company,Long Term Facilities,Infomerics,IVR BB+ (INC)(Downgraded),"April 1, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Vijay Engineering & Machinery Company,Long Term/ Short Term Facilities,Infomerics,IVR BB+/IVR A4+; (INC)(Downgraded),"April 1, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Vijay Engineering & Machinery Company,Short Term Facilities,Infomerics,IVR A4+ (INC)(Downgraded),"April 1, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Ray Engineering Private Limited,Long Term fund-based Bank Facilities,Infomerics,IVR BB (INC)(Downgraded),"April 7, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Ray Engineering Private Limited,Short Term Non-fund-based Bank Facilities,Infomerics,IVR A4 (INC)(Downgraded),"April 7, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Namo Alloys Private Limited,Long Term Bank Facilities,Infomerics,IVR BB (INC)(Downgraded),"March 18, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Swati Industries,Long Term Bank Facilities,Infomerics,IVR BB (INC) (Downgraded),"April 7, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Swati Industries,Short Term Bank Facilities,Infomerics,IVR A4 (INC)(Downgraded),"April 7, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Bharti Industries,Long Term Fund-based Bank Facilities - Term Loan,Infomerics,IVR BB- (INC)(Reaffirmed),"May 23, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Bharti Industries,Long Term Fund-based Bank Facilities - Cash Credit,Infomerics,IVR BB- (INC)(Reaffirmed),"May 23, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Bharti Industries,Proposed Term Loan,Infomerics,IVR BB- (INC)(Reaffirmed),"May 23, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Bharti Industries,Short Term Non- Fund- based Bank Facilities - Forward Contract,Infomerics,IVR A4 (INC)(Reaffirmed),"May 23, 2025",HIGH,Manufacturing,,Y,Infomerics INC — company not cooperating; high urgency for renewal,"INC with Infomerics — offer fresh rating, fast turnaround, analyst access. Banks require active rating for WC/term loans."
Nepzpack Industries Pvt. Ltd.,Term loans,CRISIL,B,13-06-2025,HIGH,Manufacturing,,Y,D365 INC company — not cooperating with CRISIL; high urgency for renewal,INC with CRISIL — ACER can restart rating process fast; active rating needed for bank facilities
Rine Engineering Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,13-06-2025,HIGH,Manufacturing,,Y,D365 INC company — not cooperating with CRISIL; high urgency for renewal,INC with CRISIL — ACER can restart rating process fast; active rating needed for bank facilities
Nava Nirman Fabrication Pvt. Ltd.,Bank Guarantee,CRISIL,D,13-06-2025,HIGH,Manufacturing,,Y,D365 INC company — not cooperating with CRISIL; high urgency for renewal,INC with CRISIL — ACER can restart rating process fast; active rating needed for bank facilities
Aradhya Wire & Ropes Pvt. Ltd.,Letter Of credit,BRICKWORK,D,13-06-2025,HIGH,Manufacturing,,Y,D365 INC company — not cooperating with BRICKWORK; high urgency for renewal,INC with BRICKWORK — ACER can restart rating process fast; active rating needed for bank facilities
Resonance Paper Mill Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,13-06-2025,HIGH,Manufacturing,,Y,D365 INC company — not cooperating with CRISIL; high urgency for renewal,INC with CRISIL — ACER can restart rating process fast; active rating needed for bank facilities
S D Auto Engg. Works Pvt. Ltd.,Term loans,CRISIL,B,13-06-2025,HIGH,Manufacturing,,Y,D365 INC company — not cooperating with CRISIL; high urgency for renewal,INC with CRISIL — ACER can restart rating process fast; active rating needed for bank facilities
Paramashiva Motors Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,B+,13-06-2025,HIGH,Manufacturing,,Y,D365 INC company — not cooperating with CRISIL; high urgency for renewal,INC with CRISIL — ACER can restart rating process fast; active rating needed for bank facilities
Partap Wires (India) Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,13-06-2025,HIGH,Manufacturing,,Y,D365 INC company — not cooperating with CRISIL; high urgency for renewal,INC with CRISIL — ACER can restart rating process fast; active rating needed for bank facilities
Sakthi Auto Ancillary Pvt. Ltd.,Term loans,BRICKWORK,C,13-06-2025,HIGH,Manufacturing,,Y,D365 INC company — not cooperating with BRICKWORK; high urgency for renewal,INC with BRICKWORK — ACER can restart rating process fast; active rating needed for bank facilities
Siddheshwari Paper Udyog Pvt. Ltd.,Letter Of credit,CRISIL,A 4,12-06-2025,HIGH,Manufacturing,,Y,D365 INC company — not cooperating with CRISIL; high urgency for renewal,INC with CRISIL — ACER can restart rating process fast; active rating needed for bank facilities
Positive Metering Pumps (India) Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,12-06-2025,HIGH,Manufacturing,,Y,D365 INC company — not cooperating with CRISIL; high urgency for renewal,INC with CRISIL — ACER can restart rating process fast; active rating needed for bank facilities
Skytouch Ceramic Pvt. Ltd.,Term loans,CRISIL,B,12-06-2025,HIGH,Manufacturing,,Y,D365 INC company — not cooperating with CRISIL; high urgency for renewal,INC with CRISIL — ACER can restart rating process fast; active rating needed for bank facilities
G K Plastics Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,12-06-2025,HIGH,Manufacturing,,Y,D365 INC company — not cooperating with CRISIL; high urgency for renewal,INC with CRISIL — ACER can restart rating process fast; active rating needed for bank facilities
Pharmachem Industries (Gujarat) Pvt. Ltd.,Long term Loans,ACUITE,B+,11-06-2025,HIGH,Manufacturing,,Y,D365 INC company — not cooperating with ACUITE; high urgency for renewal,INC with ACUITE — ACER can restart rating process fast; active rating needed for bank facilities
Shonan Engineering Works Pvt. Ltd.,Letter Of credit,CARE,A 4,11-06-2025,HIGH,Manufacturing,,Y,D365 INC company — not cooperating with CARE; high urgency for renewal,INC with CARE — ACER can restart rating process fast; active rating needed for bank facilities
Shree Nageshwar Papers Ltd.,Term loans,BRICKWORK,C,11-06-2025,HIGH,Manufacturing,,Y,D365 INC company — not cooperating with BRICKWORK; high urgency for renewal,INC with BRICKWORK — ACER can restart rating process fast; active rating needed for bank facilities
Revankar Motors Pvt. Ltd.,Term loans,BRICKWORK,C,10-06-2025,HIGH,Manufacturing,,Y,D365 INC company — not cooperating with BRICKWORK; high urgency for renewal,INC with BRICKWORK — ACER can restart rating process fast; active rating needed for bank facilities
Sangal Papers Ltd.,Letter Of credit,BRICKWORK,A 4,10-06-2025,HIGH,Manufacturing,,Y,D365 INC company — not cooperating with BRICKWORK; high urgency for renewal,INC with BRICKWORK — ACER can restart rating process fast; active rating needed for bank facilities
Debson Pumps Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,10-06-2025,HIGH,Manufacturing,,Y,D365 INC company — not cooperating with CRISIL; high urgency for renewal,INC with CRISIL — ACER can restart rating process fast; active rating needed for bank facilities
Patwari Electricals Pvt. Ltd.,Bank Guarantee,CARE,A 4,10-06-2025,HIGH,Manufacturing,,Y,D365 INC company — not cooperating with CARE; high urgency for renewal,INC with CARE — ACER can restart rating process fast; active rating needed for bank facilities
Digiana Industries Pvt. Ltd.,Term loans,BRICKWORK,B-,10-06-2025,HIGH,Manufacturing,,Y,D365 INC company — not cooperating with BRICKWORK; high urgency for renewal,INC with BRICKWORK — ACER can restart rating process fast; active rating needed for bank facilities
Suyash Kraft & Papers Pvt. Ltd.,Bank Guarantee,BRICKWORK,A 4,10-06-2025,HIGH,Manufacturing,,Y,D365 INC company — not cooperating with BRICKWORK; high urgency for renewal,INC with BRICKWORK — ACER can restart rating process fast; active rating needed for bank facilities
Rajyalakshmi Coated Wires Pvt. Ltd.,Letter Of credit,BRICKWORK,A 4,10-06-2025,HIGH,Manufacturing,,Y,D365 INC company — not cooperating with BRICKWORK; high urgency for renewal,INC with BRICKWORK — ACER can restart rating process fast; active rating needed for bank facilities
Divine Motors Pvt. Ltd.,Term loans,BRICKWORK,B+,09-06-2025,HIGH,Manufacturing,,Y,D365 INC company — not cooperating with BRICKWORK; high urgency for renewal,INC with BRICKWORK — ACER can restart rating process fast; active rating needed for bank facilities
Fex Foundry Alloys Pvt. Ltd.,Long term Loans,CRISIL,BB+,09-06-2025,HIGH,Manufacturing,,Y,D365 INC company — not cooperating with CRISIL; high urgency for renewal,INC with CRISIL — ACER can restart rating process fast; active rating needed for bank facilities
