Company Name,Current Rating Agency,Instrument Type,Rating,Rating Date,Days Since Rating,Urgency,INC,Amount (Cr),Sector,Why Target,ACER Pitch Angle
Modern Automotives Ltd.,Brickwork,Bank Guarantee,A 4,2025-05-07,403,HIGH,YES,0.75,Manufacturing,"Brickwork INC — mandate lapsed 403d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Elcom Innovations Pvt. Ltd.,Brickwork,Bank Guarantee,A 4,2025-05-07,403,HIGH,YES,3.00,Other/Diversified,"Brickwork INC — mandate lapsed 403d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
G H Crop Science Pvt. Ltd.,Brickwork,Letter Of credit,D,2025-05-07,403,HIGH,YES,43.00,Other/Diversified,"Brickwork INC — mandate lapsed 403d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Reddy Veeranna Constructions Pvt. Ltd.,Brickwork,Bank Guarantee,D,2025-05-07,403,HIGH,YES,24.54,Construction,"Brickwork INC — mandate lapsed 403d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Raghuleela Builders Pvt. Ltd.,Brickwork,Term loans,D,2025-05-07,403,HIGH,YES,833.00,Construction,"Brickwork INC — mandate lapsed 403d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Meru Automobiles Pvt. Ltd.,Brickwork,Fund based financial facility/instrument,C,2025-05-07,403,HIGH,YES,7.00,Manufacturing,"Brickwork INC — mandate lapsed 403d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Gajraj Mining Pvt. Ltd.,Brickwork,Bank Guarantee,A 4,2025-05-07,403,HIGH,YES,4.00,Other/Diversified,"Brickwork INC — mandate lapsed 403d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Vedic Realty Pvt. Ltd.,Brickwork,Term loans,D,2025-05-07,403,HIGH,YES,30.00,Construction,"Brickwork INC — mandate lapsed 403d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
North East Health City Pvt. Ltd.,Brickwork,Term loans,B-,2025-05-07,403,HIGH,YES,82.82,Healthcare,"Brickwork INC — mandate lapsed 403d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Shreegopal Gobind Agro Tech Pvt. Ltd.,Brickwork,Term loans,C,2025-05-07,403,HIGH,YES,9.99,Agro & Food,"Brickwork INC — mandate lapsed 403d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Lakra Industries Ltd.,Brickwork,Term loans,D,2025-05-08,402,HIGH,YES,1.40,Manufacturing,"Brickwork INC — mandate lapsed 402d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Kamat Yatriniwas Pvt. Ltd.,Brickwork,Bank Guarantee,D,2025-05-08,402,HIGH,YES,0.10,Other/Diversified,"Brickwork INC — mandate lapsed 402d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Supermax Personal Care Pvt. Ltd.,Brickwork,Bank Guarantee,D,2025-05-08,402,HIGH,YES,3.00,Other/Diversified,"Brickwork INC — mandate lapsed 402d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Metal Storage Systems Pvt. Ltd.,Brickwork,Bank Guarantee,A 4,2025-05-08,402,HIGH,YES,1.00,Steel & Metals,"Brickwork INC — mandate lapsed 402d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Shobha Woollens Pvt. Ltd.,Brickwork,Letter Of credit,A 4,2025-05-08,402,HIGH,YES,0.30,Other/Diversified,"Brickwork INC — mandate lapsed 402d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Global Powersource (India) Pvt. Ltd.,Brickwork,Bank Guarantee,D,2025-05-08,402,HIGH,YES,,Power & Energy,"Brickwork INC — mandate lapsed 402d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Aishwaryagiri Constructions Pvt. Ltd.,Brickwork,Bank Guarantee,A 4,2025-05-08,402,HIGH,YES,15.00,Construction,"Brickwork INC — mandate lapsed 402d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Risely Feeds Pvt. Ltd.,Brickwork,Bank Guarantee,A 4,2025-05-08,402,HIGH,YES,15.00,Other/Diversified,"Brickwork INC — mandate lapsed 402d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
R J S Steels Pvt. Ltd.,Brickwork,Letter Of credit,A 4,2025-05-08,402,HIGH,YES,5.00,Steel & Metals,"Brickwork INC — mandate lapsed 402d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Vaksh Steels Pvt. Ltd.,Brickwork,Bank Guarantee,D,2025-05-09,401,HIGH,YES,2.80,Steel & Metals,"Brickwork INC — mandate lapsed 401d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
K K K Cotspin Pvt. Ltd.,Brickwork,Letter Of credit,D,2025-05-09,401,HIGH,YES,2.15,Other/Diversified,"Brickwork INC — mandate lapsed 401d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Shakti Tex Coaters Pvt. Ltd.,Brickwork,Term loans,C,2025-05-09,401,HIGH,YES,4.76,Other/Diversified,"Brickwork INC — mandate lapsed 401d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Krishu Motor Craft Pvt. Ltd.,Brickwork,Term loans,C,2025-05-09,401,HIGH,YES,3.14,Other/Diversified,"Brickwork INC — mandate lapsed 401d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Habitech Infrastructure Ltd.,Brickwork,Term loans,C-,2025-05-09,401,HIGH,YES,10.00,Infrastructure,"Brickwork INC — mandate lapsed 401d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Sri Lakshmi Godavari Spinning Mills Pvt. Ltd.,Brickwork,Bank Guarantee,D,2025-05-09,401,HIGH,YES,0.18,Textiles,"Brickwork INC — mandate lapsed 401d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Proton Positive Healthcare India Pvt. Ltd.,Brickwork,Term loans,C-,2025-05-12,398,HIGH,YES,4.61,Healthcare,"Brickwork INC — mandate lapsed 398d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Golkonda Engineering Enterprises Ltd.,Brickwork,Bank Guarantee,A 4,2025-05-12,398,HIGH,YES,6.00,Manufacturing,"Brickwork INC — mandate lapsed 398d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Mumbai Metro One Pvt. Ltd.,Brickwork,Long term Loans,D,2025-05-12,398,HIGH,YES,,Infrastructure,"Brickwork INC — mandate lapsed 398d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Saraswati Component Motors Pvt. Ltd.,Brickwork,Term loans,C,2025-05-12,398,HIGH,YES,2.42,Other/Diversified,"Brickwork INC — mandate lapsed 398d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Varad Crop Science Pvt. Ltd.,Brickwork,Bank Guarantee,A 4,2025-05-12,398,HIGH,YES,0.25,Other/Diversified,"Brickwork INC — mandate lapsed 398d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
G B Chowdhury Holdings Pvt. Ltd.,Brickwork,Bank Guarantee,A 4,2025-05-12,398,HIGH,YES,25.00,Other/Diversified,"Brickwork INC — mandate lapsed 398d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Arihant Retail Pvt. Ltd.,Brickwork,Non-government debt,D,2025-05-13,397,HIGH,YES,9.50,Trading,"Brickwork INC — mandate lapsed 397d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Medico Remedies Ltd.,Brickwork,Letter Of credit,A 4,2025-05-13,397,HIGH,YES,3.00,Healthcare,"Brickwork INC — mandate lapsed 397d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Anil Buildcon (India) Pvt. Ltd.,Brickwork,Bank Guarantee,A 4,2025-05-13,397,HIGH,YES,28.00,Other/Diversified,"Brickwork INC — mandate lapsed 397d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Twinstar Industries Ltd.,Brickwork,Bank Guarantee,D,2025-05-13,397,HIGH,YES,10.00,Manufacturing,"Brickwork INC — mandate lapsed 397d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Twenty Four Secure Services Pvt. Ltd.,Brickwork,Bank Guarantee,A 4,2025-05-13,397,HIGH,YES,1.50,Other/Diversified,"Brickwork INC — mandate lapsed 397d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Siti Networks Ltd.,Brickwork,Term loans,D,2025-05-13,397,HIGH,YES,728.46,Other/Diversified,"Brickwork INC — mandate lapsed 397d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Steel Space Pvt. Ltd.,Brickwork,Fund based financial facility/instrument,B+,2025-05-13,397,HIGH,YES,4.49,Steel & Metals,"Brickwork INC — mandate lapsed 397d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Indo Alusys Inds. Ltd.,Brickwork,Bank Guarantee,D,2025-05-13,397,HIGH,YES,19.00,Other/Diversified,"Brickwork INC — mandate lapsed 397d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Radison Labs Pvt. Ltd.,Brickwork,Term loans,C,2025-05-13,397,HIGH,YES,12.50,Other/Diversified,"Brickwork INC — mandate lapsed 397d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Pan India Network Ltd.,Brickwork,Bank Guarantee,D,2025-05-13,397,HIGH,YES,144.00,Other/Diversified,"Brickwork INC — mandate lapsed 397d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
G H O Agro Pvt. Ltd.,Brickwork,Bank Guarantee,D,2025-05-13,397,HIGH,YES,0.60,Agro & Food,"Brickwork INC — mandate lapsed 397d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Oasys Cybernetics Pvt. Ltd.,Brickwork,Bank Guarantee,A 4,2025-05-13,397,HIGH,YES,88.99,Other/Diversified,"Brickwork INC — mandate lapsed 397d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Smart Cars Pvt. Ltd.,Brickwork,Fund based financial facility/instrument,C,2025-05-14,396,HIGH,YES,9.00,Other/Diversified,"Brickwork INC — mandate lapsed 396d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Jai Mata Bala Sundari Steels Pvt. Ltd.,Brickwork,Letter Of credit,A 4,2025-05-14,396,HIGH,YES,2.00,Steel & Metals,"Brickwork INC — mandate lapsed 396d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Lifeline Medical Devices Pvt. Ltd.,Brickwork,Term loans,C,2025-05-14,396,HIGH,YES,4.81,Healthcare,"Brickwork INC — mandate lapsed 396d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
R P Edible Oils Pvt. Ltd.,Brickwork,Letter Of credit,A 4,2025-05-14,396,HIGH,YES,48.90,Other/Diversified,"Brickwork INC — mandate lapsed 396d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
H K Ispat Pvt. Ltd.,Brickwork,Bank Guarantee,A 4,2025-05-14,396,HIGH,YES,1.00,Other/Diversified,"Brickwork INC — mandate lapsed 396d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Vigyashree Sharoda Infrastructure Ltd.,Brickwork,Bank Guarantee,A 4,2025-05-14,396,HIGH,YES,1.00,Infrastructure,"Brickwork INC — mandate lapsed 396d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Thrive Solar Energy Pvt. Ltd.,Brickwork,Bank Guarantee,D,2025-05-15,395,HIGH,YES,0.50,Power & Energy,"Brickwork INC — mandate lapsed 395d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Emperor Foodex Ltd.,Brickwork,Letter Of credit,A 4,2025-05-15,395,HIGH,YES,2.00,Agro & Food,"Brickwork INC — mandate lapsed 395d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Patel Hospital Pvt. Ltd.,Brickwork,Fund based financial facility/instrument,BB-,2025-05-15,395,HIGH,YES,1.45,Healthcare,"Brickwork INC — mandate lapsed 395d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Noida Software Technology Park Ltd.,Brickwork,Bank Guarantee,D,2025-05-15,395,HIGH,YES,11.75,Other/Diversified,"Brickwork INC — mandate lapsed 395d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Perfect Alloys & Steel Ltd.,Brickwork,Term loans,C-,2025-05-15,395,HIGH,YES,5.25,Steel & Metals,"Brickwork INC — mandate lapsed 395d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Pibco Enterprises Pvt. Ltd.,Brickwork,Term loans,C,2025-05-15,395,HIGH,YES,0.76,Other/Diversified,"Brickwork INC — mandate lapsed 395d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Prabha Infrastructure Pvt. Ltd.,Brickwork,Bank Guarantee,A 4,2025-05-15,395,HIGH,YES,25.00,Infrastructure,"Brickwork INC — mandate lapsed 395d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Indrajit Power Pvt. Ltd.,Brickwork,Bank Guarantee,D,2025-05-15,395,HIGH,YES,40.15,Power & Energy,"Brickwork INC — mandate lapsed 395d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Chhabeela Energy Foods Pvt. Ltd.,Brickwork,Letter Of credit,A 4,2025-05-15,395,HIGH,YES,1.30,Agro & Food,"Brickwork INC — mandate lapsed 395d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Abil Chempharma Pvt. Ltd.,Brickwork,Letter Of credit,A 4,2025-05-16,394,HIGH,YES,13.00,Healthcare,"Brickwork INC — mandate lapsed 394d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Baba Naga Agro Pvt. Ltd.,Brickwork,Letter Of credit,A 4,2025-05-16,394,HIGH,YES,,Agro & Food,"Brickwork INC — mandate lapsed 394d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Aswani Industries Pvt. Ltd.,Brickwork,Term loans,C,2025-05-16,394,HIGH,YES,9.34,Manufacturing,"Brickwork INC — mandate lapsed 394d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Agro Phos (India) Ltd.,Brickwork,Letter Of credit,A 4,2025-05-16,394,HIGH,YES,,Agro & Food,"Brickwork INC — mandate lapsed 394d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Vision Sponge Iron Pvt. Ltd.,Brickwork,Bank Guarantee,A 3,2025-05-16,394,HIGH,YES,2.50,Steel & Metals,"Brickwork INC — mandate lapsed 394d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Assam Roofing Ltd.,Brickwork,Bank Guarantee,A 4,2025-05-16,394,HIGH,YES,5.00,Other/Diversified,"Brickwork INC — mandate lapsed 394d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Shree Lingraj Feeds Ltd.,Brickwork,Term loans,C,2025-05-16,394,HIGH,YES,0.80,Other/Diversified,"Brickwork INC — mandate lapsed 394d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
B P Alloys Ltd.,Brickwork,Letter Of credit,A 4,2025-05-16,394,HIGH,YES,7.00,Steel & Metals,"Brickwork INC — mandate lapsed 394d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Tecknoweld Alloys (India) Pvt. Ltd.,Brickwork,Fund based financial facility/instrument,D,2025-05-16,394,HIGH,YES,6.02,Steel & Metals,"Brickwork INC — mandate lapsed 394d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Supertech Ltd.,Brickwork,Term loans,D,2025-05-16,394,HIGH,YES,1866.44,Other/Diversified,"Brickwork INC — mandate lapsed 394d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Lords Chloro Alkali Ltd.,Brickwork,Letter Of credit,A 4,2025-05-16,394,HIGH,YES,,Other/Diversified,"Brickwork INC — mandate lapsed 394d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Marathon India Ltd.,Brickwork,Bank Guarantee,A 4,2025-05-16,394,HIGH,YES,9.00,Other/Diversified,"Brickwork INC — mandate lapsed 394d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Mytrah Advaith Power Pvt. Ltd.,Brickwork,Term loans,BB,2025-05-16,394,HIGH,YES,99.13,Power & Energy,"Brickwork INC — mandate lapsed 394d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Yash Proteins Pvt. Ltd.,Brickwork,Term loans,C,2025-05-16,394,HIGH,YES,1.03,Other/Diversified,"Brickwork INC — mandate lapsed 394d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Prem Conductors Pvt. Ltd.,Brickwork,Bank Guarantee,A 4,2025-05-16,394,HIGH,YES,20.00,Other/Diversified,"Brickwork INC — mandate lapsed 394d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Indigo Denim Pvt. Ltd.,Brickwork,Bank Guarantee,D,2025-05-19,391,HIGH,YES,10.00,Other/Diversified,"Brickwork INC — mandate lapsed 391d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Ganadhi Pati Construction Pvt. Ltd.,Brickwork,Bank Guarantee,BB-,2025-05-19,391,HIGH,YES,31.75,Construction,"Brickwork INC — mandate lapsed 391d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Vesta Equipment Pvt. Ltd.,Brickwork,Term loans,D,2025-05-19,391,HIGH,YES,3.25,Other/Diversified,"Brickwork INC — mandate lapsed 391d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Dwarakamai Constructions Pvt. Ltd.,Brickwork,Bank Guarantee,A 4,2025-05-19,391,HIGH,YES,20.00,Construction,"Brickwork INC — mandate lapsed 391d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Yadav Solvex Pvt. Ltd.,Brickwork,Term loans,C,2025-05-19,391,HIGH,YES,2.61,Other/Diversified,"Brickwork INC — mandate lapsed 391d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Akshar Ispat Ltd.,Brickwork,Bank Guarantee,A 4,2025-05-19,391,HIGH,YES,1.00,Other/Diversified,"Brickwork INC — mandate lapsed 391d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Shree Vasu Steels Pvt. Ltd.,Brickwork,Letter Of credit,A 4,2025-05-19,391,HIGH,YES,2.00,Steel & Metals,"Brickwork INC — mandate lapsed 391d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Automark Inds. (India) Pvt. Ltd.,Brickwork,Bank Guarantee,A 4,2025-05-19,391,HIGH,YES,4.00,Manufacturing,"Brickwork INC — mandate lapsed 391d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
Everest Starch (India) Pvt. Ltd.,Brickwork,Term loans,C,2025-05-19,391,HIGH,YES,26.42,Other/Diversified,"Brickwork INC — mandate lapsed 391d ago. Direct competitor, low switching friction.","ACER is like Brickwork but faster — SME-focused, accessible analysts, quick onboarding. Switch now and restore WC credit limits."
