Company Name,Agency,Instrument Type,Rating,Rating Date,Amount_Cr,Quarter,Escalation_Month,Call_Window,Tier,NCD_Flag
Apurvakriti Infrastructure Pvt. Ltd.,CARE,Bank Guarantee,A 4,09-Apr-2026,15.0,October 2026,Oct–Nov 2026,Oct Wk1 (Oct 1-7),TIER 2 — Dual-agency (2 raters),Standard
Arora Construction Co. Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,06-Oct-2025,10.0,October 2026,Oct–Nov 2026,Oct Wk1 (Oct 1-7),TIER 2 — Dual-agency (2 raters),Standard
Apurvakriti Infrastructure Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,09-Apr-2026,5.0,October 2026,Oct–Nov 2026,Oct Wk1 (Oct 1-7),TIER 2 — Dual-agency (2 raters),Standard
Apurvakriti Infrastructure Pvt. Ltd.,CARE,Bank Guarantee,A 4,09-Apr-2026,5.0,October 2026,Oct–Nov 2026,Oct Wk1 (Oct 1-7),TIER 2 — Dual-agency (2 raters),Standard
Archon Powerinfra India Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,09-Apr-2026,2.0,October 2026,Oct–Nov 2026,Oct Wk1 (Oct 1-7),TIER 2 — Dual-agency (2 raters),Standard
Alok Buildtech Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,09-Oct-2025,15.0,October 2026,Oct–Nov 2026,Oct Wk2 (Oct 8-14),TIER 2 — Dual-agency (2 raters),Standard
A P R Constructions Ltd.,IND-RA,NCD/Bond,B/A4,16-Jan-2026,150.0,October 2026,Oct–Nov 2026,Oct Wk2 (Oct 8-14),TIER 2 — Dual-agency (2 raters),NCD — SEBI License Required
T S Realtech Pvt. Ltd.,IND-RA,Term Loan,B-,16-Jan-2026,10.0,October 2026,Oct–Nov 2026,Oct Wk2 (Oct 8-14),TIER 2 — Dual-agency (2 raters),Standard
Baddi Infrastructure,IND-RA,Term Loan,B-,16-Jan-2026,5.2,October 2026,Oct–Nov 2026,Oct Wk2 (Oct 8-14),TIER 2 — Dual-agency (2 raters),Standard
Ashok Kumar Chhabra Constructions Pvt. Ltd.,IND-RA,Non-Fund-Based,A 4,17-Oct-2025,5.0,October 2026,Oct–Nov 2026,Oct Wk3 (Oct 15-21),TIER 2 — Dual-agency (2 raters),Standard
Rockdrill Projects Pvt. Ltd.,CARE,Bank Guarantee,A 4,22-Apr-2026,32.0,October 2026,Oct–Nov 2026,Oct Wk3 (Oct 15-21),TIER 2 — Dual-agency (2 raters),Standard
Envirad Projects Pvt. Ltd.,CARE,NCD/Bond,B+/A4,23-Apr-2026,30.1,October 2026,Oct–Nov 2026,Oct Wk3 (Oct 15-21),TIER 2 — Dual-agency (2 raters),NCD — SEBI License Required
Claystone Granito Pvt. Ltd.,CRISIL,Term Loan,B,23-Apr-2026,21.1,October 2026,Oct–Nov 2026,Oct Wk3 (Oct 15-21),TIER 2 — Dual-agency (2 raters),Standard
Arora Construction Co. Pvt. Ltd.,BRICKWORK,Bank Guarantee,C,23-Jan-2026,13.5,October 2026,Oct–Nov 2026,Oct Wk3 (Oct 15-21),TIER 2 — Dual-agency (2 raters),Standard
Claystone Granito Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,23-Apr-2026,4.9,October 2026,Oct–Nov 2026,Oct Wk3 (Oct 15-21),TIER 2 — Dual-agency (2 raters),Standard
Envirad Projects Pvt. Ltd.,CARE,NCD/Bond,B+/A4,23-Apr-2026,4.9,October 2026,Oct–Nov 2026,Oct Wk3 (Oct 15-21),TIER 2 — Dual-agency (2 raters),NCD — SEBI License Required
Himalayan Road Construction Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,27-Jan-2026,12.0,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 2 — Dual-agency (2 raters),Standard
Prime Civil Infrastructures Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,27-Oct-2025,15.0,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 2 — Dual-agency (2 raters),Standard
Prime Civil Infrastructures Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,27-Oct-2025,10.0,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 2 — Dual-agency (2 raters),Standard
Merlon Infra Projects Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,30-Jan-2026,5.0,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 2 — Dual-agency (2 raters),Standard
Dipanshu Promoter & Builder Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,29-Oct-2025,22.5,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 2 — Dual-agency (2 raters),NCD — SEBI License Required
Himalayan Road Construction Pvt. Ltd.,CARE,Bank Guarantee,A 4,04-Feb-2026,6.0,October 2026,Oct–Nov 2026,Nov Wk1 (Nov 1-7),TIER 2 — Dual-agency (2 raters),Standard
Rockdrill Projects Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,05-Feb-2026,10.0,October 2026,Oct–Nov 2026,Nov Wk1 (Nov 1-7),TIER 2 — Dual-agency (2 raters),Standard
Envirad Projects Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,10-Nov-2025,44.0,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 2 — Dual-agency (2 raters),Standard
Claystone Granito Pvt. Ltd.,ICRA,Term Loan,B+,13-Feb-2026,33.0,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 2 — Dual-agency (2 raters),Standard
Claystone Granito Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,13-Feb-2026,4.4,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 2 — Dual-agency (2 raters),Standard
Prime Civil Infrastructures Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,12-Nov-2025,25.0,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 2 — Dual-agency (2 raters),Standard
Merlon Infra Projects Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,12-Nov-2025,5.0,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 2 — Dual-agency (2 raters),Standard
A P R Constructions Ltd.,ICRA,Non-Fund-Based,A 4,17-Feb-2026,111.0,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 2 — Dual-agency (2 raters),Standard
Manohar Infrastructure & Constructions Pvt. Ltd.,BRICKWORK,Term Loan,B,17-Feb-2026,87.04,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 2 — Dual-agency (2 raters),Standard
Dipanshu Promoter & Builder Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,17-Feb-2026,37.5,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 2 — Dual-agency (2 raters),Standard
Manohar Infrastructure & Constructions Pvt. Ltd.,BRICKWORK,Fund-Based,B,17-Feb-2026,2.96,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 2 — Dual-agency (2 raters),Standard
Baddi Infrastructure,CRISIL,Term Loan,B,18-Nov-2025,6.0,October 2026,Oct–Nov 2026,Nov Wk3 (Nov 15-21),TIER 2 — Dual-agency (2 raters),Standard
Ashok Kumar Chhabra Constructions Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,19-Nov-2025,5.0,October 2026,Oct–Nov 2026,Nov Wk3 (Nov 15-21),TIER 2 — Dual-agency (2 raters),Standard
Ashok Kumar Chhabra Constructions Pvt. Ltd.,CRISIL,Term Loan,A 4,19-Nov-2025,4.5,October 2026,Oct–Nov 2026,Nov Wk3 (Nov 15-21),TIER 2 — Dual-agency (2 raters),Standard
T S Realtech Pvt. Ltd.,CRISIL,Term Loan,B,25-Nov-2025,10.42,October 2026,Oct–Nov 2026,Nov Wk4 (Nov 22-30),TIER 2 — Dual-agency (2 raters),Standard
T S Realtech Pvt. Ltd.,CRISIL,Term Loan,B,25-Nov-2025,9.0,October 2026,Oct–Nov 2026,Nov Wk4 (Nov 22-30),TIER 2 — Dual-agency (2 raters),Standard
T S Realtech Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,25-Nov-2025,2.58,October 2026,Oct–Nov 2026,Nov Wk4 (Nov 22-30),TIER 2 — Dual-agency (2 raters),Standard
Manohar Infrastructure & Constructions Pvt. Ltd.,CARE,Term Loan,B-,02-Mar-2026,90.0,October 2026,Oct–Nov 2026,Nov Wk4 (Nov 22-30),TIER 2 — Dual-agency (2 raters),Standard
Mapsko Builders Pvt. Ltd.,BRICKWORK,Term Loan,BB-,05-Mar-2026,75.3,October 2026,Oct–Nov 2026,Nov Wk4 (Nov 22-30),TIER 2 — Dual-agency (2 raters),Standard
Mapsko Builders Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,05-Mar-2026,16.73,October 2026,Oct–Nov 2026,Nov Wk4 (Nov 22-30),TIER 2 — Dual-agency (2 raters),Standard
A R L Infratech Ltd.,CARE,NCD/Bond,A/A1,01-Oct-2025,110.0,October 2026,Oct–Nov 2026,Oct Wk1 (Oct 1-7),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),NCD — SEBI License Required
A R L Infratech Ltd.,CARE,Term Loan,A,01-Oct-2025,57.8,October 2026,Oct–Nov 2026,Oct Wk1 (Oct 1-7),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
Standard Infratech India Pvt. Ltd.,IND-RA,NCD/Bond,BB+/A4+,06-Oct-2025,163.05,October 2026,Oct–Nov 2026,Oct Wk1 (Oct 1-7),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),NCD — SEBI License Required
P V R Projects Ltd.,ICRA,Bank Guarantee,A 4,08-Oct-2025,100.0,October 2026,Oct–Nov 2026,Oct Wk2 (Oct 8-14),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
P V R Projects Ltd.,ICRA,Term Loan,B,08-Oct-2025,73.0,October 2026,Oct–Nov 2026,Oct Wk2 (Oct 8-14),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
Apus Realties Private Limited,Infomerics,Long Term Bank Facilities,IVR BB (INC)(Downgraded),08-Oct-2025,72.24,October 2026,Oct–Nov 2026,Oct Wk2 (Oct 8-14),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
S G G D Projects Devp. Pvt. Ltd.,BRICKWORK,NCD/Bond,PP-MLD D,09-Oct-2025,127.5,October 2026,Oct–Nov 2026,Oct Wk2 (Oct 8-14),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),NCD — SEBI License Required
Prathima Infrastructure Ltd.,ACUITE,Bank Guarantee,A 4+,10-Oct-2025,280.0,October 2026,Oct–Nov 2026,Oct Wk2 (Oct 8-14),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
Raghava Constructions India Private Limited,Infomerics,Long Term / Short Term Bank Facilities,IVR B/ IVR A4; (INC) (Downgraded/ Reaffirmed),16-Oct-2025,584.0,October 2026,Oct–Nov 2026,Oct Wk3 (Oct 15-21),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
Raghava Constructions India Private Limited,Infomerics,Long Term / Short Term Bank Facilities,IVR B/ IVR A4; (INC) (Downgraded/ Reaffirmed),16-Oct-2025,584.0,October 2026,Oct–Nov 2026,Oct Wk3 (Oct 15-21),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
Renuka Realtors,Infomerics,Long Term Bank Facilities (Proposed),IVR C+ (INC)(Downgraded),16-Oct-2025,250.0,October 2026,Oct–Nov 2026,Oct Wk3 (Oct 15-21),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
K K B Projects Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,16-Oct-2025,106.0,October 2026,Oct–Nov 2026,Oct Wk3 (Oct 15-21),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
Raghava Constructions India Private Limited,Infomerics,Long Term Bank Facilities,IVR B (INC) (Downgraded),16-Oct-2025,100.0,October 2026,Oct–Nov 2026,Oct Wk3 (Oct 15-21),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
Raghava Constructions India Private Limited,Infomerics,Long Term Bank Facilities,IVR B (INC) (Downgraded),16-Oct-2025,100.0,October 2026,Oct–Nov 2026,Oct Wk3 (Oct 15-21),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
Raghava Constructions India Private Limited,Infomerics,Short Term Bank Facilities,IVR A4 (INC) (Reaffirmed),16-Oct-2025,66.0,October 2026,Oct–Nov 2026,Oct Wk3 (Oct 15-21),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
Raghava Constructions India Private Limited,Infomerics,Short Term Bank Facilities,IVR A4 (INC) (Reaffirmed),16-Oct-2025,66.0,October 2026,Oct–Nov 2026,Oct Wk3 (Oct 15-21),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
Hella Infra Market Ltd.,IND-RA,Term Loan,BB+,16-Oct-2025,50.0,October 2026,Oct–Nov 2026,Oct Wk3 (Oct 15-21),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
Kaleshwaram Irrigation Project Corpn. Ltd.,ACUITE,Term Loan,B+,17-Oct-2025,18751.38,October 2026,Oct–Nov 2026,Oct Wk3 (Oct 15-21),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
Aparna Infrahousing Pvt. Ltd.,CRISIL,Term Loan,BB+,17-Oct-2025,600.0,October 2026,Oct–Nov 2026,Oct Wk3 (Oct 15-21),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
Corporate Leisure & Property Devp. Pvt. Ltd.,CRISIL,Term Loan,B,17-Oct-2025,125.0,October 2026,Oct–Nov 2026,Oct Wk3 (Oct 15-21),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
Aparna Constructions & Estates Pvt. Ltd.,CRISIL,Term Loan,BB+,17-Oct-2025,120.0,October 2026,Oct–Nov 2026,Oct Wk3 (Oct 15-21),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
Corporate Leisure & Property Devp. Pvt. Ltd.,CRISIL,Term Loan,B,17-Oct-2025,90.0,October 2026,Oct–Nov 2026,Oct Wk3 (Oct 15-21),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
Precision Infratech Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,20-Oct-2025,60.0,October 2026,Oct–Nov 2026,Oct Wk3 (Oct 15-21),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
Eden Realty Ventures Private Limited,Infomerics,Long Term Bank Facility (Proposed),IVR BBB- (INC)(Downgraded),23-Oct-2025,75.0,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
Standard Infratech India Pvt. Ltd.,IND-RA,NCD/Bond,BB/A4+,27-Oct-2025,163.05,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),NCD — SEBI License Required
S R C Projects Pvt. Ltd.,ICRA,Non-Fund-Based,A 4+,27-Oct-2025,85.0,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
MEP Longjian Loha Waranga Road Private Limited,Infomerics,Long Term Bank Facilities - Proposed,IVR C- (INC)(Downgraded),29-Oct-2025,515.09,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
Sri Raja Rajeswari Constructions (India) Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,29-Oct-2025,197.0,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
Sri Raja Rajeswari Constructions (India) Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,29-Oct-2025,95.0,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
MEP Longjian Loha Waranga Road Private Limited,Infomerics,Long Term Bank Facilities,IVR C- (INC)(Downgraded),29-Oct-2025,73.66,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
Pace Digitek Infra Pvt. Ltd.,ACUITE,Bank Guarantee,A 4+,30-Oct-2025,1163.0,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
C D S Infra Projects Ltd.,BRICKWORK,Bank Guarantee,A 4,30-Oct-2025,725.0,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
C S Construction Co. Pvt. Ltd.,CRISIL,Bank Guarantee,BB+,30-Oct-2025,532.0,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
C S Construction Co. Pvt. Ltd.,CRISIL,Non-Fund-Based,BB+,30-Oct-2025,446.0,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
Pace Digitek Infra Pvt. Ltd.,ACUITE,Letter of Credit,A 4+,30-Oct-2025,128.0,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
V D B Projects Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,30-Oct-2025,104.0,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
Sivanssh Infrastructure Development Private Limited,Infomerics,Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed),30-Oct-2025,97.75,October 2026,Oct–Nov 2026,Oct Wk4 (Oct 22-31),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
KLSR Infratech Limited,Infomerics,Proposed Short Term Non-Fund Based Facility - Bank Guarantee,IVR A4 (INC)(Downgraded),03-Nov-2025,192.0,October 2026,Oct–Nov 2026,Nov Wk1 (Nov 1-7),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
KLSR Infratech Limited,Infomerics,Short Term Non-Fund Based Facility - Bank Guarantee,IVR A4 (INC)(Downgraded),03-Nov-2025,153.0,October 2026,Oct–Nov 2026,Nov Wk1 (Nov 1-7),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
Corporate Leisure & Property Devp. Pvt. Ltd.,CRISIL,Term Loan,B,04-Nov-2025,125.0,October 2026,Oct–Nov 2026,Nov Wk1 (Nov 1-7),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
Corporate Leisure & Property Devp. Pvt. Ltd.,CRISIL,Term Loan,B,04-Nov-2025,90.0,October 2026,Oct–Nov 2026,Nov Wk1 (Nov 1-7),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
M P Entertainment & Developers Pvt. Ltd.,IND-RA,Term Loan,B-,05-Nov-2025,100.0,October 2026,Oct–Nov 2026,Nov Wk1 (Nov 1-7),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
Perfect Infracorp Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,05-Nov-2025,83.0,October 2026,Oct–Nov 2026,Nov Wk1 (Nov 1-7),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
Saamy Developers Private Limited,Infomerics,Long Term Bank Facilities,IVR BB- (INC)(Downgraded),06-Nov-2025,70.0,October 2026,Oct–Nov 2026,Nov Wk1 (Nov 1-7),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
R S A Infraproject Pvt. Ltd.,CARE,NCD/Bond,BB+/A4+,07-Nov-2025,175.0,October 2026,Oct–Nov 2026,Nov Wk1 (Nov 1-7),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),NCD — SEBI License Required
S R S C Infra Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,11-Nov-2025,123.0,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
Tribeni Constructions Ltd.,ICRA,NCD/Bond,A-/A2+,13-Nov-2025,304.0,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),NCD — SEBI License Required
Win Power Infra Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,13-Nov-2025,80.5,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
Shweta Infrastructure & Housing (India) Pvt. Ltd.,CRISIL,Term Loan,B+,13-Nov-2025,65.62,October 2026,Oct–Nov 2026,Nov Wk2 (Nov 8-14),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
Pace Digitek Infra Pvt. Ltd.,ACUITE,Bank Guarantee,A 4+,19-Nov-2025,1163.0,October 2026,Oct–Nov 2026,Nov Wk3 (Nov 15-21),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
M E P Sanjose Talaja Mahuva Road Pvt. Ltd.,ACUITE,Term Loan,B-,19-Nov-2025,289.37,October 2026,Oct–Nov 2026,Nov Wk3 (Nov 15-21),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
Pace Digitek Infra Pvt. Ltd.,ACUITE,Letter of Credit,A 4+,19-Nov-2025,128.0,October 2026,Oct–Nov 2026,Nov Wk3 (Nov 15-21),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
Chevrox Constructions Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,19-Nov-2025,117.0,October 2026,Oct–Nov 2026,Nov Wk3 (Nov 15-21),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
M E P Sanjose Mahuva Kagavadar Road Pvt. Ltd.,ACUITE,Term Loan,B-,20-Nov-2025,272.11,October 2026,Oct–Nov 2026,Nov Wk3 (Nov 15-21),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
Shri Santhosh Meenakshi Textiles Pvt. Ltd.,CRISIL,Term Loan,B,20-Nov-2025,89.36,October 2026,Oct–Nov 2026,Nov Wk3 (Nov 15-21),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
R E Infra Private Limited,Infomerics,Short Term Facilities,IVR A4 (INC)(Downgraded),20-Nov-2025,54.0,October 2026,Oct–Nov 2026,Nov Wk3 (Nov 15-21),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
Mayar Infrastructure Devp. Pvt. Ltd.,CRISIL,Term Loan,B-,24-Nov-2025,115.68,October 2026,Oct–Nov 2026,Nov Wk4 (Nov 22-30),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
N K Power & Infrastructure Pvt. Ltd.,CRISIL,Non-Fund-Based,A 4+,24-Nov-2025,71.0,October 2026,Oct–Nov 2026,Nov Wk4 (Nov 22-30),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
Sriavantika Contractors Highways (Anuskura) Pvt. Ltd.,IND-RA,Term Loan,B+,24-Nov-2025,61.6,October 2026,Oct–Nov 2026,Nov Wk4 (Nov 22-30),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
T P S Infrastructure Ltd.,BRICKWORK,Bank Guarantee,A 4,26-Nov-2025,75.5,October 2026,Oct–Nov 2026,Nov Wk4 (Nov 22-30),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
Jayantisuper Construction Pvt. Ltd.,BRICKWORK,Non-Fund-Based,A 4,27-Nov-2025,240.5,October 2026,Oct–Nov 2026,Nov Wk4 (Nov 22-30),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
R P P Infra Projects Ltd.,BRICKWORK,Fund-Based,BB-,27-Nov-2025,56.07,October 2026,Oct–Nov 2026,Nov Wk4 (Nov 22-30),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
SRC Company Infra Private Limited,Infomerics,Short Term Facilities,IVR A4+ (INC) (Downgraded),28-Nov-2025,170.0,October 2026,Oct–Nov 2026,Nov Wk4 (Nov 22-30),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
Puri Construction Pvt. Ltd.,ICRA,Bank Guarantee,A 4+,28-Nov-2025,125.0,October 2026,Oct–Nov 2026,Nov Wk4 (Nov 22-30),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
ECR Buildtech Private Limited,Infomerics,Long Term Bank Facilities,IVR BBB- (INC) (Downgraded),28-Nov-2025,58.0,October 2026,Oct–Nov 2026,Nov Wk4 (Nov 22-30),TIER 3 — ULTRA HOT High-ticket (>=Rs50 Cr),Standard
