Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Q1_Month,Escalation_Date,Amt_num,Sector,NCD_Flag,Source,Why Target,ACER Pitch Angle
Kwality Pharmaceuticals Ltd.,ICRA,NCD/Bond,B+/A4,2025-12-05,HOT,Dec 2026,2026-12-05,9.92,Chemicals/Pharma,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Uni-Tech Automation Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,2025-12-22,HOT,Dec 2026,2026-12-22,9.0,Manufacturing,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Flyjac Logistics Pvt. Ltd.,ICRA,NCD/Bond,A 1+,2025-12-11,HOT,Dec 2026,2026-12-11,8.5,Logistics,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Samkit Diamond Export Pvt. Ltd.,ICRA,NCD/Bond,B/A4,2025-12-17,HOT,Dec 2026,2026-12-17,8.0,Jewellery,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Metco Roof Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,2025-12-24,HOT,Dec 2026,2026-12-24,7.72,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Millenium Exim Pvt. Ltd.,ICRA,NCD/Bond,B/A4,2025-12-08,HOT,Dec 2026,2026-12-08,6.21,Agro/Food,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Siddarth Organisation Ltd.,ICRA,NCD/Bond,C/A4,2026-03-09,LOW/MEDIUM,Mar 2027,2027-03-09,5.8,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2027-03-09 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Satyadeeptha Pharmaceuticals Ltd.,ICRA,NCD/Bond,BB+/A4+,2025-12-17,HOT,Dec 2026,2026-12-17,5.63,Chemicals/Pharma,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
C D R Projects Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,2025-12-24,HOT,Dec 2026,2026-12-24,5.04,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Machino Plastics Ltd.,ICRA,NCD/Bond,BB+/A4+,2026-03-11,LOW/MEDIUM,Mar 2027,2027-03-11,5.0,Chemicals/Pharma,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2027-03-11 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Manishri Refractories & Ceramics Pvt. Ltd.,ICRA,NCD/Bond,B/A4,2026-03-24,LOW/MEDIUM,Mar 2027,2027-03-24,3.73,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2027-03-24 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Memon Health Care Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,2025-12-22,HOT,Dec 2026,2026-12-22,3.33,Healthcare,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Yash Exports (India) Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,2025-12-23,HOT,Dec 2026,2026-12-23,2.42,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Winner Nippon Leatherette Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,2025-12-24,HOT,Dec 2026,2026-12-24,2.05,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Champion Commercial Co. Ltd.,ICRA,NCD/Bond,B+/A4,2025-12-05,HOT,Dec 2026,2026-12-05,1.5,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Flyjac Logistics Pvt. Ltd.,ICRA,NCD/Bond,A+/A1+,2025-12-11,HOT,Dec 2026,2026-12-11,1.5,Logistics,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Samkit Diamond Export Pvt. Ltd.,ICRA,NCD/Bond,B/A4,2025-12-17,HOT,Dec 2026,2026-12-17,1.02,Jewellery,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Tirumala Seven Hills Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,2025-12-17,HOT,Dec 2026,2026-12-17,1.0,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Sivaani Agribusiness Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,2025-12-11,HOT,Dec 2026,2026-12-11,0.92,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Machino Plastics Ltd.,ICRA,NCD/Bond,BB+/A4+,2026-03-11,LOW/MEDIUM,Mar 2027,2027-03-11,0.8,Chemicals/Pharma,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2027-03-11 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Antique Cottex Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,2025-12-30,LOW/MEDIUM,Dec 2026,2026-12-30,0.66,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-30 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
V V C Motors Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,2025-12-19,HOT,Dec 2026,2026-12-19,0.25,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Pearson Drums & Barrels Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,2025-12-08,HOT,Dec 2026,2026-12-08,0.04,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Samkit Diamond Export Pvt. Ltd.,ICRA,NCD/Bond,B/A4,2025-12-17,HOT,Dec 2026,2026-12-17,0.0,Jewellery,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
