Company Name,Total_Cr,Agency,Agency_Count,Tier,Priority_Score,Q1_Month,Sector,NCD_Any
Khalghat Sendhwa Tollways Pvt. Ltd.,416.5,BRICKWORK,1,Tier 6 — Medium/Low,2,Mar 2027,Other,No
Shri S M Autade Pvt. Ltd.,416.5,CRISIL,1,Tier 6 — Medium/Low,2,Mar 2027,Other,No
Prompt Enterprises Pvt. Ltd.,413.0,BRICKWORK,1,Tier 6 — Medium/Low,2,Mar 2027,Other,No
Assam Electronics Development Corporation Limited,400.0,Infomerics,1,Tier 6 — Medium/Low,4,Jan 2027,Other,No
Vijai Electricals Ltd.,399.1,IND-RA,1,Tier 5 — HOT,6,Dec 2026,Energy,No
Shree Naman Hotels Pvt. Ltd.,395.0,BRICKWORK,1,Tier 5 — HOT,6,Dec 2026,Hotels/Tourism,No
Aequs Sez Pvt. Ltd.,380.0,CRISIL,1,Tier 5 — HOT,6,Dec 2026,Other,No
Globus Warehousing & Trdg. Pvt. Ltd.,371.0,BRICKWORK,1,Tier 6 — Medium/Low,4,Jan 2027,Construction,No
Atlas Constructions Pvt. Ltd.,368.0,CRISIL,1,Tier 3 — NCD Priority,7,Dec 2026,Construction,YES
QuadGen Wireless Solutions Private limited,350.0,Infomerics,1,Tier 6 — Medium/Low,4,Jan 2027,Other,No
Caliber Mercantile Private Limited,348.4,Infomerics,1,Tier 5 — HOT,6,Dec 2026,Other,No
J G Hosiery Pvt. Ltd.,341.7,ICRA,1,Tier 3 — NCD Priority,7,Dec 2026,Other,YES
Eversendai Construction Pvt. Ltd.,338.8,ACUITE,1,Tier 5 — HOT,6,Dec 2026,Construction,No
Sitwanto Devi Mahila Kalyan Sansthan,315.0,Infomerics,1,Tier 6 — Medium/Low,4,Jan 2027,Other,No
MFAR Constructions Private Limited,309.6,Infomerics,1,Tier 6 — Medium/Low,3,Jan 2027,Construction,No
Mash Bio-Fuels Private Limited,307.4,Infomerics,1,Tier 5 — HOT,6,Dec 2026,Other,No
Corrtech International Ltd.,305.0,CRISIL,1,Tier 5 — HOT,6,Dec 2026,IT/Technology,No
The Seksaria Biswan Sugar Factory Limited,303.4,Infomerics,1,Tier 6 — Medium/Low,3,Feb 2027,Agro/Food,No
Advant I T Park Pvt. Ltd.,300.0,BRICKWORK,1,Tier 3 — NCD Priority,3,Mar 2027,Other,YES
Hild Energy Pvt. Ltd.,299.9,CRISIL,1,Tier 6 — Medium/Low,2,Mar 2027,Energy,No
Surya Processors Private Limited,276.0,Infomerics,1,Tier 6 — Medium/Low,3,Feb 2027,Other,No
Machino Plastics Ltd.,275.3,CRISIL + ICRA,2,Tier 2 — Dual Agency,4,Mar 2027,Chemicals/Pharma,YES
Krishna Buildestates Pvt. Ltd.,275.1,CARE,1,Tier 3 — NCD Priority,3,Mar 2027,Construction,YES
Kute Sons Dairys Limited,269.2,Infomerics,1,Tier 6 — Medium/Low,4,Jan 2027,Agro/Food,No
Indian Acrylics Limited,266.4,Infomerics,1,Tier 5 — HOT,6,Dec 2026,Other,No
Indoshell Mould Ltd.,261.8,BRICKWORK,1,Tier 6 — Medium/Low,2,Mar 2027,Other,No
Jai Hind Sugar Pvt. Ltd.,259.3,BRICKWORK,1,Tier 6 — Medium/Low,5,Dec 2026,Agro/Food,No
Invreco Pvt. Ltd.,250.0,CARE,1,Tier 3 — NCD Priority,7,Dec 2026,Other,YES
Shanti Gold International Limited,245.4,Infomerics,1,Tier 6 — Medium/Low,3,Feb 2027,Jewellery,No
Inderjit Mehta Constructions Private Limited,245.0,Infomerics,1,Tier 6 — Medium/Low,4,Jan 2027,Construction,No
Nandan Petrochem Ltd.,245.0,ICRA,1,Tier 3 — NCD Priority,3,Mar 2027,Chemicals/Pharma,YES
F Robin Power Solutions Pvt. Ltd.,235.0,IND-RA,1,Tier 6 — Medium/Low,2,Mar 2027,Energy,No
Wave Beverages Private Limited,234.5,Infomerics,1,Tier 6 — Medium/Low,3,Feb 2027,Other,No
Malbros International Pvt. Ltd.,233.1,ACUITE,1,Tier 6 — Medium/Low,2,Mar 2027,Other,No
Gauri Ganesh Ispat Private Limited,230.0,Infomerics,1,Tier 6 — Medium/Low,4,Jan 2027,Other,No
Maruti Educational Trust,220.0,Infomerics,1,Tier 5 — HOT,6,Dec 2026,Other,No
Assago Industries Pvt. Ltd.,220.0,CARE,1,Tier 6 — Medium/Low,2,Mar 2027,Other,No
KCP Infra Limited,220.0,Infomerics,1,Tier 6 — Medium/Low,4,Jan 2027,Construction,No
N S C Projects Pvt. Ld.,218.0,CRISIL,1,Tier 5 — HOT,6,Dec 2026,Construction,No
Siddapur Distilleries Limited,215.1,Infomerics,1,Tier 6 — Medium/Low,4,Jan 2027,Other,No
Sri Bhagirath Textiles Ltd.,215.0,ACUITE,1,Tier 5 — HOT,6,Dec 2026,Textiles,No
Raigarh Ispat & Power Private Limited,210.6,Infomerics,1,Tier 6 — Medium/Low,4,Jan 2027,Energy,No
Tejas Cargo India Ltd.,210.0,CARE,1,Tier 3 — NCD Priority,2,Mar 2027,Logistics,YES
Premier Plasmotec Pvt. Ltd.,207.5,CARE,1,Tier 3 — NCD Priority,2,Mar 2027,Other,YES
Jai Hind Sugar Private Limited,207.2,Infomerics,1,Tier 5 — HOT,6,Dec 2026,Agro/Food,No
Shri Prabhulingeshwar Sugars & Chemicals Ltd.,206.8,ACUITE,1,Tier 6 — Medium/Low,2,Mar 2027,Agro/Food,No
L & W Building Solutions Pvt. Ltd.,205.0,ICRA,1,Tier 3 — NCD Priority,3,Mar 2027,Construction,YES
Myrayash Hotels Private Limited,205.0,Infomerics,1,Tier 6 — Medium/Low,4,Jan 2027,Hotels/Tourism,No
Cygnet Industries Ltd.,203.4,BRICKWORK,1,Tier 6 — Medium/Low,2,Mar 2027,Other,No
Dembla Valves Ltd.,203.3,CARE + IND-RA,2,Tier 2 — Dual Agency,8,Dec 2026 / Mar 2027,Other,YES
M R K R Constructions & Inds. Pvt. Ltd.,200.0,IND-RA,1,Tier 5 — HOT,6,Dec 2026,Construction,No
IQ City Foundation,198.3,Infomerics,1,Tier 6 — Medium/Low,4,Jan 2027,Other,No
Ideal Movers Pvt. Ltd.,198.0,CRISIL,1,Tier 5 — HOT,6,Dec 2026,Other,No
Pratibha Syntex Ltd.,197.3,ACUITE,1,Tier 6 — Medium/Low,2,Mar 2027,Other,No
India Mega Agro Anaj Limited,195.9,Infomerics,1,Tier 5 — HOT,6,Dec 2026,Agro/Food,No
Swastik Pipe Limited,192.2,Infomerics,1,Tier 6 — Medium/Low,3,Jan 2027,Other,No
Agrawal Infrabuild Private Limited,192.2,Infomerics,1,Tier 6 — Medium/Low,4,Jan 2027,Construction,No
T. K. Engineering Consortium Private Limited,191.6,Infomerics,1,Tier 6 — Medium/Low,4,Jan 2027,Manufacturing,No
Manbhum Ispat Private Limited,190.0,Infomerics,1,Tier 5 — HOT,6,Dec 2026,Other,No
GSA Industries,189.2,Infomerics,1,Tier 6 — Medium/Low,4,Jan 2027,Other,No
S V P Industries Ltd.,187.9,BRICKWORK,1,Tier 5 — HOT,6,Dec 2026,Other,No
Maheshwari Mining Pvt. Ltd.,179.0,CRISIL,1,Tier 5 — HOT,5,Dec 2026 / Mar 2027,Mining,No
Prince Corp Private Limited,177.0,Infomerics,1,Tier 5 — HOT,6,Dec 2026,Other,No
K K P Fine Linen Pvt. Ltd.,175.8,BRICKWORK,1,Tier 5 — HOT,6,Dec 2026,Other,No
Amrit Papers Private Limited (Erstwhile Amrit Agencies Indore Private Limited),174.1,Infomerics,1,Tier 5 — HOT,6,Dec 2026,Paper/Packaging,No
Neo Metaliks Ltd.,171.5,CRISIL,1,Tier 6 — Medium/Low,2,Mar 2027,Steel & Metals,No
Arisudana Industries Ltd.,169.3,CRISIL,1,Tier 5 — HOT,5,Dec 2026 / Mar 2027,Manufacturing,No
Ganjam Nagappa And Son Private Limited,169.0,Infomerics,1,Tier 6 — Medium/Low,3,Jan 2027,Other,No
Pratishtha Commercial Private Limited,161.0,Infomerics,1,Tier 6 — Medium/Low,4,Jan 2027,Other,No
R M N Infrastructures Ltd.,160.0,CARE,1,Tier 3 — NCD Priority,3,Mar 2027,Construction,YES
Sirmour Small Hydro Power Pvt. Ltd.,160.0,CARE,1,Tier 5 — HOT,6,Dec 2026,Energy,No
K T M Jewellery Ltd.,159.9,CARE,1,Tier 3 — NCD Priority,3,Mar 2027,Jewellery,YES
Sterling Distillers Pvt. Ltd.,159.1,ICRA,1,Tier 6 — Medium/Low,2,Mar 2027,Other,No
Nature Delight Dairy & Dairy Products Private Limited,158.7,Infomerics,1,Tier 6 — Medium/Low,3,Feb 2027,Agro/Food,No
