Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Q1_Month,Escalation_Date,Amt_num,Sector,NCD_Flag,Source,Why Target,ACER Pitch Angle,Amount_Display
Tenshi Kaizen Pvt. Ltd.,ICRA,Term Loan,B+,2026-03-30,LOW/MEDIUM,Mar 2027,2027-03-30,90.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-30 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹90.0 Cr
Bird Airport Hotel Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-08,HOT,Dec 2026,2026-12-08,82.18,Hotels/Tourism,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹82.2 Cr
J G Hosiery Pvt. Ltd.,ICRA,Fund-Based,A,2025-12-23,HOT,Dec 2026,2026-12-23,75.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹75.0 Cr
L & W Construction Pvt. Ltd.,ICRA,Term Loan,BB+,2026-03-31,LOW/MEDIUM,Mar 2027,2027-03-31,70.0,Construction,Standard,D365,INC rating hits ULTRA HOT on 2027-03-31 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹70.0 Cr
Rajsamadhiyala Spintex Pvt. Ltd.,ICRA,Term Loan,B,2025-12-30,LOW/MEDIUM,Dec 2026,2026-12-30,62.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-30 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹62.0 Cr
V S Ferrous Enterprises Pvt. Ltd.,ICRA,NCD/Bond,B+,2026-03-12,LOW/MEDIUM,Mar 2027,2027-03-12,50.0,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2027-03-12 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹50.0 Cr
Satyadeeptha Pharmaceuticals Ltd.,ICRA,Term Loan,BB+,2025-12-17,HOT,Dec 2026,2026-12-17,43.37,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹43.4 Cr
Chowgule Industries Pvt. Ltd.,ICRA,NCD/Bond,BB+/A4+,2025-12-05,HOT,Dec 2026,2026-12-05,40.0,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹40.0 Cr
J G Hosiery Pvt. Ltd.,ICRA,Term Loan,A,2025-12-23,HOT,Dec 2026,2026-12-23,36.73,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹36.7 Cr
Yedeshwari Agro Products Ltd.,ICRA,Term Loan,B-,2026-03-30,LOW/MEDIUM,Mar 2027,2027-03-30,35.7,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2027-03-30 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹35.7 Cr
Surajbhan Rajkumar Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,2026-03-16,LOW/MEDIUM,Mar 2027,2027-03-16,35.0,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2027-03-16 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹35.0 Cr
Rameswar Udyog Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-12,HOT,Dec 2026,2026-12-12,34.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-12 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹34.0 Cr
Metco Roof Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-24,HOT,Dec 2026,2026-12-24,30.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹30.0 Cr
Charoen Pokphand Seeds (India) Pvt. Ltd.,ICRA,Term Loan,B+,2026-03-24,LOW/MEDIUM,Mar 2027,2027-03-24,30.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-24 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹30.0 Cr
Jell Pharmaceuticals Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2026-03-30,LOW/MEDIUM,Mar 2027,2027-03-30,30.0,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2027-03-30 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹30.0 Cr
Savla Foods & Cold Storage Pvt. Ltd.,ICRA,NCD/Bond,BB+/A4+,2026-03-26,LOW/MEDIUM,Mar 2027,2027-03-26,29.39,Agro/Food,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2027-03-26 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹29.4 Cr
Metco Roof Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-24,HOT,Dec 2026,2026-12-24,26.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹26.0 Cr
Dureza Granito Pvt. Ltd.,ICRA,Term Loan,B,2026-03-13,LOW/MEDIUM,Mar 2027,2027-03-13,25.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-13 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹25.0 Cr
Tirumala Seven Hills Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-17,HOT,Dec 2026,2026-12-17,23.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹23.0 Cr
Kwality Pharmaceuticals Ltd.,ICRA,Term Loan,B+,2025-12-05,HOT,Dec 2026,2026-12-05,22.0,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹22.0 Cr
N G Fertilizers & Chemicals Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-12,HOT,Dec 2026,2026-12-12,20.0,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-12 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹20.0 Cr
Yash Exports (India) Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-23,HOT,Dec 2026,2026-12-23,19.37,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹19.4 Cr
Manishri Refractories & Ceramics Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2026-03-24,LOW/MEDIUM,Mar 2027,2027-03-24,19.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-24 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹19.0 Cr
C D R Projects Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-24,HOT,Dec 2026,2026-12-24,18.75,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹18.8 Cr
K B K Chem-Engineering Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2026-03-19,LOW/MEDIUM,Mar 2027,2027-03-19,17.0,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2027-03-19 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹17.0 Cr
Mor Alloys Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,2025-12-10,HOT,Dec 2026,2026-12-10,16.55,Steel & Metals,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-10 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹16.6 Cr
Merit Technologies India Ltd.,ICRA,Non-Fund-Based,A 4,2026-03-12,LOW/MEDIUM,Mar 2027,2027-03-12,16.0,IT/Technology,Standard,D365,INC rating hits ULTRA HOT on 2027-03-12 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹16.0 Cr
Magnolia Martinique Clothing Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-10,HOT,Dec 2026,2026-12-10,15.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-10 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹15.0 Cr
Unique Multi Films Virudhunagar Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-19,HOT,Dec 2026,2026-12-19,15.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹15.0 Cr
Weener Empire Plastics Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,2025-12-24,HOT,Dec 2026,2026-12-24,15.0,Chemicals/Pharma,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹15.0 Cr
Sahastraa Exports Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-26,HOT,Dec 2026,2026-12-26,15.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-26 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹15.0 Cr
Grentex & Co. Pvt. Ltd.,ICRA,NCD/Bond,BB/A4+,2026-03-30,LOW/MEDIUM,Mar 2027,2027-03-30,15.0,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2027-03-30 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹15.0 Cr
Prince Yarnn India Ltd.,ICRA,Term Loan,B+,2026-03-30,LOW/MEDIUM,Mar 2027,2027-03-30,12.81,Textiles,Standard,D365,INC rating hits ULTRA HOT on 2027-03-30 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹12.8 Cr
Strawberry Studio Exports Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,2026-03-16,LOW/MEDIUM,Mar 2027,2027-03-16,12.7,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2027-03-16 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹12.7 Cr
Shreegopal Gobind Agro Tech Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-23,HOT,Dec 2026,2026-12-23,12.5,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹12.5 Cr
Uni-Tech Automation Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-22,HOT,Dec 2026,2026-12-22,12.0,Manufacturing,Standard,D365,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹12.0 Cr
Ovis Equipments Pvt. Ltd.,ICRA,Non-Fund-Based,B+,2026-03-11,LOW/MEDIUM,Mar 2027,2027-03-11,11.0,Manufacturing,Standard,D365,INC rating hits ULTRA HOT on 2027-03-11 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹11.0 Cr
Jell Pharmaceuticals Pvt. Ltd.,ICRA,Fund-Based,A 4,2026-03-30,LOW/MEDIUM,Mar 2027,2027-03-30,10.75,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2027-03-30 — prime Q1 2027 renewal target,Your Fund-Based at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹10.8 Cr
Satyadeeptha Pharmaceuticals Ltd.,ICRA,Non-Fund-Based,A 4+,2025-12-17,HOT,Dec 2026,2026-12-17,10.0,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹10.0 Cr
Agarwal Fastners Pvt. Ltd.,ICRA,Term Loan,B+,2026-03-13,LOW/MEDIUM,Mar 2027,2027-03-13,10.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-13 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹10.0 Cr
Glitter Metals Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,2026-03-18,LOW/MEDIUM,Mar 2027,2027-03-18,10.0,Steel & Metals,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2027-03-18 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹10.0 Cr
Rasi Electrodes Ltd.,ICRA,NCD/Bond,BB+/A4+,2026-03-30,LOW/MEDIUM,Mar 2027,2027-03-30,10.0,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2027-03-30 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹10.0 Cr
Kwality Pharmaceuticals Ltd.,ICRA,NCD/Bond,B+/A4,2025-12-05,HOT,Dec 2026,2026-12-05,9.92,Chemicals/Pharma,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹9.9 Cr
Mangal Sponge & Steel Pvt. Ltd.,ICRA,Term Loan,B-,2026-03-20,LOW/MEDIUM,Mar 2027,2027-03-20,9.5,Steel & Metals,Standard,D365,INC rating hits ULTRA HOT on 2027-03-20 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹9.5 Cr
Kwality Pharmaceuticals Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-05,HOT,Dec 2026,2026-12-05,9.0,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹9.0 Cr
Uni-Tech Automation Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,2025-12-22,HOT,Dec 2026,2026-12-22,9.0,Manufacturing,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹9.0 Cr
Flyjac Logistics Pvt. Ltd.,ICRA,NCD/Bond,A 1+,2025-12-11,HOT,Dec 2026,2026-12-11,8.5,Logistics,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹8.5 Cr
Shell Apparels Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-30,LOW/MEDIUM,Dec 2026,2026-12-30,8.14,Textiles,Standard,D365,INC rating hits ULTRA HOT on 2026-12-30 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹8.1 Cr
Samkit Diamond Export Pvt. Ltd.,ICRA,NCD/Bond,B/A4,2025-12-17,HOT,Dec 2026,2026-12-17,8.0,Jewellery,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹8.0 Cr
Sadguru Medical & Research Centre Pvt. Ltd.,ICRA,Term Loan,B,2026-03-31,LOW/MEDIUM,Mar 2027,2027-03-31,7.9,Healthcare,Standard,D365,INC rating hits ULTRA HOT on 2027-03-31 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹7.9 Cr
Metco Roof Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,2025-12-24,HOT,Dec 2026,2026-12-24,7.72,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹7.7 Cr
Manishri Refractories & Ceramics Pvt. Ltd.,ICRA,Term Loan,B,2026-03-24,LOW/MEDIUM,Mar 2027,2027-03-24,7.67,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-24 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹7.7 Cr
Mathuram Swastha Evam Shikshan Sansthan,ICRA,Term Loan,B+,2025-12-10,HOT,Dec 2026,2026-12-10,7.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-10 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹7.0 Cr
L E Marble Gallery Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2026-03-18,LOW/MEDIUM,Mar 2027,2027-03-18,7.0,Mining,Standard,D365,INC rating hits ULTRA HOT on 2027-03-18 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹7.0 Cr
Savla Foods & Cold Storage Pvt. Ltd.,ICRA,Fund-Based,BB+,2026-03-26,LOW/MEDIUM,Mar 2027,2027-03-26,7.0,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2027-03-26 — prime Q1 2027 renewal target,Your Fund-Based at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹7.0 Cr
Marudhara Polypack Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-10,HOT,Dec 2026,2026-12-10,6.25,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-10 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹6.2 Cr
Millenium Exim Pvt. Ltd.,ICRA,NCD/Bond,B/A4,2025-12-08,HOT,Dec 2026,2026-12-08,6.21,Agro/Food,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹6.2 Cr
V V C Motors Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-19,HOT,Dec 2026,2026-12-19,6.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹6.0 Cr
Sharpline Automation Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-26,HOT,Dec 2026,2026-12-26,6.0,Manufacturing,Standard,D365,INC rating hits ULTRA HOT on 2026-12-26 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹6.0 Cr
Siddarth Organisation Ltd.,ICRA,NCD/Bond,C/A4,2026-03-09,LOW/MEDIUM,Mar 2027,2027-03-09,5.8,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2027-03-09 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹5.8 Cr
Satyadeeptha Pharmaceuticals Ltd.,ICRA,NCD/Bond,BB+/A4+,2025-12-17,HOT,Dec 2026,2026-12-17,5.63,Chemicals/Pharma,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹5.6 Cr
Champion Commercial Co. Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-05,HOT,Dec 2026,2026-12-05,5.5,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹5.5 Cr
Dugar Polymers Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-18,HOT,Dec 2026,2026-12-18,5.5,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-18 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹5.5 Cr
Sterling Distillers Pvt. Ltd.,ICRA,Bank Guarantee,BB+,2026-03-19,LOW/MEDIUM,Mar 2027,2027-03-19,5.5,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-19 — prime Q1 2027 renewal target,Your Bank Guarantee at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹5.5 Cr
C D R Projects Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,2025-12-24,HOT,Dec 2026,2026-12-24,5.04,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹5.0 Cr
