Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Amount_Cr,Quarter,Escalation_Month,Escalation_Date,Call_Window,Tier,Priority_Score,Agency_Count,NCD_Flag,Source,Why Target,ACER Pitch Angle,Dual_Quarter
Gama Infraprop Pvt. Ltd.,CRISIL,Letter Of credit,A 4,2026-04-23,LOW (<90 days),35.0,Q2 2027,Apr 2027,Apr 2027,HOT by Jan 2027,Q2 Pipeline,3,1,Standard,D365,"INC since Apr 2026 (66 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Letter Of credit at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Both Q1+Q2
Gama Infraprop Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2026-04-23,LOW (<90 days),22.58,Q2 2027,Apr 2027,Apr 2027,HOT by Jan 2027,Q2 Pipeline,3,1,Standard,D365,"INC since Apr 2026 (66 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Both Q1+Q2
Ramiya Constructions Pvt. Ltd.,CRISIL,Long term Loans,BBB-,2026-04-13,LOW (<90 days),14.0,Q2 2027,Apr 2027,Apr 2027,HOT by Jan 2027,Q2 Pipeline,3,1,Standard,D365,"INC since Apr 2026 (76 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Long term Loans at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Both Q1+Q2
Niladree Build-Tech Pvt. Ltd.,IND-RA,Term loans,B-,2026-04-02,LOW (<90 days),11.36,Q2 2027,Apr 2027,Apr 2027,HOT by Jan 2027,Q2 Pipeline,3,1,Standard,D365,"INC since Apr 2026 (87 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Both Q1+Q2
A & T Infracon Pvt. Ltd.,IND-RA,Term loans,BBB-,2026-04-08,LOW (<90 days),1.1,Q2 2027,Apr 2027,Apr 2027,HOT by Jan 2027,Q2 Pipeline,3,1,Standard,D365,"INC since Apr 2026 (81 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Both Q1+Q2
A & T Infracon Pvt. Ltd.,IND-RA,Term loans,BBB-,2026-04-08,LOW (<90 days),0.9,Q2 2027,Apr 2027,Apr 2027,HOT by Jan 2027,Q2 Pipeline,3,1,Standard,D365,"INC since Apr 2026 (81 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at IND-RA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Both Q1+Q2
Gama Infraprop Pvt. Ltd.,CARE,Letter of Credit,A 4,2026-03-23,LOW/MEDIUM,65.18,Q1 2027,Mar 2027,2027-03-23,Dec 2026 – Jan 2027,Tier 6 — Medium/Low,1,1,Standard,D365,INC rating hits ULTRA HOT on 2027-03-23 — prime Q1 2027 renewal target,Your Letter of Credit at CARE goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Both Q1+Q2
Ramiya Constructions Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2026-03-30,LOW/MEDIUM,31.43,Q1 2027,Mar 2027,2027-03-30,Dec 2026 – Jan 2027,Tier 6 — Medium/Low,1,1,Standard,D365,INC rating hits ULTRA HOT on 2027-03-30 — prime Q1 2027 renewal target,Your Bank Guarantee at BRICKWORK goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Both Q1+Q2
Gama Infraprop Pvt. Ltd.,CARE,Term Loan,BB,2026-03-23,LOW/MEDIUM,11.89,Q1 2027,Mar 2027,2027-03-23,Dec 2026 – Jan 2027,Tier 6 — Medium/Low,1,1,Standard,D365,INC rating hits ULTRA HOT on 2027-03-23 — prime Q1 2027 renewal target,Your Term Loan at CARE goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Both Q1+Q2
Gama Infraprop Pvt. Ltd.,CARE,Bank Guarantee,A 4,2026-03-23,LOW/MEDIUM,4.0,Q1 2027,Mar 2027,2027-03-23,Dec 2026 – Jan 2027,Tier 6 — Medium/Low,1,1,Standard,D365,INC rating hits ULTRA HOT on 2027-03-23 — prime Q1 2027 renewal target,Your Bank Guarantee at CARE goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Both Q1+Q2
