Company Name,Agency,Instrument Type,Rating,Rating Date,Amount Cr,Sector,Current Urgency,NCD_Flag,Source,Pipeline_Window,Escalation_Date,Escalation_Month,Call_Window,Tier_Label,Agency_Count,Why Target,ACER Pitch Angle,Window_Order,Multi_Window_Flag
A F P Manufacturing Co. Pvt. Ltd.,ACUITE,Term Loan,BB,2026-03-23,0.91,Manufacturing,LOW/MEDIUM,Standard,D365,Q1 2027,2027-03-23,Mar 2027,Dec 2026 – Jan 2027,Tier 6 — Medium/Low,1,INC rating hits ULTRA HOT on 2027-03-23 — prime Q1 2027 renewal target,Your Term Loan at ACUITE goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,2,Multi-Window Priority
A P S Hydro Pvt. Ltd.,ACUITE,Term Loan,B-,21-Nov-2025,15.0,Energy,MEDIUM,Standard,D365,October 2026,2026-11-21,Nov 2026,Nov Wk3 (Nov 15-21),TIER 4 — ULTRA HOT,1,INC rating hits ULTRA HOT threshold on 2026-11-21 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,1,Multi-Window Priority
A P S Hydro Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,21-Nov-2025,6.0,Energy,MEDIUM,Standard,D365,October 2026,2026-11-21,Nov 2026,Nov Wk3 (Nov 15-21),TIER 4 — ULTRA HOT,1,INC rating hits ULTRA HOT threshold on 2026-11-21 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,1,Multi-Window Priority
A P S Hydro Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-05,9.0,Energy,HOT,Standard,D365,Q1 2027,2026-12-05,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,1,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Multi-Window Priority
A P S Hydro Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-05,6.0,Energy,HOT,Standard,D365,Q1 2027,2026-12-05,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,1,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Multi-Window Priority
A P S Hydro Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-05,6.0,Energy,HOT,Standard,D365,Q1 2027,2026-12-05,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,1,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Multi-Window Priority
A S Moloobhoy Pvt. Ltd.,ICRA,NCD/Bond,B+/A4,23-Jan-2026,11.0,Other,LOW,NCD — SEBI License Required,D365,October 2026,2026-10-20,Oct 2026,Oct Wk3 (Oct 15-21),TIER 5 — HOT,1,INC rating hits HOT threshold on 2026-10-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,1,Multi-Window Priority
A S Moloobhoy Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,23-Jan-2026,7.0,Other,LOW,Standard,D365,October 2026,2026-10-20,Oct 2026,Oct Wk3 (Oct 15-21),TIER 5 — HOT,1,INC rating hits HOT threshold on 2026-10-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,1,Multi-Window Priority
A S Moloobhoy Pvt. Ltd.,ICRA,Term Loan,A 4,23-Jan-2026,0.0,Other,LOW,Standard,D365,October 2026,2026-10-20,Oct 2026,Oct Wk3 (Oct 15-21),TIER 5 — HOT,1,INC rating hits HOT threshold on 2026-10-20 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,1,Multi-Window Priority
A S Moloobhoy Pvt. Ltd.,ICRA,Short-Term Loan,A 4,2026-01-23,0.0,Other,LOW/MEDIUM,Standard,D365,Q1 2027,2027-01-23,Jan 2027,Oct–Nov 2026 — Call now (HOT by Oct),Tier 6 — Medium/Low,1,INC rating hits ULTRA HOT on 2027-01-23 — prime Q1 2027 renewal target,Your Short-Term Loan at ICRA goes critical in Jan 2027. Start ACER process in Sep 2026 — before the Q1 rush.,2,Multi-Window Priority
A-One Footarts Pvt. Ltd.,CARE,NCD/Bond,BBB/A3+,03-Oct-2025,4.0,Other,MEDIUM,NCD — SEBI License Required,D365,October 2026,2026-10-03,Oct 2026,Oct Wk1 (Oct 1-7),TIER 4 — ULTRA HOT,1,INC rating hits ULTRA HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds,1,Multi-Window Priority
A-One Footarts Pvt. Ltd.,CRISIL,Letter of Credit,A 4,2025-12-19,3.0,Other,HOT,Standard,D365,Q1 2027,2026-12-19,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,1,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Multi-Window Priority
A-One Footarts Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-19,0.9,Other,HOT,Standard,D365,Q1 2027,2026-12-19,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,1,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Multi-Window Priority
A-One Footarts Pvt. Ltd.,CRISIL,Letter of Credit,A 4,2025-12-19,0.74,Other,HOT,Standard,D365,Q1 2027,2026-12-19,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,1,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Multi-Window Priority
Aaradhya Disposal Inds. Ltd.,CRISIL,Term Loan,B,28-Apr-2026,7.75,Other,LOW,Standard,D365,October 2026,2026-10-25,Oct 2026,Oct Wk4 (Oct 22-31),TIER 6 — MEDIUM,1,INC rating hits MEDIUM threshold on 2026-10-25 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,1,Multi-Window Priority
Aaradhya Disposal Inds. Ltd.,CRISIL,Term loans,B,2026-04-28,7.75,Other,LOW (<90 days),Standard,D365,Q2 2027,Apr 2027,Apr 2027,HOT by Jan 2027,Q2 Pipeline,1,"INC since Apr 2026 (61 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,3,Multi-Window Priority
Abhay Solvents Pvt. Ltd.,ACUITE,Term Loan,B+,29-Apr-2026,15.7,Chemicals & Pharma,LOW,Standard,D365,October 2026,2026-10-26,Oct 2026,Oct Wk4 (Oct 22-31),TIER 6 — MEDIUM,1,INC rating hits MEDIUM threshold on 2026-10-26 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,1,Multi-Window Priority
Abhay Solvents Pvt. Ltd.,ACUITE,Term Loan,BB-,29-Apr-2026,6.3,Chemicals & Pharma,LOW,Standard,D365,October 2026,2026-10-26,Oct 2026,Oct Wk4 (Oct 22-31),TIER 6 — MEDIUM,1,INC rating hits MEDIUM threshold on 2026-10-26 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,1,Multi-Window Priority
Abhay Solvents Pvt. Ltd.,ACUITE,Term loans,B+,2026-04-29,15.7,Other,LOW (<90 days),Standard,D365,Q2 2027,Apr 2027,Apr 2027,HOT by Jan 2027,Q2 Pipeline,1,"INC since Apr 2026 (60 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at ACUITE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,3,Multi-Window Priority
Abhay Solvents Pvt. Ltd.,ACUITE,Long term Loans,BB-,2026-04-29,6.3,Other,LOW (<90 days),Standard,D365,Q2 2027,Apr 2027,Apr 2027,HOT by Jan 2027,Q2 Pipeline,1,"INC since Apr 2026 (60 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Long term Loans at ACUITE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,3,Multi-Window Priority
Abhijit Auto Agency India Pvt. Ltd.,CRISIL,Fund-Based,A 4,09-Apr-2026,10.0,Automobiles,LOW,Standard,D365,October 2026,2026-10-06,Oct 2026,Oct Wk1 (Oct 1-7),TIER 6 — MEDIUM,1,INC rating hits MEDIUM threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,1,Multi-Window Priority
Abhijit Auto Agency India Pvt. Ltd.,CRISIL,Fund-Based,B,09-Apr-2026,6.0,Automobiles,LOW,Standard,D365,October 2026,2026-10-06,Oct 2026,Oct Wk1 (Oct 1-7),TIER 6 — MEDIUM,1,INC rating hits MEDIUM threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,1,Multi-Window Priority
Abhijit Auto Agency India Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,A 4,2026-04-09,10.0,Automobiles,LOW (<90 days),Standard,D365,Q2 2027,Apr 2027,Apr 2027,HOT by Jan 2027,Q2 Pipeline,1,"INC since Apr 2026 (80 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Fund based financial facility/instrument at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,3,Multi-Window Priority
Abhijit Auto Agency India Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,B,2026-04-09,6.0,Automobiles,LOW (<90 days),Standard,D365,Q2 2027,Apr 2027,Apr 2027,HOT by Jan 2027,Q2 Pipeline,1,"INC since Apr 2026 (80 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Fund based financial facility/instrument at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,3,Multi-Window Priority
Abhiraj Engicon Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,03-Nov-2025,2.5,Other,MEDIUM,Standard,D365,October 2026,2026-11-03,Nov 2026,Nov Wk1 (Nov 1-7),TIER 4 — ULTRA HOT,1,INC rating hits ULTRA HOT threshold on 2026-11-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds,1,Multi-Window Priority
Abhiraj Engicon Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,2025-12-19,16.39,Other,HOT,NCD — SEBI License Required,D365,Q1 2027,2026-12-19,Dec 2026,Sep 2026 — RM,Tier 2 — Dual Agency,2,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your NCD/Bond at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Multi-Window Priority
Abhiraj Engicon Pvt. Ltd.,CARE,Bank Guarantee,A 4,2025-12-11,2.5,Other,HOT,Standard,D365,Q1 2027,2026-12-11,Dec 2026,Sep 2026 — RM,Tier 2 — Dual Agency,2,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your Bank Guarantee at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Multi-Window Priority
Accord Chemical Corporation,Infomerics,Short Term Bank Facilities,IVR A4 (INC)(Withdrawn),02-Feb-2026,142.0,Chemicals & Pharma,LOW,Standard,Infomerics,October 2026,2026-10-30,Oct 2026,Oct Wk4 (Oct 22-31),TIER 5 — HOT,1,INC rating hits HOT threshold on 2026-10-30 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,1,Multi-Window Priority
Accord Chemical Corporation,Infomerics,Long Term Bank Facilities,IVR BB- (INC)(Withdrawn),02-Feb-2026,16.0,Chemicals & Pharma,LOW,Standard,Infomerics,October 2026,2026-10-30,Oct 2026,Oct Wk4 (Oct 22-31),TIER 5 — HOT,1,INC rating hits HOT threshold on 2026-10-30 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before Infomerics backlog builds,1,Multi-Window Priority
Accord Chemical Corporation,Infomerics,Short Term Bank Facilities,IVR A4 (INC)(Withdrawn),2026-02-02,142.0,Chemicals & Pharma,LOW/MEDIUM,Standard,Infomerics,Q1 2027,2027-02-02,Feb 2027,Nov–Dec 2026,Tier 6 — Medium/Low,1,INC rating hits ULTRA HOT on 2027-02-02 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Feb 2027. ACER is your best alternative — no competitor has approached you.,2,Multi-Window Priority
Accord Chemical Corporation,Infomerics,Long Term Bank Facilities,IVR BB- (INC)(Withdrawn),2026-02-02,16.0,Chemicals & Pharma,LOW/MEDIUM,Standard,Infomerics,Q1 2027,2027-02-02,Feb 2027,Nov–Dec 2026,Tier 6 — Medium/Low,1,INC rating hits ULTRA HOT on 2027-02-02 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Feb 2027. ACER is your best alternative — no competitor has approached you.,2,Multi-Window Priority
Adachi Natural Polymer Ltd.,CRISIL,Term Loan,B,19-Nov-2025,2.5,Chemicals & Pharma,MEDIUM,Standard,D365,October 2026,2026-11-19,Nov 2026,Nov Wk3 (Nov 15-21),TIER 4 — ULTRA HOT,1,INC rating hits ULTRA HOT threshold on 2026-11-19 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,1,Multi-Window Priority
Adachi Natural Polymer Ltd.,CARE,NCD/Bond,B-/A4,2025-12-01,6.5,Chemicals & Pharma,HOT,NCD — SEBI License Required,D365,Q1 2027,2026-12-01,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 3 — NCD Priority,1,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Multi-Window Priority
Adachi Natural Polymer Ltd.,CARE,Term Loan,B-,2025-12-01,2.45,Chemicals & Pharma,HOT,Standard,D365,Q1 2027,2026-12-01,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,1,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Multi-Window Priority
Adachi Natural Polymer Ltd.,CARE,Non-Fund-Based,A 4,2025-12-01,0.04,Chemicals & Pharma,HOT,Standard,D365,Q1 2027,2026-12-01,Dec 2026,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,1,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Non-Fund-Based at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,2,Multi-Window Priority
Adarsha Specialty Chemicals Pvt. Ltd.,ACUITE,Letter of Credit,A 4,20-Apr-2026,3.5,Chemicals & Pharma,LOW,Standard,D365,October 2026,2026-10-17,Oct 2026,Oct Wk3 (Oct 15-21),TIER 6 — MEDIUM,1,INC rating hits MEDIUM threshold on 2026-10-17 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,1,Multi-Window Priority
Adarsha Specialty Chemicals Pvt. Ltd.,ACUITE,Term Loan,B-,20-Apr-2026,1.0,Chemicals & Pharma,LOW,Standard,D365,October 2026,2026-10-17,Oct 2026,Oct Wk3 (Oct 15-21),TIER 6 — MEDIUM,1,INC rating hits MEDIUM threshold on 2026-10-17 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds,1,Multi-Window Priority
Adarsha Specialty Chemicals Pvt. Ltd.,ACUITE,Letter Of credit,A 4,2026-04-20,3.5,Chemicals & Pharma,LOW (<90 days),Standard,D365,Q2 2027,Apr 2027,Apr 2027,HOT by Jan 2027,Q2 Pipeline,1,"INC since Apr 2026 (69 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Letter Of credit at ACUITE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,3,Multi-Window Priority
Adarsha Specialty Chemicals Pvt. Ltd.,ACUITE,Long term Loans,B-,2026-04-20,1.0,Chemicals & Pharma,LOW (<90 days),Standard,D365,Q2 2027,Apr 2027,Apr 2027,HOT by Jan 2027,Q2 Pipeline,1,"INC since Apr 2026 (69 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Long term Loans at ACUITE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,3,Multi-Window Priority
Adhik Resort India Pvt. Ltd.,CRISIL,Term Loan,B,20-Apr-2026,4.05,Hotels & Tourism,LOW,Standard,D365,October 2026,2026-10-17,Oct 2026,Oct Wk3 (Oct 15-21),TIER 6 — MEDIUM,1,INC rating hits MEDIUM threshold on 2026-10-17 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,1,Multi-Window Priority
Adhik Resort India Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,20-Apr-2026,0.75,Hotels & Tourism,LOW,Standard,D365,October 2026,2026-10-17,Oct 2026,Oct Wk3 (Oct 15-21),TIER 6 — MEDIUM,1,INC rating hits MEDIUM threshold on 2026-10-17 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,1,Multi-Window Priority
Adhik Resort India Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2026-04-20,0.75,Hotels & Tourism,LOW (<90 days),Standard,D365,Q2 2027,Apr 2027,Apr 2027,HOT by Jan 2027,Q2 Pipeline,1,"INC since Apr 2026 (69 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,3,Multi-Window Priority
Adhik Resort India Pvt. Ltd.,CRISIL,Long term Loans,B,2026-04-20,4.05,Hotels & Tourism,LOW (<90 days),Standard,D365,Q2 2027,Apr 2027,Apr 2027,HOT by Jan 2027,Q2 Pipeline,1,"INC since Apr 2026 (69 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Long term Loans at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,3,Multi-Window Priority
Adie Broswon Breweries Pvt. Ltd.,ICRA,Term Loan,B+,10-Apr-2026,72.14,Other,LOW,Standard,D365,October 2026,2026-10-07,Oct 2026,Oct Wk1 (Oct 1-7),TIER 6 — MEDIUM,1,INC rating hits MEDIUM threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,1,Multi-Window Priority
Adie Broswon Breweries Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,10-Apr-2026,7.0,Other,LOW,Standard,D365,October 2026,2026-10-07,Oct 2026,Oct Wk1 (Oct 1-7),TIER 6 — MEDIUM,1,INC rating hits MEDIUM threshold on 2026-10-07 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ICRA backlog builds,1,Multi-Window Priority
Adie Broswon Breweries Pvt. Ltd.,ICRA,Non-fund-based financial facility/instrument,A 4,2026-04-10,7.0,Other,LOW (<90 days),Standard,D365,Q2 2027,Apr 2027,Apr 2027,HOT by Jan 2027,Q2 Pipeline,1,"INC since Apr 2026 (79 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Non-fund-based financial facility/instrument at ICRA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,3,Multi-Window Priority
Adie Broswon Breweries Pvt. Ltd.,ICRA,Term loans,B+,2026-04-10,72.14,Other,LOW (<90 days),Standard,D365,Q2 2027,Apr 2027,Apr 2027,HOT by Jan 2027,Q2 Pipeline,1,"INC since Apr 2026 (79 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at ICRA hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,3,Multi-Window Priority
Adil Textiles Pvt. Ltd.,CRISIL,Term Loan,A 4,21-Apr-2026,4.3,Construction,LOW,Standard,D365,October 2026,2026-10-18,Oct 2026,Oct Wk3 (Oct 15-21),TIER 6 — MEDIUM,1,INC rating hits MEDIUM threshold on 2026-10-18 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds,1,Multi-Window Priority
Adil Textiles Pvt. Ltd.,CRISIL,Term loans,A 4,2026-04-21,4.3,Textiles,LOW (<90 days),Standard,D365,Q2 2027,Apr 2027,Apr 2027,HOT by Jan 2027,Q2 Pipeline,1,"INC since Apr 2026 (68 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,3,Multi-Window Priority
Adwaith Lakshmi Inds. Ltd.,IND-RA,Term Loan,B+,09-Jan-2026,49.01,Other,LOW,Standard,D365,October 2026,2026-10-06,Oct 2026,Oct Wk1 (Oct 1-7),TIER 5 — HOT,1,INC rating hits HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,1,Multi-Window Priority
Adwaith Lakshmi Inds. Ltd.,IND-RA,Non-Fund-Based,A 4,09-Jan-2026,10.0,Other,LOW,Standard,D365,October 2026,2026-10-06,Oct 2026,Oct Wk1 (Oct 1-7),TIER 5 — HOT,1,INC rating hits HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds,1,Multi-Window Priority
Adwaith Lakshmi Inds. Ltd.,IND-RA,Fund-Based,A 4,2026-01-09,10.0,Other,LOW/MEDIUM,Standard,D365,Q1 2027,2027-01-09,Jan 2027,Oct–Nov 2026 — Call now (HOT by Oct),Tier 6 — Medium/Low,1,INC rating hits ULTRA HOT on 2027-01-09 — prime Q1 2027 renewal target,Your Fund-Based at IND-RA goes critical in Jan 2027. Start ACER process in Sep 2026 — before the Q1 rush.,2,Multi-Window Priority
