Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Amount_Cr,Quarter,Escalation_Month,Escalation_Date,Call_Window,Tier,Priority_Score,Agency_Count,NCD_Flag,Source,Why Target,ACER Pitch Angle,Dual_Quarter
GRN Constructions Private Limited,Infomerics,Short Term Bank Facilities,IVR A4+ (INC)(Downgraded),2025-12-15,HOT,120.0,Q1 2027,Dec 2026,2026-12-15,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,6,1,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-15 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Single Quarter
Dhoot Infrastructure Projects Ltd.,BRICKWORK,Term Loan,B+,2025-12-01,HOT,110.0,Q1 2027,Dec 2026,2026-12-01,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,6,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
H K Cement Inds. Pvt. Ltd.,BRICKWORK,Term Loan,C,2025-12-08,HOT,109.34,Q1 2027,Dec 2026,2026-12-08,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,6,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Agroh Kodinar Veraval Highways Private Limited,Infomerics,Long Term Bank Facilities,IVR B+ (INC)(Reaffirmed),2025-12-12,HOT,100.0,Q1 2027,Dec 2026,2026-12-12,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,6,1,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-12 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Single Quarter
R S Development & Constructions India Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,2025-12-19,HOT,67.89,Q1 2027,Dec 2026,2026-12-19,Sep–Oct 2026 — Call 3 months ahead,Tier 3 — NCD Priority,6,1,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your NCD/Bond at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Srinivas Infrastructure Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,2025-12-19,HOT,17.0,Q1 2027,Dec 2026,2026-12-19,Sep–Oct 2026 — Call 3 months ahead,Tier 3 — NCD Priority,6,1,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your NCD/Bond at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Purvanchal Construction Works Pvt. Ltd.,CARE,NCD/Bond,B+/A4,2025-12-03,HOT,12.3,Q1 2027,Dec 2026,2026-12-03,Sep–Oct 2026 — Call 3 months ahead,Tier 3 — NCD Priority,6,1,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-03 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Gupta Power Infrastructure Limited,Infomerics,Short Term Bank Facilities,IVR D (INC) (Reaffirmed),2026-01-14,LOW/MEDIUM,2780.0,Q1 2027,Jan 2027,2027-01-14,Oct–Nov 2026 — Call now (HOT by Oct),Tier 6 — Medium/Low,5,1,Standard,Infomerics,INC rating hits ULTRA HOT on 2027-01-14 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Jan 2027. ACER is your best alternative — no competitor has approached you.,Single Quarter
Gupta Power Infrastructure Limited,Infomerics,Long Term Bank Facilities,IVR D (INC) (Reaffirmed),2026-01-14,LOW/MEDIUM,1180.0,Q1 2027,Jan 2027,2027-01-14,Oct–Nov 2026 — Call now (HOT by Oct),Tier 6 — Medium/Low,5,1,Standard,Infomerics,INC rating hits ULTRA HOT on 2027-01-14 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Jan 2027. ACER is your best alternative — no competitor has approached you.,Single Quarter
Srijan Realty Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-11,HOT,68.6,Q1 2027,Dec 2026,2026-12-11,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Swarnaa Techno Constructions Pvt. Ltd.,BRICKWORK,Non-Fund-Based,A 4,2025-12-15,HOT,66.0,Q1 2027,Dec 2026,2026-12-15,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-15 — prime Q1 2027 renewal target,Your Non-Fund-Based at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Ghanaram Infraengineers Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-12,HOT,60.0,Q1 2027,Dec 2026,2026-12-12,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-12 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Waterfront Constructions Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-12-17,HOT,60.0,Q1 2027,Dec 2026,2026-12-17,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your Bank Guarantee at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
A C D C Saideep Buildcon Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,2025-12-23,HOT,58.0,Q1 2027,Dec 2026,2026-12-23,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Musaddilal Projects Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-18,HOT,57.0,Q1 2027,Dec 2026,2026-12-18,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-18 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Jijau Infrastructure M U Project Pvt. Ltd.,ACUITE,Term Loan,BB+,2025-12-10,HOT,56.2,Q1 2027,Dec 2026,2026-12-10,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-10 — prime Q1 2027 renewal target,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Swarnaa Techno Constructions Pvt. Ltd.,BRICKWORK,Fund-Based,BB-,2025-12-15,HOT,50.84,Q1 2027,Dec 2026,2026-12-15,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-15 — prime Q1 2027 renewal target,Your Fund-Based at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Srijan Realty Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-11,HOT,46.12,Q1 2027,Dec 2026,2026-12-11,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Eversendai Construction Pvt. Ltd.,ACUITE,Letter of Credit,A 4+,2025-12-05,HOT,45.0,Q1 2027,Dec 2026,2026-12-05,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Letter of Credit at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Sattva Engineering Construction Private Limited,Infomerics,Short Term Facilities,IVR A4 (INC) (Reaffirmed),2025-12-04,HOT,44.5,Q1 2027,Dec 2026,2026-12-04,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-04 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Single Quarter
Sattva Engineering Construction Private Limited,Infomerics,Short Term Facilities,IVR A4 (INC) (Reaffirmed),2025-12-04,HOT,44.5,Q1 2027,Dec 2026,2026-12-04,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-04 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Single Quarter
Goodwill Advance Construction Company Private Limited,Infomerics,Short Term Bank Facility,IVR A4+ (INC)(Downgraded),2025-12-02,HOT,40.0,Q1 2027,Dec 2026,2026-12-02,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-02 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Single Quarter
K S D Construction,Infomerics,Short Term Bank Facilities,IVR A4 (INC) (Reaffirmed),2025-12-02,HOT,39.0,Q1 2027,Dec 2026,2026-12-02,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-02 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Single Quarter
K N K Projects Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-11,HOT,38.0,Q1 2027,Dec 2026,2026-12-11,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
N P Infraprojects India Pvt. Ltd.,IND-RA,Fund-Based,A 4+,2025-12-16,HOT,37.0,Q1 2027,Dec 2026,2026-12-16,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-16 — prime Q1 2027 renewal target,Your Fund-Based at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Sun N Wind Infra Energy Private Limited,Infomerics,Long Term Bank Facilities,IVR B- (INC)(Downgraded),2025-12-19,HOT,37.0,Q1 2027,Dec 2026,2026-12-19,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-19 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Single Quarter
P P Kharpatil Constructions Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,2025-12-08,HOT,36.0,Q1 2027,Dec 2026,2026-12-08,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
B P R Infrastructure Pvt. Ltd.,BRICKWORK,Bank Guarantee,BB-,2025-12-17,HOT,35.0,Q1 2027,Dec 2026,2026-12-17,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your Bank Guarantee at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
GRN Constructions Private Limited,Infomerics,Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),2025-12-15,HOT,30.0,Q1 2027,Dec 2026,2026-12-15,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-15 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Single Quarter
Space Age Associates Power-Infra Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-23,HOT,28.0,Q1 2027,Dec 2026,2026-12-23,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Goodwill Advance Construction Company Private Limited,Infomerics,Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),2025-12-02,HOT,26.61,Q1 2027,Dec 2026,2026-12-02,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-02 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Single Quarter
OP Gupta Contractor Private Limited,Infomerics,Short Term Bank Facility,IVR A4 (INC) (Reaffirmed),2025-12-02,HOT,25.0,Q1 2027,Dec 2026,2026-12-02,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-02 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Single Quarter
Sattva Engineering Construction Private Limited,Infomerics,Long Term Facilities,IVR B (INC) (Downgraded),2025-12-04,HOT,24.62,Q1 2027,Dec 2026,2026-12-04,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-04 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Single Quarter
Sattva Engineering Construction Private Limited,Infomerics,Long Term Facilities,IVR B (INC) (Downgraded),2025-12-04,HOT,24.62,Q1 2027,Dec 2026,2026-12-04,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-04 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Single Quarter
NK Construction Group,Infomerics,Long Term Facilities,IVR B+ (INC) (Downgraded),2025-12-15,HOT,24.53,Q1 2027,Dec 2026,2026-12-15,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-15 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Single Quarter
A C D C Saideep Buildcon Pvt. Ltd.,CRISIL,Letter of Credit,A 4+,2025-12-23,HOT,24.0,Q1 2027,Dec 2026,2026-12-23,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Adhunik Infrastructures Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-10,HOT,20.5,Q1 2027,Dec 2026,2026-12-10,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-10 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
M S V Constructions Company,Infomerics,Short Term Bank Facilities,IVR D (INC)(Downgraded),2025-12-03,HOT,20.33,Q1 2027,Dec 2026,2026-12-03,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-03 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Single Quarter
Gayatri Infrastructure Ltd.,CRISIL,Term Loan,B+,2025-12-10,HOT,20.11,Q1 2027,Dec 2026,2026-12-10,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-10 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Panchdeep Constructions Ltd.,CRISIL,Bank Guarantee,A 4+,2025-12-18,HOT,20.0,Q1 2027,Dec 2026,2026-12-18,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-18 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Skandhanshi Infra Projects India Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-22,HOT,20.0,Q1 2027,Dec 2026,2026-12-22,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
B P R Infrastructure Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-12-17,HOT,20.0,Q1 2027,Dec 2026,2026-12-17,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your Bank Guarantee at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
BLN Infra Private Limited,Infomerics,Long Term Bank Facilities,IVR BB- (INC) (Reaffirmed),2025-12-05,HOT,19.72,Q1 2027,Dec 2026,2026-12-05,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-05 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Single Quarter
M S V Constructions Company,Infomerics,Long Term Bank Facilities,IVR D (INC)(Downgraded),2025-12-03,HOT,19.67,Q1 2027,Dec 2026,2026-12-03,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-03 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Single Quarter
Kashipur Infrastructure & Freight Terminal Pvt. Ltd.,BRICKWORK,Term Loan,BB-,2025-12-02,HOT,18.49,Q1 2027,Dec 2026,2026-12-02,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-02 — prime Q1 2027 renewal target,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Srijan Realty Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-11,HOT,17.65,Q1 2027,Dec 2026,2026-12-11,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Niladree Build-Tech Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-11,HOT,15.2,Q1 2027,Dec 2026,2026-12-11,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Both Q1+Q2
Aishwaryagiri Constructions Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-05,HOT,15.0,Q1 2027,Dec 2026,2026-12-05,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Tratec Engineers Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-10,HOT,14.0,Q1 2027,Dec 2026,2026-12-10,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-10 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Barak Valley Cements Ltd.,CARE,Term Loan,BB+,2025-12-05,HOT,14.0,Q1 2027,Dec 2026,2026-12-05,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
Sree Venkateswara Road Constructions Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-12-04,HOT,13.0,Q1 2027,Dec 2026,2026-12-04,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-04 — prime Q1 2027 renewal target,Your Bank Guarantee at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
P K Construction Shimla Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-22,HOT,12.75,Q1 2027,Dec 2026,2026-12-22,Sep–Oct 2026 — Call 3 months ahead,Tier 5 — HOT,5,1,Standard,D365,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Single Quarter
