Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Quarter,Escalation_Month,Escalation_Date,HOT_Date,Amt_num,Sector,NCD_Flag,Source,Why Target,ACER Pitch Angle,Call_Window,Also_In_Other_Quarter
Chenduran Cotspin (India) Pvt. Ltd.,CRISIL,Letter of Credit,A 4,2026-03-11,LOW/MEDIUM,Q1 2027,Mar 2027,2027-03-11,,8.5,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-11 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Dec 2026–Jan 2027,YES — dual-quarter
Chenduran Cotspin (India) Pvt. Ltd.,ACUITE,Letter Of credit,A 4+,2026-04-07,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,4.0,Other,Standard,D365,"INC since Apr 2026 (82 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Letter Of credit at ACUITE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Clean Coal Enterprises Pvt. Ltd.,ACUITE,Fund based financial facility/instrument,BB,2026-04-23,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,2.12,Mining/Minerals,Standard,D365,"INC since Apr 2026 (66 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Fund based financial facility/instrument at ACUITE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Clean Coal Enterprises Pvt. Ltd.,ACUITE,Long term Loans,BB,2026-04-23,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,2.88,Mining/Minerals,Standard,D365,"INC since Apr 2026 (66 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Long term Loans at ACUITE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Clean Coal Enterprises Pvt. Ltd.,ACUITE,Bank Guarantee,A 4+,2026-04-23,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,5.0,Mining/Minerals,Standard,D365,"INC since Apr 2026 (66 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at ACUITE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Clean Coal Enterprises Pvt. Ltd.,IND-RA,Fund-Based,A 4+,2026-03-06,LOW/MEDIUM,Q1 2027,Mar 2027,2027-03-06,,5.0,Mining,Standard,D365,INC rating hits ULTRA HOT on 2027-03-06 — prime Q1 2027 renewal target,Your Fund-Based at IND-RA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Dec 2026–Jan 2027,YES — dual-quarter
Clean Coal Enterprises Pvt. Ltd.,IND-RA,Fund-Based,A 4+,2026-03-06,LOW/MEDIUM,Q1 2027,Mar 2027,2027-03-06,,5.0,Mining,Standard,D365,INC rating hits ULTRA HOT on 2027-03-06 — prime Q1 2027 renewal target,Your Fund-Based at IND-RA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Dec 2026–Jan 2027,YES — dual-quarter
Crescent Tanners Pvt. Ltd.,BRICKWORK,Letter of Credit,A 4,2025-12-17,HOT,Q1 2027,Dec 2026,2026-12-17,,3.2,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your Letter of Credit at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,YES — dual-quarter
Crescent Tanners Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-12-17,HOT,Q1 2027,Dec 2026,2026-12-17,,0.5,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your Bank Guarantee at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,YES — dual-quarter
Crescent Tanners Pvt. Ltd.,CARE,Bank Guarantee,B-,2026-04-10,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,0.5,Other,Standard,D365,"INC since Apr 2026 (79 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Cyber Automobiles Pvt. Ltd.,BRICKWORK,Bank Guarantee,D,2026-04-03,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,0.5,Automobiles,Standard,D365,"INC since Apr 2026 (86 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at BRICKWORK hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Cyber Automobiles Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2026-03-16,LOW/MEDIUM,Q1 2027,Mar 2027,2027-03-16,,0.5,Manufacturing,Standard,D365,INC rating hits ULTRA HOT on 2027-03-16 — prime Q1 2027 renewal target,Your Bank Guarantee at BRICKWORK goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Dec 2026–Jan 2027,YES — dual-quarter
Cyber Automobiles Pvt. Ltd.,BRICKWORK,Term Loan,B-,2026-03-16,LOW/MEDIUM,Q1 2027,Mar 2027,2027-03-16,,0.34,Manufacturing,Standard,D365,INC rating hits ULTRA HOT on 2027-03-16 — prime Q1 2027 renewal target,Your Term Loan at BRICKWORK goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Dec 2026–Jan 2027,YES — dual-quarter
Cyber Automobiles Pvt. Ltd.,BRICKWORK,Term loans,D,2026-04-03,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,0.34,Automobiles,Standard,D365,"INC since Apr 2026 (86 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at BRICKWORK hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
D J S Printers Pvt. Ltd.,CARE,Term loans,B+,2026-04-21,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,8.5,Paper/Packaging,Standard,D365,"INC since Apr 2026 (68 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
D J S Printers Pvt. Ltd.,BRICKWORK,Term Loan,C,2026-03-23,LOW/MEDIUM,Q1 2027,Mar 2027,2027-03-23,,4.58,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-23 — prime Q1 2027 renewal target,Your Term Loan at BRICKWORK goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Dec 2026–Jan 2027,YES — dual-quarter
D J S Printers Pvt. Ltd.,BRICKWORK,Letter of Credit,A 4,2026-03-23,LOW/MEDIUM,Q1 2027,Mar 2027,2027-03-23,,3.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-23 — prime Q1 2027 renewal target,Your Letter of Credit at BRICKWORK goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Dec 2026–Jan 2027,YES — dual-quarter
Deep (India) Enterprises Pvt. Ltd.,BRICKWORK,Term Loan,C,2025-12-24,HOT,Q1 2027,Dec 2026,2026-12-24,,29.5,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,YES — dual-quarter
Deep (India) Enterprises Pvt. Ltd.,CARE,Fund based financial facility/instrument,B-,2026-05-04,LOW (<90 days),Q2 2027,May 2027,May 2027,Feb 2027,12.0,Other,Standard,D365,"INC since May 2026 (55 days). MEDIUM by Nov 2026, HOT by Feb 2027, ULTRA HOT by May 2027.",Your Fund based financial facility/instrument at CARE hits ULTRA HOT in May 2027. Start ACER process by Feb 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Deep (India) Enterprises Pvt. Ltd.,BRICKWORK,Fund-Based,C,2025-12-24,HOT,Q1 2027,Dec 2026,2026-12-24,,12.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Fund-Based at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,YES — dual-quarter
Deep (India) Enterprises Pvt. Ltd.,CARE,Term loans,B-,2026-05-04,LOW (<90 days),Q2 2027,May 2027,May 2027,Feb 2027,63.27,Other,Standard,D365,"INC since May 2026 (55 days). MEDIUM by Nov 2026, HOT by Feb 2027, ULTRA HOT by May 2027.",Your Term loans at CARE hits ULTRA HOT in May 2027. Start ACER process by Feb 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Deepak International Ltd.,CRISIL,Letter Of credit,A 4,2026-04-30,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,1.0,Other,Standard,D365,"INC since Apr 2026 (59 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Letter Of credit at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Deepak International Ltd.,CRISIL,Bank Guarantee,A 4,2026-04-30,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,4.0,Other,Standard,D365,"INC since Apr 2026 (59 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Deepak International Ltd.,BRICKWORK,Letter of Credit,A 4,2026-03-17,LOW/MEDIUM,Q1 2027,Mar 2027,2027-03-17,,1.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-17 — prime Q1 2027 renewal target,Your Letter of Credit at BRICKWORK goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Dec 2026–Jan 2027,YES — dual-quarter
Deepak International Ltd.,BRICKWORK,Term Loan,BB,2026-03-17,LOW/MEDIUM,Q1 2027,Mar 2027,2027-03-17,,7.03,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-17 — prime Q1 2027 renewal target,Your Term Loan at BRICKWORK goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Dec 2026–Jan 2027,YES — dual-quarter
Deepak International Ltd.,BRICKWORK,Bank Guarantee,A 4,2026-03-17,LOW/MEDIUM,Q1 2027,Mar 2027,2027-03-17,,15.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-17 — prime Q1 2027 renewal target,Your Bank Guarantee at BRICKWORK goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Dec 2026–Jan 2027,YES — dual-quarter
Deepak International Ltd.,CRISIL,Long term Loans,B,2026-04-30,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,1.65,Other,Standard,D365,"INC since Apr 2026 (59 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Long term Loans at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Deepak International Ltd.,CRISIL,Term loans,B,2026-04-30,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,3.35,Other,Standard,D365,"INC since Apr 2026 (59 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Evergreen International Ltd.,ACUITE,Bank Guarantee,A 4,2026-03-06,LOW/MEDIUM,Q1 2027,Mar 2027,2027-03-06,,0.25,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-06 — prime Q1 2027 renewal target,Your Bank Guarantee at ACUITE goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Dec 2026–Jan 2027,YES — dual-quarter
Evergreen International Ltd.,ACUITE,Term Loan,B-,2026-03-06,LOW/MEDIUM,Q1 2027,Mar 2027,2027-03-06,,1.11,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-06 — prime Q1 2027 renewal target,Your Term Loan at ACUITE goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Dec 2026–Jan 2027,YES — dual-quarter
Evergreen International Ltd.,ACUITE,Term Loan,B-,2026-03-06,LOW/MEDIUM,Q1 2027,Mar 2027,2027-03-06,,2.94,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-06 — prime Q1 2027 renewal target,Your Term Loan at ACUITE goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Dec 2026–Jan 2027,YES — dual-quarter
Evergreen International Ltd.,ACUITE,Letter of Credit,A 4,2026-03-06,LOW/MEDIUM,Q1 2027,Mar 2027,2027-03-06,,3.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-06 — prime Q1 2027 renewal target,Your Letter of Credit at ACUITE goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Dec 2026–Jan 2027,YES — dual-quarter
Evergreen International Ltd.,CARE,Term loans,B-,2026-04-16,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,1.3,Other,Standard,D365,"INC since Apr 2026 (73 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at CARE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Fenasia Ltd.,ACUITE,Term loans,B-,2026-04-17,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,2.5,Other,Standard,D365,"INC since Apr 2026 (72 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Term loans at ACUITE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Fenasia Ltd.,CARE,NCD/Bond,A 4,2025-12-17,HOT,Q1 2027,Dec 2026,2026-12-17,,1.0,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,YES — dual-quarter
Fenasia Ltd.,ACUITE,Letter Of credit,A 4,2026-04-17,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,1.0,Other,Standard,D365,"INC since Apr 2026 (72 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Letter Of credit at ACUITE hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Gama Infraprop Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2026-04-23,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,22.58,Construction/Infra,Standard,D365,"INC since Apr 2026 (66 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Bank Guarantee at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Gama Infraprop Pvt. Ltd.,CRISIL,Letter Of credit,A 4,2026-04-23,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,35.0,Construction/Infra,Standard,D365,"INC since Apr 2026 (66 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Letter Of credit at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Gama Infraprop Pvt. Ltd.,CRISIL,Long term Loans,B,2026-04-23,LOW (<90 days),Q2 2027,Apr 2027,Apr 2027,Jan 2027,274.43,Construction/Infra,Standard,D365,"INC since Apr 2026 (66 days). MEDIUM by Oct 2026, HOT by Jan 2027, ULTRA HOT by Apr 2027.",Your Long term Loans at CRISIL hits ULTRA HOT in Apr 2027. Start ACER process by Jan 2027 to be ahead of Q2 2027 renewal rush.,Jan–Feb 2027,YES — dual-quarter
Gama Infraprop Pvt. Ltd.,CARE,Term Loan,BB,2026-03-23,LOW/MEDIUM,Q1 2027,Mar 2027,2027-03-23,,11.89,Construction,Standard,D365,INC rating hits ULTRA HOT on 2027-03-23 — prime Q1 2027 renewal target,Your Term Loan at CARE goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,Dec 2026–Jan 2027,YES — dual-quarter
