Company Name,Total_Cr,Q1_Cr,Q2_Cr,Q1_Agencies,Q2_Agencies,All_Agencies,Different_Agencies_Q1_vs_Q2,Q1_Instruments,Q2_Instruments,Q1_Escalation_Month,Q2_Escalation_Month,Q1_Urgency,Q2_Urgency,Sector,NCD_Flag,Priority,Agency_Context,Pitch_Hook,Pitch_Close,Q1_Call_Window,Q2_Call_Window,First_Contact_Window,Why_Target
Venus Industrial Corpn. Pvt. Ltd.,51.5,18.5,33.0,ACUITE,CRISIL,"ACUITE, CRISIL",True,Letter of Credit / Short-Term Loan / Term Loan,Fund based financial facility/instrument / Letter Of credit / Long term Loans,Dec 2026,Apr 2027,HOT,LOW (<90 days),Other,Standard,HIGH PRIORITY — Multi-Agency,"Q1 rated by ACUITE, Q2 rated by CRISIL — uses multiple agencies","Your company already works with multiple rating agencies (ACUITE, CRISIL). ACER can compete on speed and cost — let us give you a third option.",Adding ACER's rating alongside your existing agencies gives lenders a second opinion and may improve your rating outcome.,Sep–Oct 2026,Jan–Feb 2027,Sep–Oct 2026,"Company INC at ACUITE, CRISIL in BOTH Q1 and Q2 2027 — multi-quarter, multi-instrument need. Total: ₹51.5 Cr."
Hayat Hospital Pvt. Ltd.,40.02,15.7,24.32,CRISIL,BRICKWORK,"BRICKWORK, CRISIL",True,Term Loan,Term loans,Mar 2027,Apr 2027,LOW/MEDIUM,LOW (<90 days),Healthcare,Standard,HIGH PRIORITY — Multi-Agency,"Q1 rated by CRISIL, Q2 rated by BRICKWORK — uses multiple agencies","Your company already works with multiple rating agencies (BRICKWORK, CRISIL). ACER can compete on speed and cost — let us give you a third option.",Adding ACER's rating alongside your existing agencies gives lenders a second opinion and may improve your rating outcome.,Dec 2026–Jan 2027,Jan–Feb 2027,Dec 2026–Jan 2027,"Company INC at BRICKWORK, CRISIL in BOTH Q1 and Q2 2027 — multi-quarter, multi-instrument need. Total: ₹40.0 Cr."
Vinayak Oil & Fats Pvt. Ltd.,38.5,23.5,15.0,CARE,CRISIL,"CARE, CRISIL",True,Bank Guarantee / Letter of Credit,Letter Of credit,Dec 2026,Apr 2027,HOT,LOW (<90 days),Energy,Standard,HIGH PRIORITY — Multi-Agency,"Q1 rated by CARE, Q2 rated by CRISIL — uses multiple agencies","Your company already works with multiple rating agencies (CARE, CRISIL). ACER can compete on speed and cost — let us give you a third option.",Adding ACER's rating alongside your existing agencies gives lenders a second opinion and may improve your rating outcome.,Sep–Oct 2026,Jan–Feb 2027,Sep–Oct 2026,"Company INC at CARE, CRISIL in BOTH Q1 and Q2 2027 — multi-quarter, multi-instrument need. Total: ₹38.5 Cr."
P S K Textiles India Pvt. Ltd.,37.51,9.05,28.46,BRICKWORK,IND-RA,"BRICKWORK, IND-RA",True,Bank Guarantee / Term Loan,Non-government debt,Mar 2027,Apr 2027,LOW/MEDIUM,LOW (<90 days),Textiles,NCD in Q2,HIGH PRIORITY — Multi-Agency,"Q1 rated by BRICKWORK, Q2 rated by IND-RA — uses multiple agencies","Your company already works with multiple rating agencies (BRICKWORK, IND-RA). ACER can compete on speed and cost — let us give you a third option.",Adding ACER's rating alongside your existing agencies gives lenders a second opinion and may improve your rating outcome.,Dec 2026–Jan 2027,Jan–Feb 2027,Dec 2026–Jan 2027,"Company INC at BRICKWORK, IND-RA in BOTH Q1 and Q2 2027 — multi-quarter, multi-instrument need. Total: ₹37.5 Cr."
Primatel Fibcom Ltd.,37.5,20.0,17.5,CRISIL,CARE,"CARE, CRISIL",True,Bank Guarantee / Letter of Credit,Bank Guarantee,Dec 2026,Apr 2027,HOT,LOW (<90 days),Other,Standard,HIGH PRIORITY — Multi-Agency,"Q1 rated by CRISIL, Q2 rated by CARE — uses multiple agencies","Your company already works with multiple rating agencies (CARE, CRISIL). ACER can compete on speed and cost — let us give you a third option.",Adding ACER's rating alongside your existing agencies gives lenders a second opinion and may improve your rating outcome.,Sep–Oct 2026,Jan–Feb 2027,Sep–Oct 2026,"Company INC at CARE, CRISIL in BOTH Q1 and Q2 2027 — multi-quarter, multi-instrument need. Total: ₹37.5 Cr."
Vannsh Life Sciences Pvt. Ltd.,36.66,16.76,19.9,BRICKWORK,CRISIL,"BRICKWORK, CRISIL",True,Letter of Credit / Term Loan,Term loans,Mar 2027,Apr 2027,LOW/MEDIUM,LOW (<90 days),Other,Standard,HIGH PRIORITY — Multi-Agency,"Q1 rated by BRICKWORK, Q2 rated by CRISIL — uses multiple agencies","Your company already works with multiple rating agencies (BRICKWORK, CRISIL). ACER can compete on speed and cost — let us give you a third option.",Adding ACER's rating alongside your existing agencies gives lenders a second opinion and may improve your rating outcome.,Dec 2026–Jan 2027,Jan–Feb 2027,Dec 2026–Jan 2027,"Company INC at BRICKWORK, CRISIL in BOTH Q1 and Q2 2027 — multi-quarter, multi-instrument need. Total: ₹36.7 Cr."
Chenduran Cotspin (India) Pvt. Ltd.,35.09,18.91,16.18,CRISIL,ACUITE,"ACUITE, CRISIL",True,Bank Guarantee / Letter of Credit / Term Loan,Letter Of credit / Short-term loan / Term loans,Mar 2027,Apr 2027,LOW/MEDIUM,LOW (<90 days),Other,Standard,HIGH PRIORITY — Multi-Agency,"Q1 rated by CRISIL, Q2 rated by ACUITE — uses multiple agencies","Your company already works with multiple rating agencies (ACUITE, CRISIL). ACER can compete on speed and cost — let us give you a third option.",Adding ACER's rating alongside your existing agencies gives lenders a second opinion and may improve your rating outcome.,Dec 2026–Jan 2027,Jan–Feb 2027,Dec 2026–Jan 2027,"Company INC at ACUITE, CRISIL in BOTH Q1 and Q2 2027 — multi-quarter, multi-instrument need. Total: ₹35.1 Cr."
Affluence Commodities Pvt. Ltd.,34.43,25.0,9.43,CARE,ACUITE,"ACUITE, CARE",True,Bank Guarantee,Bank Guarantee,Mar 2027,Apr 2027,LOW/MEDIUM,LOW (<90 days),Other,Standard,HIGH PRIORITY — Multi-Agency,"Q1 rated by CARE, Q2 rated by ACUITE — uses multiple agencies","Your company already works with multiple rating agencies (ACUITE, CARE). ACER can compete on speed and cost — let us give you a third option.",Adding ACER's rating alongside your existing agencies gives lenders a second opinion and may improve your rating outcome.,Dec 2026–Jan 2027,Jan–Feb 2027,Dec 2026–Jan 2027,"Company INC at ACUITE, CARE in BOTH Q1 and Q2 2027 — multi-quarter, multi-instrument need. Total: ₹34.4 Cr."
Deepak International Ltd.,33.03,23.03,10.0,BRICKWORK,CRISIL,"BRICKWORK, CRISIL",True,Bank Guarantee / Letter of Credit / Term Loan,Bank Guarantee / Letter Of credit / Long term Loans / Term loans,Mar 2027,Apr 2027,LOW/MEDIUM,LOW (<90 days),Other,Standard,HIGH PRIORITY — Multi-Agency,"Q1 rated by BRICKWORK, Q2 rated by CRISIL — uses multiple agencies","Your company already works with multiple rating agencies (BRICKWORK, CRISIL). ACER can compete on speed and cost — let us give you a third option.",Adding ACER's rating alongside your existing agencies gives lenders a second opinion and may improve your rating outcome.,Dec 2026–Jan 2027,Jan–Feb 2027,Dec 2026–Jan 2027,"Company INC at BRICKWORK, CRISIL in BOTH Q1 and Q2 2027 — multi-quarter, multi-instrument need. Total: ₹33.0 Cr."
Niladree Build-Tech Pvt. Ltd.,27.56,16.2,11.36,CRISIL,IND-RA,"CRISIL, IND-RA",True,Letter of Credit / Term Loan,Term loans,Dec 2026,Apr 2027,HOT,LOW (<90 days),Construction,Standard,HIGH PRIORITY — Multi-Agency,"Q1 rated by CRISIL, Q2 rated by IND-RA — uses multiple agencies","Your company already works with multiple rating agencies (CRISIL, IND-RA). ACER can compete on speed and cost — let us give you a third option.",Adding ACER's rating alongside your existing agencies gives lenders a second opinion and may improve your rating outcome.,Sep–Oct 2026,Jan–Feb 2027,Sep–Oct 2026,"Company INC at CRISIL, IND-RA in BOTH Q1 and Q2 2027 — multi-quarter, multi-instrument need. Total: ₹27.6 Cr."
S B W Udyog Ltd.,27.1,9.0,18.1,CRISIL,CARE,"CARE, CRISIL",True,Bank Guarantee / Term Loan,Bank Guarantee / Term loans,Dec 2026,Apr 2027,HOT,LOW (<90 days),Other,Standard,HIGH PRIORITY — Multi-Agency,"Q1 rated by CRISIL, Q2 rated by CARE — uses multiple agencies","Your company already works with multiple rating agencies (CARE, CRISIL). ACER can compete on speed and cost — let us give you a third option.",Adding ACER's rating alongside your existing agencies gives lenders a second opinion and may improve your rating outcome.,Sep–Oct 2026,Jan–Feb 2027,Sep–Oct 2026,"Company INC at CARE, CRISIL in BOTH Q1 and Q2 2027 — multi-quarter, multi-instrument need. Total: ₹27.1 Cr."
S V E Drilling Tools Pvt. Ltd.,21.5,11.5,10.0,CRISIL,CARE,"CARE, CRISIL",True,Letter of Credit / Term Loan,Term loans,Mar 2027,Apr 2027,LOW/MEDIUM,LOW (<90 days),Other,Standard,HIGH PRIORITY — Multi-Agency,"Q1 rated by CRISIL, Q2 rated by CARE — uses multiple agencies","Your company already works with multiple rating agencies (CARE, CRISIL). ACER can compete on speed and cost — let us give you a third option.",Adding ACER's rating alongside your existing agencies gives lenders a second opinion and may improve your rating outcome.,Dec 2026–Jan 2027,Jan–Feb 2027,Dec 2026–Jan 2027,"Company INC at CARE, CRISIL in BOTH Q1 and Q2 2027 — multi-quarter, multi-instrument need. Total: ₹21.5 Cr."
Clean Coal Enterprises Pvt. Ltd.,20.0,10.0,10.0,IND-RA,ACUITE,"ACUITE, IND-RA",True,Fund-Based,Bank Guarantee / Fund based financial facility/instrument / Long term Loans,Mar 2027,Apr 2027,LOW/MEDIUM,LOW (<90 days),Mining/Minerals,Standard,HIGH PRIORITY — Multi-Agency,"Q1 rated by IND-RA, Q2 rated by ACUITE — uses multiple agencies","Your company already works with multiple rating agencies (ACUITE, IND-RA). ACER can compete on speed and cost — let us give you a third option.",Adding ACER's rating alongside your existing agencies gives lenders a second opinion and may improve your rating outcome.,Dec 2026–Jan 2027,Jan–Feb 2027,Dec 2026–Jan 2027,"Company INC at ACUITE, IND-RA in BOTH Q1 and Q2 2027 — multi-quarter, multi-instrument need. Total: ₹20.0 Cr."
Aries Corporate Services Pvt. Ltd.,18.0,5.0,13.0,BRICKWORK,CARE,"BRICKWORK, CARE",True,Bank Guarantee,Non-government debt,Dec 2026,Apr 2027,HOT,LOW (<90 days),Other,NCD in Q2,HIGH PRIORITY — Multi-Agency,"Q1 rated by BRICKWORK, Q2 rated by CARE — uses multiple agencies","Your company already works with multiple rating agencies (BRICKWORK, CARE). ACER can compete on speed and cost — let us give you a third option.",Adding ACER's rating alongside your existing agencies gives lenders a second opinion and may improve your rating outcome.,Sep–Oct 2026,Jan–Feb 2027,Sep–Oct 2026,"Company INC at BRICKWORK, CARE in BOTH Q1 and Q2 2027 — multi-quarter, multi-instrument need. Total: ₹18.0 Cr."
Kirti Stampings Pvt. Ltd.,16.23,9.0,7.23,CRISIL,BRICKWORK,"BRICKWORK, CRISIL",True,Letter of Credit / Term Loan,Letter Of credit / Term loans,Mar 2027,Apr 2027,LOW/MEDIUM,LOW (<90 days),Other,Standard,HIGH PRIORITY — Multi-Agency,"Q1 rated by CRISIL, Q2 rated by BRICKWORK — uses multiple agencies","Your company already works with multiple rating agencies (BRICKWORK, CRISIL). ACER can compete on speed and cost — let us give you a third option.",Adding ACER's rating alongside your existing agencies gives lenders a second opinion and may improve your rating outcome.,Dec 2026–Jan 2027,Jan–Feb 2027,Dec 2026–Jan 2027,"Company INC at BRICKWORK, CRISIL in BOTH Q1 and Q2 2027 — multi-quarter, multi-instrument need. Total: ₹16.2 Cr."
D J S Printers Pvt. Ltd.,16.08,7.58,8.5,BRICKWORK,CARE,"BRICKWORK, CARE",True,Letter of Credit / Term Loan,Term loans,Mar 2027,Apr 2027,LOW/MEDIUM,LOW (<90 days),Other,Standard,HIGH PRIORITY — Multi-Agency,"Q1 rated by BRICKWORK, Q2 rated by CARE — uses multiple agencies","Your company already works with multiple rating agencies (BRICKWORK, CARE). ACER can compete on speed and cost — let us give you a third option.",Adding ACER's rating alongside your existing agencies gives lenders a second opinion and may improve your rating outcome.,Dec 2026–Jan 2027,Jan–Feb 2027,Dec 2026–Jan 2027,"Company INC at BRICKWORK, CARE in BOTH Q1 and Q2 2027 — multi-quarter, multi-instrument need. Total: ₹16.1 Cr."
P S V Precast Pvt. Ltd.,15.9,9.25,6.65,CRISIL,CARE,"CARE, CRISIL",True,Term Loan,Term loans,Dec 2026,Apr 2027,HOT,LOW (<90 days),Other,Standard,HIGH PRIORITY — Multi-Agency,"Q1 rated by CRISIL, Q2 rated by CARE — uses multiple agencies","Your company already works with multiple rating agencies (CARE, CRISIL). ACER can compete on speed and cost — let us give you a third option.",Adding ACER's rating alongside your existing agencies gives lenders a second opinion and may improve your rating outcome.,Sep–Oct 2026,Jan–Feb 2027,Sep–Oct 2026,"Company INC at CARE, CRISIL in BOTH Q1 and Q2 2027 — multi-quarter, multi-instrument need. Total: ₹15.9 Cr."
Jayachandran Industries Pvt. Ltd.,13.6,7.0,6.6,ACUITE,CRISIL,"ACUITE, CRISIL",True,Letter of Credit,Long term Loans / Term loans,Dec 2026,Apr 2027,HOT,LOW (<90 days),Other,Standard,HIGH PRIORITY — Multi-Agency,"Q1 rated by ACUITE, Q2 rated by CRISIL — uses multiple agencies","Your company already works with multiple rating agencies (ACUITE, CRISIL). ACER can compete on speed and cost — let us give you a third option.",Adding ACER's rating alongside your existing agencies gives lenders a second opinion and may improve your rating outcome.,Sep–Oct 2026,Jan–Feb 2027,Sep–Oct 2026,"Company INC at ACUITE, CRISIL in BOTH Q1 and Q2 2027 — multi-quarter, multi-instrument need. Total: ₹13.6 Cr."
Kisan Oleochem & Derivatives Pvt. Ltd.,11.72,0.5,11.22,ACUITE,BRICKWORK,"ACUITE, BRICKWORK",True,Term Loan,Fund based financial facility/instrument / Term loans,Dec 2026,Apr 2027,HOT,LOW (<90 days),Chemicals/Pharma,Standard,HIGH PRIORITY — Multi-Agency,"Q1 rated by ACUITE, Q2 rated by BRICKWORK — uses multiple agencies","Your company already works with multiple rating agencies (ACUITE, BRICKWORK). ACER can compete on speed and cost — let us give you a third option.",Adding ACER's rating alongside your existing agencies gives lenders a second opinion and may improve your rating outcome.,Sep–Oct 2026,Jan–Feb 2027,Sep–Oct 2026,"Company INC at ACUITE, BRICKWORK in BOTH Q1 and Q2 2027 — multi-quarter, multi-instrument need. Total: ₹11.7 Cr."
Sukata Tractor Parts Pvt. Ltd.,10.49,4.05,6.44,CRISIL,IND-RA,"CRISIL, IND-RA",True,Term Loan,Non-government debt,Dec 2026,Apr 2027,HOT,LOW (<90 days),Other,NCD in Q2,HIGH PRIORITY — Multi-Agency,"Q1 rated by CRISIL, Q2 rated by IND-RA — uses multiple agencies","Your company already works with multiple rating agencies (CRISIL, IND-RA). ACER can compete on speed and cost — let us give you a third option.",Adding ACER's rating alongside your existing agencies gives lenders a second opinion and may improve your rating outcome.,Sep–Oct 2026,Jan–Feb 2027,Sep–Oct 2026,"Company INC at CRISIL, IND-RA in BOTH Q1 and Q2 2027 — multi-quarter, multi-instrument need. Total: ₹10.5 Cr."
Sidwin Fabric Pvt. Ltd.,10.03,5.0,5.03,CRISIL,ICRA,"CRISIL, ICRA",True,Term Loan,Non-government debt,Dec 2026,Apr 2027,HOT,LOW (<90 days),Textiles,NCD in Q2,HIGH PRIORITY — Multi-Agency,"Q1 rated by CRISIL, Q2 rated by ICRA — uses multiple agencies","Your company already works with multiple rating agencies (CRISIL, ICRA). ACER can compete on speed and cost — let us give you a third option.",Adding ACER's rating alongside your existing agencies gives lenders a second opinion and may improve your rating outcome.,Sep–Oct 2026,Jan–Feb 2027,Sep–Oct 2026,"Company INC at CRISIL, ICRA in BOTH Q1 and Q2 2027 — multi-quarter, multi-instrument need. Total: ₹10.0 Cr."
Anubhav Plast Ltd.,10.0,8.5,1.5,IND-RA,CRISIL,"CRISIL, IND-RA",True,NCD/Bond,Bank Guarantee,Dec 2026,Apr 2027,HOT,LOW (<90 days),Other,NCD in Q1,HIGH PRIORITY — Multi-Agency,"Q1 rated by IND-RA, Q2 rated by CRISIL — uses multiple agencies","Your company already works with multiple rating agencies (CRISIL, IND-RA). ACER can compete on speed and cost — let us give you a third option.",Adding ACER's rating alongside your existing agencies gives lenders a second opinion and may improve your rating outcome.,Sep–Oct 2026,Jan–Feb 2027,Sep–Oct 2026,"Company INC at CRISIL, IND-RA in BOTH Q1 and Q2 2027 — multi-quarter, multi-instrument need. Total: ₹10.0 Cr."
Evergreen International Ltd.,8.6,7.3,1.3,ACUITE,CARE,"ACUITE, CARE",True,Bank Guarantee / Letter of Credit / Term Loan,Term loans,Mar 2027,Apr 2027,LOW/MEDIUM,LOW (<90 days),Other,Standard,HIGH PRIORITY — Multi-Agency,"Q1 rated by ACUITE, Q2 rated by CARE — uses multiple agencies","Your company already works with multiple rating agencies (ACUITE, CARE). ACER can compete on speed and cost — let us give you a third option.",Adding ACER's rating alongside your existing agencies gives lenders a second opinion and may improve your rating outcome.,Dec 2026–Jan 2027,Jan–Feb 2027,Dec 2026–Jan 2027,"Company INC at ACUITE, CARE in BOTH Q1 and Q2 2027 — multi-quarter, multi-instrument need. Total: ₹8.6 Cr."
Smart Stainless Tubes Pvt. Ltd.,7.35,5.06,2.29,ACUITE,CARE,"ACUITE, CARE",True,Bank Guarantee / Term Loan,Bank Guarantee / Term loans,Dec 2026,Apr 2027,HOT,LOW (<90 days),Other,Standard,HIGH PRIORITY — Multi-Agency,"Q1 rated by ACUITE, Q2 rated by CARE — uses multiple agencies","Your company already works with multiple rating agencies (ACUITE, CARE). ACER can compete on speed and cost — let us give you a third option.",Adding ACER's rating alongside your existing agencies gives lenders a second opinion and may improve your rating outcome.,Sep–Oct 2026,Jan–Feb 2027,Sep–Oct 2026,"Company INC at ACUITE, CARE in BOTH Q1 and Q2 2027 — multi-quarter, multi-instrument need. Total: ₹7.3 Cr."
Fenasia Ltd.,4.5,1.0,3.5,CARE,ACUITE,"ACUITE, CARE",True,NCD/Bond,Letter Of credit / Term loans,Dec 2026,Apr 2027,HOT,LOW (<90 days),Other,NCD in Q1,HIGH PRIORITY — Multi-Agency,"Q1 rated by CARE, Q2 rated by ACUITE — uses multiple agencies","Your company already works with multiple rating agencies (ACUITE, CARE). ACER can compete on speed and cost — let us give you a third option.",Adding ACER's rating alongside your existing agencies gives lenders a second opinion and may improve your rating outcome.,Sep–Oct 2026,Jan–Feb 2027,Sep–Oct 2026,"Company INC at ACUITE, CARE in BOTH Q1 and Q2 2027 — multi-quarter, multi-instrument need. Total: ₹4.5 Cr."
Crescent Tanners Pvt. Ltd.,4.2,3.7,0.5,BRICKWORK,CARE,"BRICKWORK, CARE",True,Bank Guarantee / Letter of Credit,Bank Guarantee,Dec 2026,Apr 2027,HOT,LOW (<90 days),Other,Standard,HIGH PRIORITY — Multi-Agency,"Q1 rated by BRICKWORK, Q2 rated by CARE — uses multiple agencies","Your company already works with multiple rating agencies (BRICKWORK, CARE). ACER can compete on speed and cost — let us give you a third option.",Adding ACER's rating alongside your existing agencies gives lenders a second opinion and may improve your rating outcome.,Sep–Oct 2026,Jan–Feb 2027,Sep–Oct 2026,"Company INC at BRICKWORK, CARE in BOTH Q1 and Q2 2027 — multi-quarter, multi-instrument need. Total: ₹4.2 Cr."
Joyguru Cold Storage Pvt. Ltd.,2.34,2.27,0.07,CRISIL,CARE,"CARE, CRISIL",True,Bank Guarantee / Term Loan,Bank Guarantee,Dec 2026,Apr 2027,HOT,LOW (<90 days),Other,Standard,HIGH PRIORITY — Multi-Agency,"Q1 rated by CRISIL, Q2 rated by CARE — uses multiple agencies","Your company already works with multiple rating agencies (CARE, CRISIL). ACER can compete on speed and cost — let us give you a third option.",Adding ACER's rating alongside your existing agencies gives lenders a second opinion and may improve your rating outcome.,Sep–Oct 2026,Jan–Feb 2027,Sep–Oct 2026,"Company INC at CARE, CRISIL in BOTH Q1 and Q2 2027 — multi-quarter, multi-instrument need. Total: ₹2.3 Cr."
