Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Q1_Month,Escalation_Date,Tier,Priority_Score,Agency_Count,Calling_Sequence,Amount_Cr,Sector,NCD_Flag,Source,Why Target,ACER Pitch Angle
Magnolia Martinique Clothing Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-05,HOT,Dec 2026,2026-12-05,Tier 2 — Dual Agency,7,2,Sep 2026 — RM,12.0,Textiles,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Amba Shakti Ispat Ltd.,CRISIL,Letter of Credit,A 4,2025-12-11,HOT,Dec 2026,2026-12-11,Tier 2 — Dual Agency,7,2,Sep 2026 — RM,12.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Jaypee Projects Ltd.,CRISIL,Term Loan,B+,2025-12-11,HOT,Dec 2026,2026-12-11,Tier 2 — Dual Agency,7,2,Sep 2026 — RM,8.0,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Jaypee Projects Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-11,HOT,Dec 2026,2026-12-11,Tier 2 — Dual Agency,7,2,Sep 2026 — RM,7.0,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
G S R Ventures Pvt. Ltd.,CRISIL,Term Loan,B+,2025-12-11,HOT,Dec 2026,2026-12-11,Tier 2 — Dual Agency,7,2,Sep 2026 — RM,5.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Mahalaxmi Automotives Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-05,HOT,Dec 2026,2026-12-05,Tier 2 — Dual Agency,7,2,Sep 2026 — RM,3.0,Manufacturing,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Jay Bharat Spices Pvt. Ltd.,CRISIL,Letter of Credit,A 4,2025-12-08,HOT,Dec 2026,2026-12-08,Tier 2 — Dual Agency,7,2,Sep 2026 — RM,3.0,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Amba Shakti Ispat Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-11,HOT,Dec 2026,2026-12-11,Tier 2 — Dual Agency,7,2,Sep 2026 — RM,3.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Autotech Non-Wovens Pvt. Ltd.,CRISIL,Letter of Credit,A 4,2025-12-05,HOT,Dec 2026,2026-12-05,Tier 2 — Dual Agency,7,2,Sep 2026 — RM,2.5,Manufacturing,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Mahalaxmi Automotives Pvt. Ltd.,CRISIL,Short-Term Loan,A 4,2025-12-05,HOT,Dec 2026,2026-12-05,Tier 2 — Dual Agency,7,2,Sep 2026 — RM,1.8,Manufacturing,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Short-Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Aditya Timpack Pvt. Ltd.,CARE,Term Loan,B,2025-12-02,HOT,Dec 2026,2026-12-02,Tier 2 — Dual Agency,7,2,Sep 2026 — RM,4.57,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-02 — prime Q1 2027 renewal target,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Aditya Timpack Pvt. Ltd.,CARE,Term Loan,B,2025-12-02,HOT,Dec 2026,2026-12-02,Tier 2 — Dual Agency,7,2,Sep 2026 — RM,2.38,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-02 — prime Q1 2027 renewal target,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Aditya Timpack Pvt. Ltd.,CARE,Term Loan,B,2025-12-02,HOT,Dec 2026,2026-12-02,Tier 2 — Dual Agency,7,2,Sep 2026 — RM,1.84,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-02 — prime Q1 2027 renewal target,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Aditya Timpack Pvt. Ltd.,CARE,Letter of Credit,A 4,2025-12-02,HOT,Dec 2026,2026-12-02,Tier 2 — Dual Agency,7,2,Sep 2026 — RM,1.5,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-02 — prime Q1 2027 renewal target,Your Letter of Credit at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Aditya Timpack Pvt. Ltd.,CARE,Bank Guarantee,A 4,2025-12-02,HOT,Dec 2026,2026-12-02,Tier 2 — Dual Agency,7,2,Sep 2026 — RM,0.5,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-02 — prime Q1 2027 renewal target,Your Bank Guarantee at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Pawan Communications Pvt. Ltd.,CARE,Bank Guarantee,A 4,2025-12-05,HOT,Dec 2026,2026-12-05,Tier 2 — Dual Agency,7,2,Sep 2026 — RM,2.5,IT/Technology,Standard,D365,INC rating hits ULTRA HOT on 2026-12-05 — prime Q1 2027 renewal target,Your Bank Guarantee at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Abhiraj Engicon Pvt. Ltd.,CARE,Bank Guarantee,A 4,2025-12-11,HOT,Dec 2026,2026-12-11,Tier 2 — Dual Agency,7,2,Sep 2026 — RM,2.5,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your Bank Guarantee at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Sidhi Vinayak Metcom Ltd.,CARE,Bank Guarantee,A 4,2025-12-12,HOT,Dec 2026,2026-12-12,Tier 2 — Dual Agency,7,2,Sep 2026 — RM,1.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-12 — prime Q1 2027 renewal target,Your Bank Guarantee at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Shrishaila Electricals (India) Pvt. Ltd.,CARE,Bank Guarantee,A 4,2025-12-16,HOT,Dec 2026,2026-12-16,Tier 2 — Dual Agency,7,2,Sep 2026 — RM,11.0,Energy,Standard,D365,INC rating hits ULTRA HOT on 2026-12-16 — prime Q1 2027 renewal target,Your Bank Guarantee at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Good Greens India Pvt. Ltd.,BRICKWORK,Term Loan,C,2025-12-08,HOT,Dec 2026,2026-12-08,Tier 2 — Dual Agency,7,2,Sep 2026 — RM,0.45,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Amba Shakti Ispat Ltd.,BRICKWORK,Letter of Credit,A 4,2025-12-10,HOT,Dec 2026,2026-12-10,Tier 2 — Dual Agency,7,2,Sep 2026 — RM,12.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-10 — prime Q1 2027 renewal target,Your Letter of Credit at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Amba Shakti Ispat Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-12-10,HOT,Dec 2026,2026-12-10,Tier 2 — Dual Agency,7,2,Sep 2026 — RM,2.1,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-10 — prime Q1 2027 renewal target,Your Bank Guarantee at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Goa Sponge & Power Ltd.,ACUITE,Bank Guarantee,A 4+,2025-12-02,HOT,Dec 2026,2026-12-02,Tier 2 — Dual Agency,7,2,Sep 2026 — RM,2.5,Energy,Standard,D365,INC rating hits ULTRA HOT on 2026-12-02 — prime Q1 2027 renewal target,Your Bank Guarantee at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Mahalaxmi Automotives Pvt. Ltd.,ACUITE,Fund-Based,B,2025-12-09,HOT,Dec 2026,2026-12-09,Tier 2 — Dual Agency,7,2,Sep 2026 — RM,23.0,Manufacturing,Standard,D365,INC rating hits ULTRA HOT on 2026-12-09 — prime Q1 2027 renewal target,Your Fund-Based at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Mahalaxmi Automotives Pvt. Ltd.,ACUITE,Fund-Based,B-,2025-12-09,HOT,Dec 2026,2026-12-09,Tier 2 — Dual Agency,7,2,Sep 2026 — RM,17.0,Manufacturing,Standard,D365,INC rating hits ULTRA HOT on 2026-12-09 — prime Q1 2027 renewal target,Your Fund-Based at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Mahalaxmi Automotives Pvt. Ltd.,ACUITE,Term Loan,B,2025-12-09,HOT,Dec 2026,2026-12-09,Tier 2 — Dual Agency,7,2,Sep 2026 — RM,7.7,Manufacturing,Standard,D365,INC rating hits ULTRA HOT on 2026-12-09 — prime Q1 2027 renewal target,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Mahalaxmi Automotives Pvt. Ltd.,ACUITE,Term Loan,B-,2025-12-09,HOT,Dec 2026,2026-12-09,Tier 2 — Dual Agency,7,2,Sep 2026 — RM,6.0,Manufacturing,Standard,D365,INC rating hits ULTRA HOT on 2026-12-09 — prime Q1 2027 renewal target,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Mahalaxmi Automotives Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,2025-12-09,HOT,Dec 2026,2026-12-09,Tier 2 — Dual Agency,7,2,Sep 2026 — RM,3.0,Manufacturing,Standard,D365,INC rating hits ULTRA HOT on 2026-12-09 — prime Q1 2027 renewal target,Your Bank Guarantee at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Shrishaila Electricals (India) Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,2025-12-26,HOT,Dec 2026,2026-12-26,Tier 2 — Dual Agency,7,2,Sep 2026 — RM,8.0,Energy,Standard,D365,INC rating hits ULTRA HOT on 2026-12-26 — prime Q1 2027 renewal target,Your Bank Guarantee at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Shrishaila Electricals (India) Pvt. Ltd.,ACUITE,Short-Term Loan,A 4,2025-12-26,HOT,Dec 2026,2026-12-26,Tier 2 — Dual Agency,7,2,Sep 2026 — RM,6.93,Energy,Standard,D365,INC rating hits ULTRA HOT on 2026-12-26 — prime Q1 2027 renewal target,Your Short-Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Shrishaila Electricals (India) Pvt. Ltd.,ACUITE,Term Loan,B,2025-12-26,HOT,Dec 2026,2026-12-26,Tier 2 — Dual Agency,7,2,Sep 2026 — RM,0.07,Energy,Standard,D365,INC rating hits ULTRA HOT on 2026-12-26 — prime Q1 2027 renewal target,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Magnolia Martinique Clothing Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-10,HOT,Dec 2026,2026-12-10,Tier 2 — Dual Agency,7,2,Sep 2026 — RM,15.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-10 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Relcom Technology Pvt. Ltd.,ICRA,Term Loan,B,2025-12-24,HOT,Dec 2026,2026-12-24,Tier 2 — Dual Agency,7,2,Sep 2026 — RM,5.0,IT/Technology,Standard,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Relcom Technology Pvt. Ltd.,ICRA,Non-Fund-Based,B,2025-12-24,HOT,Dec 2026,2026-12-24,Tier 2 — Dual Agency,7,2,Sep 2026 — RM,1.0,IT/Technology,Standard,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
T B E A Energy (India) Pvt. Ltd.,ACUITE,Short-Term Loan,A 4+,2025-12-30,LOW/MEDIUM,Dec 2026,2026-12-30,Tier 2 — Dual Agency,6,2,Sep 2026 — RM,71.25,Energy,Standard,D365,INC rating hits ULTRA HOT on 2026-12-30 — prime Q1 2027 renewal target,Your Short-Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
T B E A Energy (India) Pvt. Ltd.,ACUITE,Term Loan,BB-,2025-12-30,LOW/MEDIUM,Dec 2026,2026-12-30,Tier 2 — Dual Agency,6,2,Sep 2026 — RM,35.0,Energy,Standard,D365,INC rating hits ULTRA HOT on 2026-12-30 — prime Q1 2027 renewal target,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
G S R Ventures Pvt. Ltd.,IND-RA,Fund-Based,A 4,2026-01-16,LOW/MEDIUM,Jan 2027,2027-01-16,Tier 2 — Dual Agency,5,2,Sep 2026 — RM,50.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-01-16 — prime Q1 2027 renewal target,Your Fund-Based at IND-RA goes critical in Jan 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Jaypee Projects Ltd.,ACUITE,Short-Term Loan,A 4,2026-02-10,LOW/MEDIUM,Feb 2027,2027-02-10,Tier 2 — Dual Agency,4,2,Sep 2026 — RM,2.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-02-10 — prime Q1 2027 renewal target,Your Short-Term Loan at ACUITE goes critical in Feb 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Dembla Valves Ltd.,CARE,NCD/Bond,BB+/A4+,2026-03-19,LOW/MEDIUM,Mar 2027,2027-03-19,Tier 2 — Dual Agency,4,2,Sep 2026 — RM,49.5,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2027-03-19 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Machino Plastics Ltd.,ICRA,Term Loan,BB+,2026-03-11,LOW/MEDIUM,Mar 2027,2027-03-11,Tier 2 — Dual Agency,4,2,Sep 2026 — RM,162.2,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2027-03-11 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Machino Plastics Ltd.,ICRA,NCD/Bond,BB+/A4+,2026-03-11,LOW/MEDIUM,Mar 2027,2027-03-11,Tier 2 — Dual Agency,4,2,Sep 2026 — RM,5.0,Chemicals/Pharma,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2027-03-11 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Machino Plastics Ltd.,ICRA,NCD/Bond,BB+/A4+,2026-03-11,LOW/MEDIUM,Mar 2027,2027-03-11,Tier 2 — Dual Agency,4,2,Sep 2026 — RM,0.8,Chemicals/Pharma,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2027-03-11 — prime Q1 2027 renewal target,Your NCD/Bond at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Machino Plastics Ltd.,CRISIL,Term Loan,B,2026-03-10,LOW/MEDIUM,Mar 2027,2027-03-10,Tier 2 — Dual Agency,3,2,Sep 2026 — RM,84.96,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2027-03-10 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Akula Boards Pvt. Ltd.,CRISIL,Term Loan,B,2026-03-11,LOW/MEDIUM,Mar 2027,2027-03-11,Tier 2 — Dual Agency,3,2,Sep 2026 — RM,17.0,Paper/Packaging,Standard,D365,INC rating hits ULTRA HOT on 2027-03-11 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Luna Chemical Inds. Pvt. Ltd.,CRISIL,Letter of Credit,A 4,2026-03-17,LOW/MEDIUM,Mar 2027,2027-03-17,Tier 2 — Dual Agency,3,2,Sep 2026 — RM,15.65,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2027-03-17 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Machino Plastics Ltd.,CRISIL,Term Loan,B,2026-03-10,LOW/MEDIUM,Mar 2027,2027-03-10,Tier 2 — Dual Agency,3,2,Sep 2026 — RM,12.34,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2027-03-10 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Aditya Timpack Pvt. Ltd.,CRISIL,Term Loan,B,2026-03-12,LOW/MEDIUM,Mar 2027,2027-03-12,Tier 2 — Dual Agency,3,2,Sep 2026 — RM,11.68,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-12 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Machino Plastics Ltd.,CRISIL,Fund-Based,B,2026-03-10,LOW/MEDIUM,Mar 2027,2027-03-10,Tier 2 — Dual Agency,3,2,Sep 2026 — RM,10.0,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2027-03-10 — prime Q1 2027 renewal target,Your Fund-Based at CRISIL goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Luna Chemical Inds. Pvt. Ltd.,CRISIL,Term Loan,B,2026-03-17,LOW/MEDIUM,Mar 2027,2027-03-17,Tier 2 — Dual Agency,3,2,Sep 2026 — RM,7.0,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2027-03-17 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Luna Chemical Inds. Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2026-03-17,LOW/MEDIUM,Mar 2027,2027-03-17,Tier 2 — Dual Agency,3,2,Sep 2026 — RM,5.0,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2027-03-17 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Mahalaxmi Crafts & Tissues Pvt. Ltd.,CRISIL,Term Loan,B,2026-03-24,LOW/MEDIUM,Mar 2027,2027-03-24,Tier 2 — Dual Agency,3,2,Sep 2026 — RM,5.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-24 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Akula Boards Pvt. Ltd.,CRISIL,Letter of Credit,A 4,2026-03-11,LOW/MEDIUM,Mar 2027,2027-03-11,Tier 2 — Dual Agency,3,2,Sep 2026 — RM,3.0,Paper/Packaging,Standard,D365,INC rating hits ULTRA HOT on 2027-03-11 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Mahalaxmi Crafts & Tissues Pvt. Ltd.,CRISIL,Letter of Credit,A 4,2026-03-24,LOW/MEDIUM,Mar 2027,2027-03-24,Tier 2 — Dual Agency,3,2,Sep 2026 — RM,1.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-24 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Mahalaxmi Crafts & Tissues Pvt. Ltd.,CRISIL,Term Loan,B,2026-03-24,LOW/MEDIUM,Mar 2027,2027-03-24,Tier 2 — Dual Agency,3,2,Sep 2026 — RM,0.17,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-24 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Mahalaxmi Crafts & Tissues Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2026-03-24,LOW/MEDIUM,Mar 2027,2027-03-24,Tier 2 — Dual Agency,3,2,Sep 2026 — RM,0.13,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-24 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Dembla Valves Ltd.,CARE,Bank Guarantee,A 4+,2026-03-19,LOW/MEDIUM,Mar 2027,2027-03-19,Tier 2 — Dual Agency,3,2,Sep 2026 — RM,48.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-19 — prime Q1 2027 renewal target,Your Bank Guarantee at CARE goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Dembla Valves Ltd.,CARE,Term Loan,BB+,2026-03-19,LOW/MEDIUM,Mar 2027,2027-03-19,Tier 2 — Dual Agency,3,2,Sep 2026 — RM,5.78,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-19 — prime Q1 2027 renewal target,Your Term Loan at CARE goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Good Greens India Pvt. Ltd.,CARE,Term Loan,BB-,2026-03-23,LOW/MEDIUM,Mar 2027,2027-03-23,Tier 2 — Dual Agency,3,2,Sep 2026 — RM,1.1,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-23 — prime Q1 2027 renewal target,Your Term Loan at CARE goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
Relcom Technology Pvt. Ltd.,BRICKWORK,Term Loan,C,2026-03-09,LOW/MEDIUM,Mar 2027,2027-03-09,Tier 2 — Dual Agency,3,2,Sep 2026 — RM,0.69,IT/Technology,Standard,D365,INC rating hits ULTRA HOT on 2027-03-09 — prime Q1 2027 renewal target,Your Term Loan at BRICKWORK goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.
